root_id	root_kind	family	tau	fit_size	prior	run_root	jerez_root_state	jerez_prepared_present	muscat_root_review_state	muscat_root_postprocess_state	muscat_model_states	sync_action	note
root__dynamic__gausmix__tau_0p05__lasttt_500	dynamic	gausmix	0.05	500	default	results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/gausmix/tau_0p05/fit_input_lastTT500/validation_dynamic_tt500	complete	TRUE	blocked	blocked	missing,missing	sync_root	Complete on jerez and absent on muscat; safe exact-root sync candidate.
root__dynamic__gausmix__tau_0p05__lasttt_5000	dynamic	gausmix	0.05	5000	default	results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/gausmix/tau_0p05/fit_input_lastTT5000/validation_dynamic_tt5000	partial	TRUE	complete_reusable	complete_reusable	complete_reusable,complete_reusable	skip_already_complete_on_muscat	Muscat already has a complete reusable root review for this root.
root__dynamic__gausmix__tau_0p25__lasttt_500	dynamic	gausmix	0.25	500	default	results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/gausmix/tau_0p25/fit_input_lastTT500/validation_dynamic_tt500	complete	TRUE	blocked	blocked	missing,missing	sync_root	Complete on jerez and absent on muscat; safe exact-root sync candidate.
root__dynamic__gausmix__tau_0p25__lasttt_5000	dynamic	gausmix	0.25	5000	default	results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/gausmix/tau_0p25/fit_input_lastTT5000/validation_dynamic_tt5000	missing	TRUE	blocked	blocked	partial_reusable,complete_reusable	skip_not_complete_on_jerez	Jerez root is not complete under the canonical relaunch contract.
root__dynamic__gausmix__tau_0p95__lasttt_500	dynamic	gausmix	0.95	500	default	results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/gausmix/tau_0p95/fit_input_lastTT500/validation_dynamic_tt500	missing	FALSE	blocked	blocked	blocked,blocked	skip_not_complete_on_jerez	Jerez root is not complete under the canonical relaunch contract.
root__dynamic__gausmix__tau_0p95__lasttt_5000	dynamic	gausmix	0.95	5000	default	results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/gausmix/tau_0p95/fit_input_lastTT5000/validation_dynamic_tt5000	missing	FALSE	blocked	blocked	blocked,blocked	skip_not_complete_on_jerez	Jerez root is not complete under the canonical relaunch contract.
root__dynamic__laplace__tau_0p05__lasttt_500	dynamic	laplace	0.05	500	default	results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/laplace/tau_0p05/fit_input_lastTT500/validation_dynamic_tt500	missing	TRUE	complete_reusable	complete_reusable	complete_reusable,complete_reusable	skip_already_complete_on_muscat	Muscat already has a complete reusable root review for this root.
root__dynamic__laplace__tau_0p05__lasttt_5000	dynamic	laplace	0.05	5000	default	results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/laplace/tau_0p05/fit_input_lastTT5000/validation_dynamic_tt5000	missing	TRUE	blocked	blocked	missing,missing	skip_not_complete_on_jerez	Jerez root is not complete under the canonical relaunch contract.
root__dynamic__laplace__tau_0p25__lasttt_500	dynamic	laplace	0.25	500	default	results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/laplace/tau_0p25/fit_input_lastTT500/validation_dynamic_tt500	missing	TRUE	blocked	blocked	partial_reusable,complete_reusable	skip_not_complete_on_jerez	Jerez root is not complete under the canonical relaunch contract.
root__dynamic__laplace__tau_0p25__lasttt_5000	dynamic	laplace	0.25	5000	default	results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/laplace/tau_0p25/fit_input_lastTT5000/validation_dynamic_tt5000	missing	TRUE	blocked	blocked	missing,missing	skip_not_complete_on_jerez	Jerez root is not complete under the canonical relaunch contract.
root__dynamic__laplace__tau_0p95__lasttt_500	dynamic	laplace	0.95	500	default	results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/laplace/tau_0p95/fit_input_lastTT500/validation_dynamic_tt500	missing	FALSE	blocked	blocked	blocked,blocked	skip_not_complete_on_jerez	Jerez root is not complete under the canonical relaunch contract.
root__dynamic__laplace__tau_0p95__lasttt_5000	dynamic	laplace	0.95	5000	default	results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/laplace/tau_0p95/fit_input_lastTT5000/validation_dynamic_tt5000	missing	FALSE	blocked	blocked	blocked,blocked	skip_not_complete_on_jerez	Jerez root is not complete under the canonical relaunch contract.
root__dynamic__normal__tau_0p05__lasttt_500	dynamic	normal	0.05	500	default	results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/normal/tau_0p05/fit_input_lastTT500/validation_dynamic_tt500	missing	TRUE	blocked	blocked	missing,missing	skip_not_complete_on_jerez	Jerez root is not complete under the canonical relaunch contract.
root__dynamic__normal__tau_0p05__lasttt_5000	dynamic	normal	0.05	5000	default	results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/normal/tau_0p05/fit_input_lastTT5000/validation_dynamic_tt5000	missing	TRUE	blocked	blocked	missing,missing	skip_not_complete_on_jerez	Jerez root is not complete under the canonical relaunch contract.
root__dynamic__normal__tau_0p25__lasttt_500	dynamic	normal	0.25	500	default	results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/normal/tau_0p25/fit_input_lastTT500/validation_dynamic_tt500	missing	TRUE	blocked	blocked	missing,missing	skip_not_complete_on_jerez	Jerez root is not complete under the canonical relaunch contract.
root__dynamic__normal__tau_0p25__lasttt_5000	dynamic	normal	0.25	5000	default	results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/normal/tau_0p25/fit_input_lastTT5000/validation_dynamic_tt5000	missing	TRUE	blocked	blocked	missing,missing	skip_not_complete_on_jerez	Jerez root is not complete under the canonical relaunch contract.
root__dynamic__normal__tau_0p95__lasttt_500	dynamic	normal	0.95	500	default	results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/normal/tau_0p95/fit_input_lastTT500/validation_dynamic_tt500	missing	FALSE	blocked	blocked	blocked,blocked	skip_not_complete_on_jerez	Jerez root is not complete under the canonical relaunch contract.
root__dynamic__normal__tau_0p95__lasttt_5000	dynamic	normal	0.95	5000	default	results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/normal/tau_0p95/fit_input_lastTT5000/validation_dynamic_tt5000	missing	FALSE	blocked	blocked	blocked,blocked	skip_not_complete_on_jerez	Jerez root is not complete under the canonical relaunch contract.
root__static_paper__gausmix__tau_0p05__tt_100	static_paper	gausmix	0.05	100	paper	results/function_testing_20260309_static_paper_family_qspec/gausmix/tau_0p05/fit_input_subsample_tt100_x01_sorted/validation_paper_tt100	complete	TRUE	blocked	blocked	missing,missing	sync_root	Complete on jerez and absent on muscat; safe exact-root sync candidate.
root__static_paper__gausmix__tau_0p05__tt_1000	static_paper	gausmix	0.05	1000	paper	results/function_testing_20260309_static_paper_family_qspec/gausmix/tau_0p05/fit_input_subsample_tt1000_x01_sorted/validation_paper_tt1000	complete	TRUE	blocked	blocked	missing,missing	sync_root	Complete on jerez and absent on muscat; safe exact-root sync candidate.
root__static_paper__gausmix__tau_0p25__tt_100	static_paper	gausmix	0.25	100	paper	results/function_testing_20260309_static_paper_family_qspec/gausmix/tau_0p25/fit_input_subsample_tt100_x01_sorted/validation_paper_tt100	partial	TRUE	blocked	blocked	complete_reusable,partial_reusable	skip_not_complete_on_jerez	Jerez root is not complete under the canonical relaunch contract.
root__static_paper__gausmix__tau_0p25__tt_1000	static_paper	gausmix	0.25	1000	paper	results/function_testing_20260309_static_paper_family_qspec/gausmix/tau_0p25/fit_input_subsample_tt1000_x01_sorted/validation_paper_tt1000	partial	TRUE	blocked	blocked	complete_reusable,partial_reusable	skip_not_complete_on_jerez	Jerez root is not complete under the canonical relaunch contract.
root__static_paper__gausmix__tau_0p95__tt_100	static_paper	gausmix	0.95	100	paper	results/function_testing_20260309_static_paper_family_qspec/gausmix/tau_0p95/fit_input_subsample_tt100_x01_sorted/validation_paper_tt100	missing	FALSE	blocked	blocked	blocked,blocked	skip_not_complete_on_jerez	Jerez root is not complete under the canonical relaunch contract.
root__static_paper__gausmix__tau_0p95__tt_1000	static_paper	gausmix	0.95	1000	paper	results/function_testing_20260309_static_paper_family_qspec/gausmix/tau_0p95/fit_input_subsample_tt1000_x01_sorted/validation_paper_tt1000	missing	FALSE	blocked	blocked	blocked,blocked	skip_not_complete_on_jerez	Jerez root is not complete under the canonical relaunch contract.
root__static_paper__laplace__tau_0p05__tt_100	static_paper	laplace	0.05	100	paper	results/function_testing_20260309_static_paper_family_qspec/laplace/tau_0p05/fit_input_subsample_tt100_x01_sorted/validation_paper_tt100	missing	TRUE	complete_reusable	complete_reusable	complete_reusable,complete_reusable	skip_already_complete_on_muscat	Muscat already has a complete reusable root review for this root.
root__static_paper__laplace__tau_0p05__tt_1000	static_paper	laplace	0.05	1000	paper	results/function_testing_20260309_static_paper_family_qspec/laplace/tau_0p05/fit_input_subsample_tt1000_x01_sorted/validation_paper_tt1000	missing	TRUE	complete_reusable	complete_reusable	complete_reusable,complete_reusable	skip_already_complete_on_muscat	Muscat already has a complete reusable root review for this root.
root__static_paper__laplace__tau_0p25__tt_100	static_paper	laplace	0.25	100	paper	results/function_testing_20260309_static_paper_family_qspec/laplace/tau_0p25/fit_input_subsample_tt100_x01_sorted/validation_paper_tt100	missing	TRUE	blocked	blocked	complete_reusable,partial_reusable	skip_not_complete_on_jerez	Jerez root is not complete under the canonical relaunch contract.
root__static_paper__laplace__tau_0p25__tt_1000	static_paper	laplace	0.25	1000	paper	results/function_testing_20260309_static_paper_family_qspec/laplace/tau_0p25/fit_input_subsample_tt1000_x01_sorted/validation_paper_tt1000	missing	TRUE	blocked	blocked	complete_reusable,partial_reusable	skip_not_complete_on_jerez	Jerez root is not complete under the canonical relaunch contract.
root__static_paper__laplace__tau_0p95__tt_100	static_paper	laplace	0.95	100	paper	results/function_testing_20260309_static_paper_family_qspec/laplace/tau_0p95/fit_input_subsample_tt100_x01_sorted/validation_paper_tt100	missing	FALSE	blocked	blocked	blocked,blocked	skip_not_complete_on_jerez	Jerez root is not complete under the canonical relaunch contract.
root__static_paper__laplace__tau_0p95__tt_1000	static_paper	laplace	0.95	1000	paper	results/function_testing_20260309_static_paper_family_qspec/laplace/tau_0p95/fit_input_subsample_tt1000_x01_sorted/validation_paper_tt1000	missing	FALSE	blocked	blocked	blocked,blocked	skip_not_complete_on_jerez	Jerez root is not complete under the canonical relaunch contract.
root__static_paper__normal__tau_0p05__tt_100	static_paper	normal	0.05	100	paper	results/function_testing_20260309_static_paper_family_qspec/normal/tau_0p05/fit_input_subsample_tt100_x01_sorted/validation_paper_tt100	missing	TRUE	blocked	blocked	missing,missing	skip_not_complete_on_jerez	Jerez root is not complete under the canonical relaunch contract.
root__static_paper__normal__tau_0p05__tt_1000	static_paper	normal	0.05	1000	paper	results/function_testing_20260309_static_paper_family_qspec/normal/tau_0p05/fit_input_subsample_tt1000_x01_sorted/validation_paper_tt1000	missing	TRUE	blocked	blocked	missing,missing	skip_not_complete_on_jerez	Jerez root is not complete under the canonical relaunch contract.
root__static_paper__normal__tau_0p25__tt_100	static_paper	normal	0.25	100	paper	results/function_testing_20260309_static_paper_family_qspec/normal/tau_0p25/fit_input_subsample_tt100_x01_sorted/validation_paper_tt100	missing	TRUE	blocked	blocked	missing,missing	skip_not_complete_on_jerez	Jerez root is not complete under the canonical relaunch contract.
root__static_paper__normal__tau_0p25__tt_1000	static_paper	normal	0.25	1000	paper	results/function_testing_20260309_static_paper_family_qspec/normal/tau_0p25/fit_input_subsample_tt1000_x01_sorted/validation_paper_tt1000	missing	TRUE	blocked	blocked	missing,missing	skip_not_complete_on_jerez	Jerez root is not complete under the canonical relaunch contract.
root__static_paper__normal__tau_0p95__tt_100	static_paper	normal	0.95	100	paper	results/function_testing_20260309_static_paper_family_qspec/normal/tau_0p95/fit_input_subsample_tt100_x01_sorted/validation_paper_tt100	missing	FALSE	blocked	blocked	blocked,blocked	skip_not_complete_on_jerez	Jerez root is not complete under the canonical relaunch contract.
root__static_paper__normal__tau_0p95__tt_1000	static_paper	normal	0.95	1000	paper	results/function_testing_20260309_static_paper_family_qspec/normal/tau_0p95/fit_input_subsample_tt1000_x01_sorted/validation_paper_tt1000	missing	FALSE	blocked	blocked	blocked,blocked	skip_not_complete_on_jerez	Jerez root is not complete under the canonical relaunch contract.
root__static_shrink__gausmix__tau_0p05__tt_100__rhs	static_shrink	gausmix	0.05	100	rhs	results/function_testing_20260309_static_shrinkage_family_qspec/gausmix/tau_0p05/fit_input_subsample_tt100_x01_sorted/validation_shrink_rhs_tt100	complete	TRUE	blocked	blocked	missing,missing	sync_root	Complete on jerez and absent on muscat; safe exact-root sync candidate.
