"scenario_key","scope_label","block","root_kind","family","tau_label","fit_size","prior_semantics","gate_overall.mcmc__al","healthy.mcmc__al","runtime_sec.mcmc__al","selected_pool.mcmc__al","selected_candidate.mcmc__al","gate_overall.mcmc__exal","healthy.mcmc__exal","runtime_sec.mcmc__exal","selected_pool.mcmc__exal","selected_candidate.mcmc__exal","gate_overall.vb__al","healthy.vb__al","runtime_sec.vb__al","selected_pool.vb__al","selected_candidate.vb__al","gate_overall.vb__exal","healthy.vb__exal","runtime_sec.vb__exal","selected_pool.vb__exal","selected_candidate.vb__exal"
"static_paper::normal::0p95::1000::paper","root__static_paper__normal__tau_0p95__tt_1000","static_paper","static_paper","normal","0p95",1000,"paper","PASS",TRUE,9.809,"static_refresh_compact","rhsns_impl_refresh_20260329","WARN",TRUE,,"baseline_original","baseline","PASS",TRUE,,"baseline_original","baseline","PASS",TRUE,12.269,"static_refresh_compact","rhsns_impl_refresh_20260329"
"static_shrink::gausmix::0p05::100::rhs","root__static_shrink__gausmix__tau_0p05__tt_100__rhs","static_shrink","static_shrink","gausmix","0p05",100,"rhs","PASS",TRUE,7.02,"static_refresh_compact","rhsns_impl_refresh_20260329","PASS",TRUE,160.225,"hybrid_291_selection","F080_sub2_s105","PASS",TRUE,0.992999999999999,"static_refresh_compact","rhsns_impl_refresh_20260329","PASS",TRUE,11.883,"static_refresh_compact","rhsns_impl_refresh_20260329"
"static_shrink::gausmix::0p05::100::ridge","root__static_shrink__gausmix__tau_0p05__tt_100__ridge","static_shrink","static_shrink","gausmix","0p05",100,"ridge","PASS",TRUE,,"baseline_original","baseline","PASS",TRUE,54.619,"hybrid_291_selection","F080_sub2_s105","PASS",TRUE,,"baseline_original","baseline","PASS",TRUE,11.957,"static_refresh_compact","rhsns_impl_refresh_20260329"
"static_shrink::gausmix::0p05::1000::rhs","root__static_shrink__gausmix__tau_0p05__tt_1000__rhs","static_shrink","static_shrink","gausmix","0p05",1000,"rhs","PASS",TRUE,9.365,"static_refresh_compact","rhsns_impl_refresh_20260329","WARN",TRUE,,"baseline_original","baseline","PASS",TRUE,,"baseline_original","baseline","PASS",TRUE,11.336,"static_refresh_compact","rhsns_impl_refresh_20260329"
"static_shrink::gausmix::0p05::1000::ridge","root__static_shrink__gausmix__tau_0p05__tt_1000__ridge","static_shrink","static_shrink","gausmix","0p05",1000,"ridge","PASS",TRUE,9.258,"static_refresh_compact","rhsns_impl_refresh_20260329","WARN",TRUE,,"baseline_original","baseline","PASS",TRUE,,"baseline_original","baseline","PASS",TRUE,12.036,"static_refresh_compact","rhsns_impl_refresh_20260329"
"static_shrink::gausmix::0p25::100::rhs","root__static_shrink__gausmix__tau_0p25__tt_100__rhs","static_shrink","static_shrink","gausmix","0p25",100,"rhs","PASS",TRUE,,"baseline_original","baseline","WARN",TRUE,164.023,"hybrid_291_selection","F085_sub2_s100","PASS",TRUE,0.669,"static_refresh_compact","rhsns_impl_refresh_20260329","WARN",TRUE,13.807,"static_refresh_compact","rhsns_impl_refresh_20260329"
"static_shrink::gausmix::0p25::100::ridge","root__static_shrink__gausmix__tau_0p25__tt_100__ridge","static_shrink","static_shrink","gausmix","0p25",100,"ridge","PASS",TRUE,19.916,"static_refresh_compact","rhsns_impl_refresh_20260329","WARN",TRUE,,"baseline_original","baseline","PASS",TRUE,,"baseline_original","baseline","WARN",TRUE,13.777,"static_refresh_compact","rhsns_impl_refresh_20260329"
"static_shrink::gausmix::0p25::1000::rhs","root__static_shrink__gausmix__tau_0p25__tt_1000__rhs","static_shrink","static_shrink","gausmix","0p25",1000,"rhs","PASS",TRUE,,"baseline_original","baseline","WARN",TRUE,60.128,"hybrid_291_selection","F085_sub2_s100","PASS",TRUE,,"baseline_original","baseline","WARN",TRUE,16.157,"static_refresh_compact","rhsns_impl_refresh_20260329"
"static_shrink::gausmix::0p25::1000::ridge","root__static_shrink__gausmix__tau_0p25__tt_1000__ridge","static_shrink","static_shrink","gausmix","0p25",1000,"ridge","PASS",TRUE,,"baseline_original","baseline","WARN",TRUE,136.497,"hybrid_291_selection","F085_sub2_s105_histshort","PASS",TRUE,,"baseline_original","baseline","WARN",TRUE,17.614,"static_refresh_compact","rhsns_impl_refresh_20260329"
"static_shrink::gausmix::0p95::100::rhs","root__static_shrink__gausmix__tau_0p95__tt_100__rhs","static_shrink","static_shrink","gausmix","0p95",100,"rhs","PASS",TRUE,,"baseline_original","baseline","PASS",TRUE,306.468,"hybrid_291_selection","F0825_sub2_s100","PASS",TRUE,,"baseline_original","baseline","PASS",TRUE,17.116,"static_refresh_compact","rhsns_impl_refresh_20260329"
"static_shrink::gausmix::0p95::100::ridge","root__static_shrink__gausmix__tau_0p95__tt_100__ridge","static_shrink","static_shrink","gausmix","0p95",100,"ridge","PASS",TRUE,,"baseline_original","baseline","PASS",TRUE,56.011,"hybrid_291_selection","F085_sub2_s100","PASS",TRUE,,"baseline_original","baseline","PASS",TRUE,17.224,"static_refresh_compact","rhsns_impl_refresh_20260329"
"static_shrink::gausmix::0p95::1000::rhs","root__static_shrink__gausmix__tau_0p95__tt_1000__rhs","static_shrink","static_shrink","gausmix","0p95",1000,"rhs","PASS",TRUE,,"baseline_original","baseline","PASS",TRUE,171.218,"hybrid_291_selection","F085_sub2_s100","PASS",TRUE,,"baseline_original","baseline","PASS",TRUE,12.344,"static_refresh_compact","rhsns_impl_refresh_20260329"
"static_shrink::gausmix::0p95::1000::ridge","root__static_shrink__gausmix__tau_0p95__tt_1000__ridge","static_shrink","static_shrink","gausmix","0p95",1000,"ridge","PASS",TRUE,,"baseline_original","baseline","WARN",TRUE,,"baseline_original","baseline","PASS",TRUE,,"baseline_original","baseline","PASS",TRUE,12.37,"static_refresh_compact","rhsns_impl_refresh_20260329"
"static_shrink::laplace::0p05::100::rhs","root__static_shrink__laplace__tau_0p05__tt_100__rhs","static_shrink","static_shrink","laplace","0p05",100,"rhs","PASS",TRUE,,"baseline_original","baseline","PASS",TRUE,55.483,"hybrid_291_selection","F080_sub2_s105","PASS",TRUE,0.959000000000001,"static_refresh_compact","rhsns_impl_refresh_20260329","PASS",TRUE,11.451,"static_refresh_compact","rhsns_impl_refresh_20260329"
"static_shrink::laplace::0p05::100::ridge","root__static_shrink__laplace__tau_0p05__tt_100__ridge","static_shrink","static_shrink","laplace","0p05",100,"ridge","PASS",TRUE,,"baseline_original","baseline","PASS",TRUE,52.228,"syncedbase_targeted_followup_20260407","row_0011","PASS",TRUE,,"baseline_original","baseline","PASS",TRUE,11.397,"static_refresh_compact","rhsns_impl_refresh_20260329"
"static_shrink::laplace::0p05::1000::rhs","root__static_shrink__laplace__tau_0p05__tt_1000__rhs","static_shrink","static_shrink","laplace","0p05",1000,"rhs","PASS",TRUE,9.389,"static_refresh_compact","rhsns_impl_refresh_20260329","PASS",TRUE,60.307,"hybrid_291_selection","F080_sub2_s105","PASS",TRUE,,"baseline_original","baseline","PASS",TRUE,10.99,"static_refresh_compact","rhsns_impl_refresh_20260329"
"static_shrink::laplace::0p05::1000::ridge","root__static_shrink__laplace__tau_0p05__tt_1000__ridge","static_shrink","static_shrink","laplace","0p05",1000,"ridge","PASS",TRUE,9.275,"static_refresh_compact","rhsns_impl_refresh_20260329","PASS",TRUE,140.797,"hybrid_291_selection","F0825_sub2_s1025_rwlong","PASS",TRUE,,"baseline_original","baseline","PASS",TRUE,10.888,"static_refresh_compact","rhsns_impl_refresh_20260329"
"static_shrink::laplace::0p25::100::rhs","root__static_shrink__laplace__tau_0p25__tt_100__rhs","static_shrink","static_shrink","laplace","0p25",100,"rhs","PASS",TRUE,20.06,"static_refresh_compact","rhsns_impl_refresh_20260329","PASS",TRUE,52.708,"hybrid_291_selection","F080_sub2_s105","PASS",TRUE,,"baseline_original","baseline","WARN",TRUE,13.768,"static_refresh_compact","rhsns_impl_refresh_20260329"
"static_shrink::laplace::0p25::100::ridge","root__static_shrink__laplace__tau_0p25__tt_100__ridge","static_shrink","static_shrink","laplace","0p25",100,"ridge","PASS",TRUE,,"baseline_original","baseline","PASS",TRUE,52.19,"hybrid_291_selection","F080_sub2_s105","PASS",TRUE,,"baseline_original","baseline","WARN",TRUE,13.751,"static_refresh_compact","rhsns_impl_refresh_20260329"
"static_shrink::laplace::0p25::1000::rhs","root__static_shrink__laplace__tau_0p25__tt_1000__rhs","static_shrink","static_shrink","laplace","0p25",1000,"rhs","PASS",TRUE,,"baseline_original","baseline","PASS",TRUE,65.636,"syncedbase_residual_repair_20260407","row_0236","PASS",TRUE,,"baseline_original","baseline","WARN",TRUE,16.372,"static_refresh_compact","rhsns_impl_refresh_20260329"
"static_shrink::laplace::0p25::1000::ridge","root__static_shrink__laplace__tau_0p25__tt_1000__ridge","static_shrink","static_shrink","laplace","0p25",1000,"ridge","PASS",TRUE,,"baseline_original","baseline","PASS",TRUE,55.318,"syncedbase_faithful_replay_20260407","row_0200","PASS",TRUE,,"baseline_original","baseline","WARN",TRUE,16.185,"static_refresh_compact","rhsns_impl_refresh_20260329"
"static_shrink::laplace::0p95::100::rhs","root__static_shrink__laplace__tau_0p95__tt_100__rhs","static_shrink","static_shrink","laplace","0p95",100,"rhs","PASS",TRUE,,"baseline_original","baseline","PASS",TRUE,51.846,"hybrid_291_selection","F080_sub2_s105","PASS",TRUE,,"baseline_original","baseline","PASS",TRUE,6.31,"static_refresh_compact","rhsns_impl_refresh_20260329"
"static_shrink::laplace::0p95::100::ridge","root__static_shrink__laplace__tau_0p95__tt_100__ridge","static_shrink","static_shrink","laplace","0p95",100,"ridge","PASS",TRUE,6.638,"static_refresh_compact","rhsns_impl_refresh_20260329","PASS",TRUE,53.852,"hybrid_291_selection","F080_sub2_s105","PASS",TRUE,,"baseline_original","baseline","PASS",TRUE,6.343,"static_refresh_compact","rhsns_impl_refresh_20260329"
"static_shrink::laplace::0p95::1000::rhs","root__static_shrink__laplace__tau_0p95__tt_1000__rhs","static_shrink","static_shrink","laplace","0p95",1000,"rhs","PASS",TRUE,,"baseline_original","baseline","WARN",TRUE,148.112,"static_refresh_compact","rhs_legacy_refresh_20260329","PASS",TRUE,,"baseline_original","baseline","PASS",TRUE,11.39,"static_refresh_compact","rhsns_impl_refresh_20260329"
"static_shrink::laplace::0p95::1000::ridge","root__static_shrink__laplace__tau_0p95__tt_1000__ridge","static_shrink","static_shrink","laplace","0p95",1000,"ridge","PASS",TRUE,10.493,"static_refresh_compact","rhsns_impl_refresh_20260329","PASS",TRUE,61.591,"syncedbase_targeted_followup_20260407","row_0012","PASS",TRUE,,"baseline_original","baseline","PASS",TRUE,11.213,"static_refresh_compact","rhsns_impl_refresh_20260329"
"static_shrink::normal::0p05::100::rhs","root__static_shrink__normal__tau_0p05__tt_100__rhs","static_shrink","static_shrink","normal","0p05",100,"rhs","PASS",TRUE,,"baseline_original","baseline","WARN",TRUE,,"baseline_original","baseline","PASS",TRUE,,"baseline_original","baseline","PASS",TRUE,12.375,"static_refresh_compact","rhsns_impl_refresh_20260329"
"static_shrink::normal::0p05::100::ridge","root__static_shrink__normal__tau_0p05__tt_100__ridge","static_shrink","static_shrink","normal","0p05",100,"ridge","PASS",TRUE,7.187,"static_refresh_compact","rhsns_impl_refresh_20260329","WARN",TRUE,28.692,"static_refresh_compact","rhsns_impl_refresh_20260329","PASS",TRUE,,"baseline_original","baseline","PASS",TRUE,11.315,"static_refresh_compact","rhsns_impl_refresh_20260329"
"static_shrink::normal::0p05::1000::rhs","root__static_shrink__normal__tau_0p05__tt_1000__rhs","static_shrink","static_shrink","normal","0p05",1000,"rhs","PASS",TRUE,9.323,"static_refresh_compact","rhsns_impl_refresh_20260329","PASS",TRUE,61.393,"syncedbase_faithful_replay_20260407","row_0244","PASS",TRUE,,"baseline_original","baseline","PASS",TRUE,15.989,"static_refresh_compact","rhsns_impl_refresh_20260329"
"static_shrink::normal::0p05::1000::ridge","root__static_shrink__normal__tau_0p05__tt_1000__ridge","static_shrink","static_shrink","normal","0p05",1000,"ridge","PASS",TRUE,,"baseline_original","baseline","WARN",TRUE,63.046,"hybrid_291_selection","F085_sub2_s100","PASS",TRUE,,"baseline_original","baseline","PASS",TRUE,16.64,"static_refresh_compact","rhsns_impl_refresh_20260329"
"static_shrink::normal::0p25::100::rhs","root__static_shrink__normal__tau_0p25__tt_100__rhs","static_shrink","static_shrink","normal","0p25",100,"rhs","PASS",TRUE,,"baseline_original","baseline","PASS",TRUE,165.857,"hybrid_291_selection","F080_sub2_s105","PASS",TRUE,,"baseline_original","baseline","WARN",TRUE,13.367,"static_refresh_compact","rhsns_impl_refresh_20260329"
"static_shrink::normal::0p25::100::ridge","root__static_shrink__normal__tau_0p25__tt_100__ridge","static_shrink","static_shrink","normal","0p25",100,"ridge","PASS",TRUE,,"baseline_original","baseline","WARN",TRUE,,"baseline_original","baseline","PASS",TRUE,,"baseline_original","baseline","WARN",TRUE,13.105,"static_refresh_compact","rhsns_impl_refresh_20260329"
"static_shrink::normal::0p25::1000::rhs","root__static_shrink__normal__tau_0p25__tt_1000__rhs","static_shrink","static_shrink","normal","0p25",1000,"rhs","PASS",TRUE,,"baseline_original","baseline","WARN",TRUE,304.585,"hybrid_291_selection","F0845_sub2_s100_histshort","PASS",TRUE,,"baseline_original","baseline","WARN",TRUE,16.641,"static_refresh_compact","rhsns_impl_refresh_20260329"
"static_shrink::normal::0p25::1000::ridge","root__static_shrink__normal__tau_0p25__tt_1000__ridge","static_shrink","static_shrink","normal","0p25",1000,"ridge","PASS",TRUE,,"baseline_original","baseline","WARN",TRUE,58.993,"hybrid_291_selection","F080_sub2_s105","PASS",TRUE,,"baseline_original","baseline","WARN",TRUE,15.933,"static_refresh_compact","rhsns_impl_refresh_20260329"
"static_shrink::normal::0p95::100::rhs","root__static_shrink__normal__tau_0p95__tt_100__rhs","static_shrink","static_shrink","normal","0p95",100,"rhs","PASS",TRUE,7.001,"static_refresh_compact","rhsns_impl_refresh_20260329","PASS",TRUE,165.837,"hybrid_291_selection","F085_sub2_s100","PASS",TRUE,1.071,"static_refresh_compact","rhsns_impl_refresh_20260329","PASS",TRUE,8.88,"static_refresh_compact","rhsns_impl_refresh_20260329"
"static_shrink::normal::0p95::100::ridge","root__static_shrink__normal__tau_0p95__tt_100__ridge","static_shrink","static_shrink","normal","0p95",100,"ridge","PASS",TRUE,7.747,"static_refresh_compact","rhsns_impl_refresh_20260329","PASS",TRUE,94.545,"hybrid_291_selection","F0845_sub2_s1025","PASS",TRUE,,"baseline_original","baseline","PASS",TRUE,8.841,"static_refresh_compact","rhsns_impl_refresh_20260329"
"static_shrink::normal::0p95::1000::rhs","root__static_shrink__normal__tau_0p95__tt_1000__rhs","static_shrink","static_shrink","normal","0p95",1000,"rhs","PASS",TRUE,9.512,"static_refresh_compact","rhsns_impl_refresh_20260329","PASS",TRUE,61.36,"hybrid_291_selection","F080_sub2_s105","PASS",TRUE,,"baseline_original","baseline","PASS",TRUE,13.594,"static_refresh_compact","rhsns_impl_refresh_20260329"
"static_shrink::normal::0p95::1000::ridge","root__static_shrink__normal__tau_0p95__tt_1000__ridge","static_shrink","static_shrink","normal","0p95",1000,"ridge","PASS",TRUE,10.148,"static_refresh_compact","rhsns_impl_refresh_20260329","WARN",TRUE,62.346,"hybrid_291_selection","F085_sub2_s100","PASS",TRUE,,"baseline_original","baseline","PASS",TRUE,13.071,"static_refresh_compact","rhsns_impl_refresh_20260329"
