task_id	task_type	root_id	root_kind	family	tau	fit_axis	fit_size	prior	slot_cost	threads_per_process	trigger_rule	postprocess_script	review_task_id
post__root__static_paper__gausmix__tau_0p25__tt_100	root_postprocess	root__static_paper__gausmix__tau_0p25__tt_100	static_paper	gausmix	0.25	TT	100	paper	1	1	both_model_paths_done	tools/merge_reports/20260305_static_postprocess_from_existing_fits.R	review__root__static_paper__gausmix__tau_0p25__tt_100
post__root__static_paper__gausmix__tau_0p25__tt_1000	root_postprocess	root__static_paper__gausmix__tau_0p25__tt_1000	static_paper	gausmix	0.25	TT	1000	paper	1	1	both_model_paths_done	tools/merge_reports/20260305_static_postprocess_from_existing_fits.R	review__root__static_paper__gausmix__tau_0p25__tt_1000
post__root__static_paper__gausmix__tau_0p95__tt_100	root_postprocess	root__static_paper__gausmix__tau_0p95__tt_100	static_paper	gausmix	0.95	TT	100	paper	1	1	both_model_paths_done	tools/merge_reports/20260305_static_postprocess_from_existing_fits.R	review__root__static_paper__gausmix__tau_0p95__tt_100
post__root__static_paper__gausmix__tau_0p95__tt_1000	root_postprocess	root__static_paper__gausmix__tau_0p95__tt_1000	static_paper	gausmix	0.95	TT	1000	paper	1	1	both_model_paths_done	tools/merge_reports/20260305_static_postprocess_from_existing_fits.R	review__root__static_paper__gausmix__tau_0p95__tt_1000
post__root__static_paper__laplace__tau_0p05__tt_100	root_postprocess	root__static_paper__laplace__tau_0p05__tt_100	static_paper	laplace	0.05	TT	100	paper	1	1	both_model_paths_done	tools/merge_reports/20260305_static_postprocess_from_existing_fits.R	review__root__static_paper__laplace__tau_0p05__tt_100
post__root__static_paper__laplace__tau_0p05__tt_1000	root_postprocess	root__static_paper__laplace__tau_0p05__tt_1000	static_paper	laplace	0.05	TT	1000	paper	1	1	both_model_paths_done	tools/merge_reports/20260305_static_postprocess_from_existing_fits.R	review__root__static_paper__laplace__tau_0p05__tt_1000
post__root__static_paper__laplace__tau_0p25__tt_100	root_postprocess	root__static_paper__laplace__tau_0p25__tt_100	static_paper	laplace	0.25	TT	100	paper	1	1	both_model_paths_done	tools/merge_reports/20260305_static_postprocess_from_existing_fits.R	review__root__static_paper__laplace__tau_0p25__tt_100
post__root__static_paper__laplace__tau_0p25__tt_1000	root_postprocess	root__static_paper__laplace__tau_0p25__tt_1000	static_paper	laplace	0.25	TT	1000	paper	1	1	both_model_paths_done	tools/merge_reports/20260305_static_postprocess_from_existing_fits.R	review__root__static_paper__laplace__tau_0p25__tt_1000
post__root__static_paper__laplace__tau_0p95__tt_100	root_postprocess	root__static_paper__laplace__tau_0p95__tt_100	static_paper	laplace	0.95	TT	100	paper	1	1	both_model_paths_done	tools/merge_reports/20260305_static_postprocess_from_existing_fits.R	review__root__static_paper__laplace__tau_0p95__tt_100
post__root__static_paper__laplace__tau_0p95__tt_1000	root_postprocess	root__static_paper__laplace__tau_0p95__tt_1000	static_paper	laplace	0.95	TT	1000	paper	1	1	both_model_paths_done	tools/merge_reports/20260305_static_postprocess_from_existing_fits.R	review__root__static_paper__laplace__tau_0p95__tt_1000
