key	kind	family	tau	tt	prior	prepared_root	run_root	batch_label	jerez_state	jerez_session	prepared_exists	run_root_exists	run_config_exists	muscat_state	global_state	launch_on_muscat_now	sync_pending_from_jerez
dynamic|gausmix|0.05|500|	dynamic	gausmix	0.05	500	none	results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/gausmix/tau_0p05/fit_input_lastTT500	results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/gausmix/tau_0p05/fit_input_lastTT500/validation_dynamic_tt500	dynamic_tt500	complete_on_jerez		TRUE	FALSE	FALSE	absent_on_muscat	complete_on_jerez	FALSE	TRUE
dynamic|gausmix|0.05|5000|	dynamic	gausmix	0.05	5000	none	results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/gausmix/tau_0p05/fit_input_lastTT5000	results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/gausmix/tau_0p05/fit_input_lastTT5000/validation_dynamic_tt5000	dynamic_tt5000	running_on_jerez	qsp_rdy5k_fix_20260311_173314	TRUE	FALSE	FALSE	absent_on_muscat	running_on_jerez	FALSE	TRUE
dynamic|gausmix|0.25|500|	dynamic	gausmix	0.25	500	none	results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/gausmix/tau_0p25/fit_input_lastTT500	results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/gausmix/tau_0p25/fit_input_lastTT500/validation_dynamic_tt500	dynamic_tt500	complete_on_jerez		TRUE	FALSE	FALSE	absent_on_muscat	complete_on_jerez	FALSE	TRUE
dynamic|gausmix|0.50|500|	dynamic	gausmix	0.50	500	none	results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/gausmix/tau_0p50/fit_input_lastTT500	results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/gausmix/tau_0p50/fit_input_lastTT500/validation_dynamic_tt500	dynamic_tt500	complete_on_jerez		TRUE	FALSE	FALSE	absent_on_muscat	complete_on_jerez	FALSE	TRUE
static_paper|gausmix|0.05|100|	static_paper	gausmix	0.05	100	none	results/function_testing_20260309_static_paper_family_qspec/gausmix/tau_0p05/fit_input_subsample_tt100_x01_sorted	results/function_testing_20260309_static_paper_family_qspec/gausmix/tau_0p05/fit_input_subsample_tt100_x01_sorted/validation_paper_tt100	static_paper_tt100	complete_on_jerez		TRUE	FALSE	FALSE	absent_on_muscat	complete_on_jerez	FALSE	TRUE
static_paper|gausmix|0.05|1000|	static_paper	gausmix	0.05	1000	none	results/function_testing_20260309_static_paper_family_qspec/gausmix/tau_0p05/fit_input_subsample_tt1000_x01_sorted	results/function_testing_20260309_static_paper_family_qspec/gausmix/tau_0p05/fit_input_subsample_tt1000_x01_sorted/validation_paper_tt1000	static_paper_tt1000	complete_on_jerez		TRUE	FALSE	FALSE	absent_on_muscat	complete_on_jerez	FALSE	TRUE
static_paper|gausmix|0.25|100|	static_paper	gausmix	0.25	100	none	results/function_testing_20260309_static_paper_family_qspec/gausmix/tau_0p25/fit_input_subsample_tt100_x01_sorted	results/function_testing_20260309_static_paper_family_qspec/gausmix/tau_0p25/fit_input_subsample_tt100_x01_sorted/validation_paper_tt100	static_paper_tt100	running_on_jerez	qsp_rsp100_20260310_204439	TRUE	FALSE	FALSE	absent_on_muscat	running_on_jerez	FALSE	TRUE
static_paper|gausmix|0.25|1000|	static_paper	gausmix	0.25	1000	none	results/function_testing_20260309_static_paper_family_qspec/gausmix/tau_0p25/fit_input_subsample_tt1000_x01_sorted	results/function_testing_20260309_static_paper_family_qspec/gausmix/tau_0p25/fit_input_subsample_tt1000_x01_sorted/validation_paper_tt1000	static_paper_tt1000	running_on_jerez	qsp_rsp1k_20260310_204439	TRUE	FALSE	FALSE	absent_on_muscat	running_on_jerez	FALSE	TRUE
static_shrink|gausmix|0.05|100|rhs	static_shrink	gausmix	0.05	100	rhs	results/function_testing_20260309_static_shrinkage_family_qspec/gausmix/tau_0p05/fit_input_subsample_tt100_x01_sorted	results/function_testing_20260309_static_shrinkage_family_qspec/gausmix/tau_0p05/fit_input_subsample_tt100_x01_sorted/validation_shrink_rhs_tt100	static_shrink_rhs_tt100	complete_on_jerez		TRUE	FALSE	FALSE	absent_on_muscat	complete_on_jerez	FALSE	TRUE
static_shrink|gausmix|0.05|100|ridge	static_shrink	gausmix	0.05	100	ridge	results/function_testing_20260309_static_shrinkage_family_qspec/gausmix/tau_0p05/fit_input_subsample_tt100_x01_sorted	results/function_testing_20260309_static_shrinkage_family_qspec/gausmix/tau_0p05/fit_input_subsample_tt100_x01_sorted/validation_shrink_ridge_tt100	static_shrink_ridge_tt100	complete_on_jerez		TRUE	FALSE	FALSE	absent_on_muscat	complete_on_jerez	FALSE	TRUE
