"item","value"
"manifest_rows","3600"
"core_rows","1800"
"extension_rows","1800"
"core_data_exists","TRUE"
"extension_data_exists","TRUE"
"missing_inputs","0"
"lib_dir","/home/jaguir26/local/src/exdqlm__wt__validation_rerun_after_0p4p0_integration/tools/merge_reports/static_bqrgal_aligned_20260408/r_libs"
