"phase","total","completed","running","not_started","pass","warn","fail","healthy","pct_completed","pct_active_or_done"
"confirm_row8_arm_D",1,0,0,1,0,0,0,0,0,0
"confirm_row16_arm_B",1,0,0,1,0,0,0,0,0,0
"confirm_row16_arm_D",1,0,0,1,0,0,0,0,0,0
"spread_remaining_arm_D",7,0,0,7,0,0,0,0,0,0
