"original_case_key","block","root_kind","family","tau","fit_size","prior_semantics","model","inference","baseline_gate_overall","best_phase","best_config_id","best_candidate_variant_tag","best_candidate_fit_path","best_health_csv","best_gate_overall","best_healthy","best_runtime_sec","best_status","promote_recommend","improvement_over_baseline"
"dynamic::gausmix::0p25::500::default::exdqlm::mcmc","dynamic","dynamic","gausmix","0p25",500,"default","exdqlm","mcmc","FAIL","anchor7_rw_joint","mcmc_exdqlm_rw_joint_anchor","orig288_dyn_tail7_rw_joint_20260406","/home/jaguir26/local/src/exdqlm__wt__dqlm-conjugacy-cavi-gibbs/results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/gausmix/tau_0p25/fit_input_lastTT500/validation_dynamic_tt500/fits/mcmc/mcmc_exdqlm_tau_0p25_fit_orig288_dyn_tail7_rw_joint_20260406.rds","/home/jaguir26/local/src/exdqlm__wt__dqlm-conjugacy-cavi-gibbs/tools/merge_reports/full288_original288_dynamic_tail7_rw_20260406/health/health_0002.csv","FAIL",FALSE,392.689,"done",FALSE,FALSE
"dynamic::laplace::0p05::500::default::exdqlm::mcmc","dynamic","dynamic","laplace","0p05",500,"default","exdqlm","mcmc","FAIL","anchor7_rw_joint","mcmc_exdqlm_rw_joint_anchor","orig288_dyn_tail7_rw_joint_20260406","/home/jaguir26/local/src/exdqlm__wt__dqlm-conjugacy-cavi-gibbs/results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/laplace/tau_0p05/fit_input_lastTT500/validation_dynamic_tt500/fits/mcmc/mcmc_exdqlm_tau_0p05_fit_orig288_dyn_tail7_rw_joint_20260406.rds","/home/jaguir26/local/src/exdqlm__wt__dqlm-conjugacy-cavi-gibbs/tools/merge_reports/full288_original288_dynamic_tail7_rw_20260406/health/health_0003.csv","FAIL",FALSE,393.539,"done",FALSE,FALSE
"dynamic::normal::0p05::500::default::exdqlm::mcmc","dynamic","dynamic","normal","0p05",500,"default","exdqlm","mcmc","FAIL","anchor7_rw_joint","mcmc_exdqlm_rw_joint_anchor","orig288_dyn_tail7_rw_joint_20260406","/home/jaguir26/local/src/exdqlm__wt__dqlm-conjugacy-cavi-gibbs/results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/normal/tau_0p05/fit_input_lastTT500/validation_dynamic_tt500/fits/mcmc/mcmc_exdqlm_tau_0p05_fit_orig288_dyn_tail7_rw_joint_20260406.rds","/home/jaguir26/local/src/exdqlm__wt__dqlm-conjugacy-cavi-gibbs/tools/merge_reports/full288_original288_dynamic_tail7_rw_20260406/health/health_0004.csv","FAIL",FALSE,396.481,"done",FALSE,FALSE
"dynamic::gausmix::0p05::5000::default::exdqlm::mcmc","dynamic","dynamic","gausmix","0p05",5000,"default","exdqlm","mcmc","FAIL","anchor7_rw_joint","mcmc_exdqlm_rw_joint_anchor","orig288_dyn_tail7_rw_joint_20260406","/home/jaguir26/local/src/exdqlm__wt__dqlm-conjugacy-cavi-gibbs/results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/gausmix/tau_0p05/fit_input_lastTT5000/validation_dynamic_tt5000/fits/mcmc/mcmc_exdqlm_tau_0p05_fit_orig288_dyn_tail7_rw_joint_20260406.rds","/home/jaguir26/local/src/exdqlm__wt__dqlm-conjugacy-cavi-gibbs/tools/merge_reports/full288_original288_dynamic_tail7_rw_20260406/health/health_0005.csv","FAIL",FALSE,6886.725,"done",FALSE,FALSE
"dynamic::laplace::0p05::5000::default::exdqlm::mcmc","dynamic","dynamic","laplace","0p05",5000,"default","exdqlm","mcmc","FAIL","anchor7_rw_joint","mcmc_exdqlm_rw_joint_anchor","orig288_dyn_tail7_rw_joint_20260406","/home/jaguir26/local/src/exdqlm__wt__dqlm-conjugacy-cavi-gibbs/results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/laplace/tau_0p05/fit_input_lastTT5000/validation_dynamic_tt5000/fits/mcmc/mcmc_exdqlm_tau_0p05_fit_orig288_dyn_tail7_rw_joint_20260406.rds","/home/jaguir26/local/src/exdqlm__wt__dqlm-conjugacy-cavi-gibbs/tools/merge_reports/full288_original288_dynamic_tail7_rw_20260406/health/health_0006.csv","FAIL",FALSE,6915.827,"done",FALSE,FALSE
"dynamic::normal::0p05::5000::default::exdqlm::mcmc","dynamic","dynamic","normal","0p05",5000,"default","exdqlm","mcmc","FAIL","anchor7_rw_joint","mcmc_exdqlm_rw_joint_anchor","orig288_dyn_tail7_rw_joint_20260406","/home/jaguir26/local/src/exdqlm__wt__dqlm-conjugacy-cavi-gibbs/results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/normal/tau_0p05/fit_input_lastTT5000/validation_dynamic_tt5000/fits/mcmc/mcmc_exdqlm_tau_0p05_fit_orig288_dyn_tail7_rw_joint_20260406.rds","/home/jaguir26/local/src/exdqlm__wt__dqlm-conjugacy-cavi-gibbs/tools/merge_reports/full288_original288_dynamic_tail7_rw_20260406/health/health_0007.csv","FAIL",FALSE,,"failed_runtime",FALSE,FALSE
