"block","total","pass","warn","fail","healthy_true","healthy_false","pct_pass","pct_warn","pct_fail","runtime_sec_total","runtime_sec_mean","runtime_sec_median"
"dynamic",72,56,10,6,66,6,77.8,13.9,8.3,165458.916,3121.866,742.807
"static_paper",72,57,15,0,72,0,79.2,20.8,0,1293.91,32.348,14.963
"static_shrink",144,117,27,0,144,0,81.2,18.8,0,3649.365,42.934,13.807
