action_class	count
newly_eligible_under_second_wave_policy	23
hold_out_aggressive_policy_only	23
rerun_with_deeper_mcmc	25
debug_vb_then_targeted_refit	5
debug_model_then_resample	20
exclude_until_numerical_fix	4
