"scenario_key","scope_label","block","root_kind","family","tau_label","fit_size","prior_semantics","model","gate_overall.mcmc","healthy.mcmc","gate_rank_num.mcmc","runtime_sec.mcmc","selected_pool.mcmc","selected_candidate.mcmc","gate_overall.vb","healthy.vb","gate_rank_num.vb","runtime_sec.vb","selected_pool.vb","selected_candidate.vb","gate_delta_mcmc_minus_vb","gate_comparison","runtime_ratio_mcmc_over_vb","faster_method"
"static_shrink::normal::0p05::100::rhs","root__static_shrink__normal__tau_0p05__tt_100__rhs","static_shrink","static_shrink","normal","0p05",100,"rhs","exal","WARN",TRUE,2,,"baseline_original","baseline","PASS",TRUE,1,12.375,"static_refresh_compact","rhsns_impl_refresh_20260329",-1,"vb_better",,
"static_shrink::normal::0p05::100::ridge","root__static_shrink__normal__tau_0p05__tt_100__ridge","static_shrink","static_shrink","normal","0p05",100,"ridge","al","PASS",TRUE,1,7.187,"static_refresh_compact","rhsns_impl_refresh_20260329","PASS",TRUE,1,,"baseline_original","baseline",0,"tie",,
"static_shrink::normal::0p05::100::ridge","root__static_shrink__normal__tau_0p05__tt_100__ridge","static_shrink","static_shrink","normal","0p05",100,"ridge","exal","WARN",TRUE,2,28.692,"static_refresh_compact","rhsns_impl_refresh_20260329","PASS",TRUE,1,11.315,"static_refresh_compact","rhsns_impl_refresh_20260329",-1,"vb_better",2.535749,"vb"
"static_shrink::normal::0p05::1000::rhs","root__static_shrink__normal__tau_0p05__tt_1000__rhs","static_shrink","static_shrink","normal","0p05",1000,"rhs","al","PASS",TRUE,1,9.323,"static_refresh_compact","rhsns_impl_refresh_20260329","PASS",TRUE,1,,"baseline_original","baseline",0,"tie",,
"static_shrink::normal::0p05::1000::rhs","root__static_shrink__normal__tau_0p05__tt_1000__rhs","static_shrink","static_shrink","normal","0p05",1000,"rhs","exal","PASS",TRUE,1,61.393,"syncedbase_faithful_replay_20260407","row_0244","PASS",TRUE,1,15.989,"static_refresh_compact","rhsns_impl_refresh_20260329",0,"tie",3.839702,"vb"
"static_shrink::normal::0p05::1000::ridge","root__static_shrink__normal__tau_0p05__tt_1000__ridge","static_shrink","static_shrink","normal","0p05",1000,"ridge","al","PASS",TRUE,1,,"baseline_original","baseline","PASS",TRUE,1,,"baseline_original","baseline",0,"tie",,
"static_shrink::normal::0p05::1000::ridge","root__static_shrink__normal__tau_0p05__tt_1000__ridge","static_shrink","static_shrink","normal","0p05",1000,"ridge","exal","WARN",TRUE,2,63.046,"hybrid_291_selection","F085_sub2_s100","PASS",TRUE,1,16.64,"static_refresh_compact","rhsns_impl_refresh_20260329",-1,"vb_better",3.788822,"vb"
"static_shrink::normal::0p25::100::rhs","root__static_shrink__normal__tau_0p25__tt_100__rhs","static_shrink","static_shrink","normal","0p25",100,"rhs","al","PASS",TRUE,1,,"baseline_original","baseline","PASS",TRUE,1,,"baseline_original","baseline",0,"tie",,
"static_shrink::normal::0p25::100::rhs","root__static_shrink__normal__tau_0p25__tt_100__rhs","static_shrink","static_shrink","normal","0p25",100,"rhs","exal","PASS",TRUE,1,165.857,"hybrid_291_selection","F080_sub2_s105","WARN",TRUE,2,13.367,"static_refresh_compact","rhsns_impl_refresh_20260329",1,"mcmc_better",12.407945,"vb"
"static_shrink::normal::0p25::100::ridge","root__static_shrink__normal__tau_0p25__tt_100__ridge","static_shrink","static_shrink","normal","0p25",100,"ridge","al","PASS",TRUE,1,,"baseline_original","baseline","PASS",TRUE,1,,"baseline_original","baseline",0,"tie",,
"static_shrink::normal::0p25::100::ridge","root__static_shrink__normal__tau_0p25__tt_100__ridge","static_shrink","static_shrink","normal","0p25",100,"ridge","exal","WARN",TRUE,2,,"baseline_original","baseline","WARN",TRUE,2,13.105,"static_refresh_compact","rhsns_impl_refresh_20260329",0,"tie",,
"static_shrink::normal::0p25::1000::rhs","root__static_shrink__normal__tau_0p25__tt_1000__rhs","static_shrink","static_shrink","normal","0p25",1000,"rhs","al","PASS",TRUE,1,,"baseline_original","baseline","PASS",TRUE,1,,"baseline_original","baseline",0,"tie",,
"static_shrink::normal::0p25::1000::rhs","root__static_shrink__normal__tau_0p25__tt_1000__rhs","static_shrink","static_shrink","normal","0p25",1000,"rhs","exal","WARN",TRUE,2,304.585,"hybrid_291_selection","F0845_sub2_s100_histshort","WARN",TRUE,2,16.641,"static_refresh_compact","rhsns_impl_refresh_20260329",0,"tie",18.303287,"vb"
"static_shrink::normal::0p25::1000::ridge","root__static_shrink__normal__tau_0p25__tt_1000__ridge","static_shrink","static_shrink","normal","0p25",1000,"ridge","al","PASS",TRUE,1,,"baseline_original","baseline","PASS",TRUE,1,,"baseline_original","baseline",0,"tie",,
"static_shrink::normal::0p25::1000::ridge","root__static_shrink__normal__tau_0p25__tt_1000__ridge","static_shrink","static_shrink","normal","0p25",1000,"ridge","exal","WARN",TRUE,2,58.993,"hybrid_291_selection","F080_sub2_s105","WARN",TRUE,2,15.933,"static_refresh_compact","rhsns_impl_refresh_20260329",0,"tie",3.702567,"vb"
"static_shrink::normal::0p95::100::rhs","root__static_shrink__normal__tau_0p95__tt_100__rhs","static_shrink","static_shrink","normal","0p95",100,"rhs","al","PASS",TRUE,1,7.001,"static_refresh_compact","rhsns_impl_refresh_20260329","PASS",TRUE,1,1.071,"static_refresh_compact","rhsns_impl_refresh_20260329",0,"tie",6.536881,"vb"
"static_shrink::normal::0p95::100::rhs","root__static_shrink__normal__tau_0p95__tt_100__rhs","static_shrink","static_shrink","normal","0p95",100,"rhs","exal","PASS",TRUE,1,165.837,"hybrid_291_selection","F085_sub2_s100","PASS",TRUE,1,8.88,"static_refresh_compact","rhsns_impl_refresh_20260329",0,"tie",18.675338,"vb"
"static_shrink::normal::0p95::100::ridge","root__static_shrink__normal__tau_0p95__tt_100__ridge","static_shrink","static_shrink","normal","0p95",100,"ridge","al","PASS",TRUE,1,7.747,"static_refresh_compact","rhsns_impl_refresh_20260329","PASS",TRUE,1,,"baseline_original","baseline",0,"tie",,
"static_shrink::normal::0p95::100::ridge","root__static_shrink__normal__tau_0p95__tt_100__ridge","static_shrink","static_shrink","normal","0p95",100,"ridge","exal","PASS",TRUE,1,94.545,"hybrid_291_selection","F0845_sub2_s1025","PASS",TRUE,1,8.841,"static_refresh_compact","rhsns_impl_refresh_20260329",0,"tie",10.693926,"vb"
"static_shrink::normal::0p95::1000::rhs","root__static_shrink__normal__tau_0p95__tt_1000__rhs","static_shrink","static_shrink","normal","0p95",1000,"rhs","al","PASS",TRUE,1,9.512,"static_refresh_compact","rhsns_impl_refresh_20260329","PASS",TRUE,1,,"baseline_original","baseline",0,"tie",,
"static_shrink::normal::0p95::1000::rhs","root__static_shrink__normal__tau_0p95__tt_1000__rhs","static_shrink","static_shrink","normal","0p95",1000,"rhs","exal","PASS",TRUE,1,61.36,"hybrid_291_selection","F080_sub2_s105","PASS",TRUE,1,13.594,"static_refresh_compact","rhsns_impl_refresh_20260329",0,"tie",4.513756,"vb"
"static_shrink::normal::0p95::1000::ridge","root__static_shrink__normal__tau_0p95__tt_1000__ridge","static_shrink","static_shrink","normal","0p95",1000,"ridge","al","PASS",TRUE,1,10.148,"static_refresh_compact","rhsns_impl_refresh_20260329","PASS",TRUE,1,,"baseline_original","baseline",0,"tie",,
"static_shrink::normal::0p95::1000::ridge","root__static_shrink__normal__tau_0p95__tt_1000__ridge","static_shrink","static_shrink","normal","0p95",1000,"ridge","exal","WARN",TRUE,2,62.346,"hybrid_291_selection","F085_sub2_s100","PASS",TRUE,1,13.071,"static_refresh_compact","rhsns_impl_refresh_20260329",-1,"vb_better",4.769796,"vb"
