"phase","total","completed","running","not_started","pass","warn","fail","healthy","pct_completed","pct_active_or_done"
"arm_A",1,0,0,1,0,0,0,0,0,0
"arm_B",1,0,0,1,0,0,0,0,0,0
"arm_C",1,0,0,1,0,0,0,0,0,0
"arm_D",1,0,0,1,0,0,0,0,0,0
"arm_E",1,0,0,1,0,0,0,0,0,0
"arm_F",1,0,0,1,0,0,0,0,0,0
"arm_G",1,0,0,1,0,0,0,0,0,0
