"row_id","phase","original_case_key","accepted_gate","gate_current","healthy_current","candidate_fit_path","health_csv","runtime_sec","selected_source_type","selected_source_subtype","selected_candidate","selected_variant_tag","selected_fit_path","selected_health_path","selected_summary_path","source_path","selection_mode","selection_reason"
2,"phase1_vb_all","dynamic::gausmix::0p05::500::default::exdqlm::vb","WARN","PASS",TRUE,"/home/jaguir26/local/src/exdqlm__wt__validation_rerun_after_0p4p0_integration/results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/gausmix/tau_0p05/fit_input_lastTT500/validation_dynamic_tt500/fits/vb/vb_exdqlm_tau_0p05_fit_orig288_sync0p4p0_faithful_20260407.rds","/home/jaguir26/local/src/exdqlm__wt__validation_rerun_after_0p4p0_integration/tools/merge_reports/full288_original288_syncedbase_faithful_replay_20260407/health/health_0002.csv",631.985,"syncedbase_faithful_replay_20260407","phase1_vb_all","row_0002","orig288_sync0p4p0_faithful_20260407","/home/jaguir26/local/src/exdqlm__wt__validation_rerun_after_0p4p0_integration/results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/gausmix/tau_0p05/fit_input_lastTT500/validation_dynamic_tt500/fits/vb/vb_exdqlm_tau_0p05_fit_orig288_sync0p4p0_faithful_20260407.rds","/home/jaguir26/local/src/exdqlm__wt__validation_rerun_after_0p4p0_integration/tools/merge_reports/full288_original288_syncedbase_faithful_replay_20260407/health/health_0002.csv","/home/jaguir26/local/src/exdqlm__wt__validation_rerun_after_0p4p0_integration/tools/merge_reports/full288_original288_syncedbase_faithful_replay_20260407/health/health_0002.csv","/home/jaguir26/local/src/exdqlm__wt__validation_rerun_after_0p4p0_integration/tools/merge_reports/full288_original288_syncedbase_faithful_replay_20260407/health/health_0002.csv","promoted_syncedbase_faithful_replay","Promote synced-base faithful replay row row_0002 after improving accepted carry-forward from WARN to PASS on the updated 0.4.0 base."
3,"phase1_vb_all","dynamic::gausmix::0p05::5000::default::dqlm::vb","WARN","PASS",TRUE,"/home/jaguir26/local/src/exdqlm__wt__validation_rerun_after_0p4p0_integration/results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/gausmix/tau_0p05/fit_input_lastTT5000/validation_dynamic_tt5000/fits/vb/vb_dqlm_tau_0p05_fit_orig288_sync0p4p0_faithful_20260407.rds","/home/jaguir26/local/src/exdqlm__wt__validation_rerun_after_0p4p0_integration/tools/merge_reports/full288_original288_syncedbase_faithful_replay_20260407/health/health_0003.csv",363.593,"syncedbase_faithful_replay_20260407","phase1_vb_all","row_0003","orig288_sync0p4p0_faithful_20260407","/home/jaguir26/local/src/exdqlm__wt__validation_rerun_after_0p4p0_integration/results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/gausmix/tau_0p05/fit_input_lastTT5000/validation_dynamic_tt5000/fits/vb/vb_dqlm_tau_0p05_fit_orig288_sync0p4p0_faithful_20260407.rds","/home/jaguir26/local/src/exdqlm__wt__validation_rerun_after_0p4p0_integration/tools/merge_reports/full288_original288_syncedbase_faithful_replay_20260407/health/health_0003.csv","/home/jaguir26/local/src/exdqlm__wt__validation_rerun_after_0p4p0_integration/tools/merge_reports/full288_original288_syncedbase_faithful_replay_20260407/health/health_0003.csv","/home/jaguir26/local/src/exdqlm__wt__validation_rerun_after_0p4p0_integration/tools/merge_reports/full288_original288_syncedbase_faithful_replay_20260407/health/health_0003.csv","promoted_syncedbase_faithful_replay","Promote synced-base faithful replay row row_0003 after improving accepted carry-forward from WARN to PASS on the updated 0.4.0 base."
6,"phase1_vb_all","dynamic::gausmix::0p25::500::default::exdqlm::vb","WARN","PASS",TRUE,"/home/jaguir26/local/src/exdqlm__wt__validation_rerun_after_0p4p0_integration/results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/gausmix/tau_0p25/fit_input_lastTT500/validation_dynamic_tt500/fits/vb/vb_exdqlm_tau_0p25_fit_orig288_sync0p4p0_faithful_20260407.rds","/home/jaguir26/local/src/exdqlm__wt__validation_rerun_after_0p4p0_integration/tools/merge_reports/full288_original288_syncedbase_faithful_replay_20260407/health/health_0006.csv",135.082,"syncedbase_faithful_replay_20260407","phase1_vb_all","row_0006","orig288_sync0p4p0_faithful_20260407","/home/jaguir26/local/src/exdqlm__wt__validation_rerun_after_0p4p0_integration/results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/gausmix/tau_0p25/fit_input_lastTT500/validation_dynamic_tt500/fits/vb/vb_exdqlm_tau_0p25_fit_orig288_sync0p4p0_faithful_20260407.rds","/home/jaguir26/local/src/exdqlm__wt__validation_rerun_after_0p4p0_integration/tools/merge_reports/full288_original288_syncedbase_faithful_replay_20260407/health/health_0006.csv","/home/jaguir26/local/src/exdqlm__wt__validation_rerun_after_0p4p0_integration/tools/merge_reports/full288_original288_syncedbase_faithful_replay_20260407/health/health_0006.csv","/home/jaguir26/local/src/exdqlm__wt__validation_rerun_after_0p4p0_integration/tools/merge_reports/full288_original288_syncedbase_faithful_replay_20260407/health/health_0006.csv","promoted_syncedbase_faithful_replay","Promote synced-base faithful replay row row_0006 after improving accepted carry-forward from WARN to PASS on the updated 0.4.0 base."
8,"phase1_vb_all","dynamic::gausmix::0p25::5000::default::exdqlm::vb","WARN","PASS",TRUE,"/home/jaguir26/local/src/exdqlm__wt__validation_rerun_after_0p4p0_integration/results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/gausmix/tau_0p25/fit_input_lastTT5000/validation_dynamic_tt5000/fits/vb/vb_exdqlm_tau_0p25_fit_orig288_sync0p4p0_faithful_20260407.rds","/home/jaguir26/local/src/exdqlm__wt__validation_rerun_after_0p4p0_integration/tools/merge_reports/full288_original288_syncedbase_faithful_replay_20260407/health/health_0008.csv",552.729,"syncedbase_faithful_replay_20260407","phase1_vb_all","row_0008","orig288_sync0p4p0_faithful_20260407","/home/jaguir26/local/src/exdqlm__wt__validation_rerun_after_0p4p0_integration/results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/gausmix/tau_0p25/fit_input_lastTT5000/validation_dynamic_tt5000/fits/vb/vb_exdqlm_tau_0p25_fit_orig288_sync0p4p0_faithful_20260407.rds","/home/jaguir26/local/src/exdqlm__wt__validation_rerun_after_0p4p0_integration/tools/merge_reports/full288_original288_syncedbase_faithful_replay_20260407/health/health_0008.csv","/home/jaguir26/local/src/exdqlm__wt__validation_rerun_after_0p4p0_integration/tools/merge_reports/full288_original288_syncedbase_faithful_replay_20260407/health/health_0008.csv","/home/jaguir26/local/src/exdqlm__wt__validation_rerun_after_0p4p0_integration/tools/merge_reports/full288_original288_syncedbase_faithful_replay_20260407/health/health_0008.csv","promoted_syncedbase_faithful_replay","Promote synced-base faithful replay row row_0008 after improving accepted carry-forward from WARN to PASS on the updated 0.4.0 base."
10,"phase1_vb_all","dynamic::gausmix::0p95::500::default::exdqlm::vb","WARN","PASS",TRUE,"/home/jaguir26/local/src/exdqlm__wt__validation_rerun_after_0p4p0_integration/results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/gausmix/tau_0p95/fit_input_lastTT500/validation_dynamic_tt500/fits/vb/vb_exdqlm_tau_0p95_fit_orig288_sync0p4p0_faithful_20260407.rds","/home/jaguir26/local/src/exdqlm__wt__validation_rerun_after_0p4p0_integration/tools/merge_reports/full288_original288_syncedbase_faithful_replay_20260407/health/health_0010.csv",168.768,"syncedbase_faithful_replay_20260407","phase1_vb_all","row_0010","orig288_sync0p4p0_faithful_20260407","/home/jaguir26/local/src/exdqlm__wt__validation_rerun_after_0p4p0_integration/results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/gausmix/tau_0p95/fit_input_lastTT500/validation_dynamic_tt500/fits/vb/vb_exdqlm_tau_0p95_fit_orig288_sync0p4p0_faithful_20260407.rds","/home/jaguir26/local/src/exdqlm__wt__validation_rerun_after_0p4p0_integration/tools/merge_reports/full288_original288_syncedbase_faithful_replay_20260407/health/health_0010.csv","/home/jaguir26/local/src/exdqlm__wt__validation_rerun_after_0p4p0_integration/tools/merge_reports/full288_original288_syncedbase_faithful_replay_20260407/health/health_0010.csv","/home/jaguir26/local/src/exdqlm__wt__validation_rerun_after_0p4p0_integration/tools/merge_reports/full288_original288_syncedbase_faithful_replay_20260407/health/health_0010.csv","promoted_syncedbase_faithful_replay","Promote synced-base faithful replay row row_0010 after improving accepted carry-forward from WARN to PASS on the updated 0.4.0 base."
11,"phase1_vb_all","dynamic::gausmix::0p95::5000::default::dqlm::vb","WARN","PASS",TRUE,"/home/jaguir26/local/src/exdqlm__wt__validation_rerun_after_0p4p0_integration/results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/gausmix/tau_0p95/fit_input_lastTT5000/validation_dynamic_tt5000/fits/vb/vb_dqlm_tau_0p95_fit_orig288_sync0p4p0_faithful_20260407.rds","/home/jaguir26/local/src/exdqlm__wt__validation_rerun_after_0p4p0_integration/tools/merge_reports/full288_original288_syncedbase_faithful_replay_20260407/health/health_0011.csv",428.993,"syncedbase_faithful_replay_20260407","phase1_vb_all","row_0011","orig288_sync0p4p0_faithful_20260407","/home/jaguir26/local/src/exdqlm__wt__validation_rerun_after_0p4p0_integration/results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/gausmix/tau_0p95/fit_input_lastTT5000/validation_dynamic_tt5000/fits/vb/vb_dqlm_tau_0p95_fit_orig288_sync0p4p0_faithful_20260407.rds","/home/jaguir26/local/src/exdqlm__wt__validation_rerun_after_0p4p0_integration/tools/merge_reports/full288_original288_syncedbase_faithful_replay_20260407/health/health_0011.csv","/home/jaguir26/local/src/exdqlm__wt__validation_rerun_after_0p4p0_integration/tools/merge_reports/full288_original288_syncedbase_faithful_replay_20260407/health/health_0011.csv","/home/jaguir26/local/src/exdqlm__wt__validation_rerun_after_0p4p0_integration/tools/merge_reports/full288_original288_syncedbase_faithful_replay_20260407/health/health_0011.csv","promoted_syncedbase_faithful_replay","Promote synced-base faithful replay row row_0011 after improving accepted carry-forward from WARN to PASS on the updated 0.4.0 base."
12,"phase1_vb_all","dynamic::gausmix::0p95::5000::default::exdqlm::vb","WARN","PASS",TRUE,"/home/jaguir26/local/src/exdqlm__wt__validation_rerun_after_0p4p0_integration/results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/gausmix/tau_0p95/fit_input_lastTT5000/validation_dynamic_tt5000/fits/vb/vb_exdqlm_tau_0p95_fit_orig288_sync0p4p0_faithful_20260407.rds","/home/jaguir26/local/src/exdqlm__wt__validation_rerun_after_0p4p0_integration/tools/merge_reports/full288_original288_syncedbase_faithful_replay_20260407/health/health_0012.csv",974.438,"syncedbase_faithful_replay_20260407","phase1_vb_all","row_0012","orig288_sync0p4p0_faithful_20260407","/home/jaguir26/local/src/exdqlm__wt__validation_rerun_after_0p4p0_integration/results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/gausmix/tau_0p95/fit_input_lastTT5000/validation_dynamic_tt5000/fits/vb/vb_exdqlm_tau_0p95_fit_orig288_sync0p4p0_faithful_20260407.rds","/home/jaguir26/local/src/exdqlm__wt__validation_rerun_after_0p4p0_integration/tools/merge_reports/full288_original288_syncedbase_faithful_replay_20260407/health/health_0012.csv","/home/jaguir26/local/src/exdqlm__wt__validation_rerun_after_0p4p0_integration/tools/merge_reports/full288_original288_syncedbase_faithful_replay_20260407/health/health_0012.csv","/home/jaguir26/local/src/exdqlm__wt__validation_rerun_after_0p4p0_integration/tools/merge_reports/full288_original288_syncedbase_faithful_replay_20260407/health/health_0012.csv","promoted_syncedbase_faithful_replay","Promote synced-base faithful replay row row_0012 after improving accepted carry-forward from WARN to PASS on the updated 0.4.0 base."
14,"phase1_vb_all","dynamic::laplace::0p05::500::default::exdqlm::vb","WARN","PASS",TRUE,"/home/jaguir26/local/src/exdqlm__wt__validation_rerun_after_0p4p0_integration/results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/laplace/tau_0p05/fit_input_lastTT500/validation_dynamic_tt500/fits/vb/vb_exdqlm_tau_0p05_fit_orig288_sync0p4p0_faithful_20260407.rds","/home/jaguir26/local/src/exdqlm__wt__validation_rerun_after_0p4p0_integration/tools/merge_reports/full288_original288_syncedbase_faithful_replay_20260407/health/health_0014.csv",645.386,"syncedbase_faithful_replay_20260407","phase1_vb_all","row_0014","orig288_sync0p4p0_faithful_20260407","/home/jaguir26/local/src/exdqlm__wt__validation_rerun_after_0p4p0_integration/results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/laplace/tau_0p05/fit_input_lastTT500/validation_dynamic_tt500/fits/vb/vb_exdqlm_tau_0p05_fit_orig288_sync0p4p0_faithful_20260407.rds","/home/jaguir26/local/src/exdqlm__wt__validation_rerun_after_0p4p0_integration/tools/merge_reports/full288_original288_syncedbase_faithful_replay_20260407/health/health_0014.csv","/home/jaguir26/local/src/exdqlm__wt__validation_rerun_after_0p4p0_integration/tools/merge_reports/full288_original288_syncedbase_faithful_replay_20260407/health/health_0014.csv","/home/jaguir26/local/src/exdqlm__wt__validation_rerun_after_0p4p0_integration/tools/merge_reports/full288_original288_syncedbase_faithful_replay_20260407/health/health_0014.csv","promoted_syncedbase_faithful_replay","Promote synced-base faithful replay row row_0014 after improving accepted carry-forward from WARN to PASS on the updated 0.4.0 base."
15,"phase1_vb_all","dynamic::laplace::0p05::5000::default::dqlm::vb","WARN","PASS",TRUE,"/home/jaguir26/local/src/exdqlm__wt__validation_rerun_after_0p4p0_integration/results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/laplace/tau_0p05/fit_input_lastTT5000/validation_dynamic_tt5000/fits/vb/vb_dqlm_tau_0p05_fit_orig288_sync0p4p0_faithful_20260407.rds","/home/jaguir26/local/src/exdqlm__wt__validation_rerun_after_0p4p0_integration/tools/merge_reports/full288_original288_syncedbase_faithful_replay_20260407/health/health_0015.csv",361.245,"syncedbase_faithful_replay_20260407","phase1_vb_all","row_0015","orig288_sync0p4p0_faithful_20260407","/home/jaguir26/local/src/exdqlm__wt__validation_rerun_after_0p4p0_integration/results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/laplace/tau_0p05/fit_input_lastTT5000/validation_dynamic_tt5000/fits/vb/vb_dqlm_tau_0p05_fit_orig288_sync0p4p0_faithful_20260407.rds","/home/jaguir26/local/src/exdqlm__wt__validation_rerun_after_0p4p0_integration/tools/merge_reports/full288_original288_syncedbase_faithful_replay_20260407/health/health_0015.csv","/home/jaguir26/local/src/exdqlm__wt__validation_rerun_after_0p4p0_integration/tools/merge_reports/full288_original288_syncedbase_faithful_replay_20260407/health/health_0015.csv","/home/jaguir26/local/src/exdqlm__wt__validation_rerun_after_0p4p0_integration/tools/merge_reports/full288_original288_syncedbase_faithful_replay_20260407/health/health_0015.csv","promoted_syncedbase_faithful_replay","Promote synced-base faithful replay row row_0015 after improving accepted carry-forward from WARN to PASS on the updated 0.4.0 base."
18,"phase1_vb_all","dynamic::laplace::0p25::500::default::exdqlm::vb","WARN","PASS",TRUE,"/home/jaguir26/local/src/exdqlm__wt__validation_rerun_after_0p4p0_integration/results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/laplace/tau_0p25/fit_input_lastTT500/validation_dynamic_tt500/fits/vb/vb_exdqlm_tau_0p25_fit_orig288_sync0p4p0_faithful_20260407.rds","/home/jaguir26/local/src/exdqlm__wt__validation_rerun_after_0p4p0_integration/tools/merge_reports/full288_original288_syncedbase_faithful_replay_20260407/health/health_0018.csv",134.307,"syncedbase_faithful_replay_20260407","phase1_vb_all","row_0018","orig288_sync0p4p0_faithful_20260407","/home/jaguir26/local/src/exdqlm__wt__validation_rerun_after_0p4p0_integration/results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/laplace/tau_0p25/fit_input_lastTT500/validation_dynamic_tt500/fits/vb/vb_exdqlm_tau_0p25_fit_orig288_sync0p4p0_faithful_20260407.rds","/home/jaguir26/local/src/exdqlm__wt__validation_rerun_after_0p4p0_integration/tools/merge_reports/full288_original288_syncedbase_faithful_replay_20260407/health/health_0018.csv","/home/jaguir26/local/src/exdqlm__wt__validation_rerun_after_0p4p0_integration/tools/merge_reports/full288_original288_syncedbase_faithful_replay_20260407/health/health_0018.csv","/home/jaguir26/local/src/exdqlm__wt__validation_rerun_after_0p4p0_integration/tools/merge_reports/full288_original288_syncedbase_faithful_replay_20260407/health/health_0018.csv","promoted_syncedbase_faithful_replay","Promote synced-base faithful replay row row_0018 after improving accepted carry-forward from WARN to PASS on the updated 0.4.0 base."
