"row_id","base_row_id","original_case_key","pair_id","seed","status","phase","phase_order","block","root_kind","family","tau","tau_label","fit_size","prior_semantics","model","inference","source_dataset_id","method_profile_id","config_path","run_root","candidate_fit_path","vb_init_fit_path","row_status_path","health_path","metrics_path","draws_path","stored_posterior_draws","source_failed_row_id","source_runtime_mode","plan_role","retain_candidate_fit_binaries","retain_vb_init_binaries","retain_draw_binaries"
9201,8,"dynamic::gausmix::0p05::5000::default::exdqlm::mcmc","dynamic::gausmix::0p05::5000::default::exdqlm",216037,"not_started","confirm_row8_arm_D",1,"dynamic","dynamic","gausmix",0.05,"0p05",5000,"default","exdqlm","mcmc","dynamic::gausmix::0p05::5000","exdqlm_tt5000_recovery__arm_D_prod","tools/merge_reports/full288_refreshed288_paperaligned_20260420_exdqlm_tt5000_recovery_v1/configs/row_9201_run_config.rds","tools/merge_reports/full288_refreshed288_paperaligned_20260420_exdqlm_tt5000_recovery_v1","tools/merge_reports/full288_refreshed288_paperaligned_20260420_exdqlm_tt5000_recovery_v1/fits/mcmc/row_9201_dynamic_gausmix_0p05_5000_default_exdqlm_mcmc_row8_armd_fit.rds","tools/merge_reports/full288_refreshed288_paperaligned_20260420_exdqlm_tt5000_recovery_v1/vb_init/dynamic/row_9201_dynamic_gausmix_0p05_5000_default_exdqlm_mcmc_row8_armd_vb_init.rds","tools/merge_reports/full288_refreshed288_paperaligned_20260420_exdqlm_tt5000_recovery_v1/rows/row_9201_status.csv","tools/merge_reports/full288_refreshed288_paperaligned_20260420_exdqlm_tt5000_recovery_v1/health/row_9201_health.csv","tools/merge_reports/full288_refreshed288_paperaligned_20260420_exdqlm_tt5000_recovery_v1/metrics/row_9201_metrics.csv","tools/merge_reports/full288_refreshed288_paperaligned_20260420_exdqlm_tt5000_recovery_v1/draws/row_9201_draws.rds",20000,8,"exdqlm_mcmc_uts (iter=1) chi has 5000 non-finite values (first index=1)","fullconfirm_row8_d",TRUE,TRUE,TRUE
9202,16,"dynamic::gausmix::0p25::5000::default::exdqlm::mcmc","dynamic::gausmix::0p25::5000::default::exdqlm",216079,"not_started","confirm_row16_arm_B",2,"dynamic","dynamic","gausmix",0.25,"0p25",5000,"default","exdqlm","mcmc","dynamic::gausmix::0p25::5000","exdqlm_tt5000_recovery__arm_B_prod","tools/merge_reports/full288_refreshed288_paperaligned_20260420_exdqlm_tt5000_recovery_v1/configs/row_9202_run_config.rds","tools/merge_reports/full288_refreshed288_paperaligned_20260420_exdqlm_tt5000_recovery_v1","tools/merge_reports/full288_refreshed288_paperaligned_20260420_exdqlm_tt5000_recovery_v1/fits/mcmc/row_9202_dynamic_gausmix_0p25_5000_default_exdqlm_mcmc_row16_armb_fit.rds","tools/merge_reports/full288_refreshed288_paperaligned_20260420_exdqlm_tt5000_recovery_v1/vb_init/dynamic/row_9202_dynamic_gausmix_0p25_5000_default_exdqlm_mcmc_row16_armb_vb_init.rds","tools/merge_reports/full288_refreshed288_paperaligned_20260420_exdqlm_tt5000_recovery_v1/rows/row_9202_status.csv","tools/merge_reports/full288_refreshed288_paperaligned_20260420_exdqlm_tt5000_recovery_v1/health/row_9202_health.csv","tools/merge_reports/full288_refreshed288_paperaligned_20260420_exdqlm_tt5000_recovery_v1/metrics/row_9202_metrics.csv","tools/merge_reports/full288_refreshed288_paperaligned_20260420_exdqlm_tt5000_recovery_v1/draws/row_9202_draws.rds",20000,16,"exdqlm_mcmc_uts (iter=1) chi has 5000 non-finite values (first index=1)","confirmatory_row16_b",TRUE,TRUE,TRUE
9203,16,"dynamic::gausmix::0p25::5000::default::exdqlm::mcmc","dynamic::gausmix::0p25::5000::default::exdqlm",216079,"not_started","confirm_row16_arm_D",3,"dynamic","dynamic","gausmix",0.25,"0p25",5000,"default","exdqlm","mcmc","dynamic::gausmix::0p25::5000","exdqlm_tt5000_recovery__arm_D_prod","tools/merge_reports/full288_refreshed288_paperaligned_20260420_exdqlm_tt5000_recovery_v1/configs/row_9203_run_config.rds","tools/merge_reports/full288_refreshed288_paperaligned_20260420_exdqlm_tt5000_recovery_v1","tools/merge_reports/full288_refreshed288_paperaligned_20260420_exdqlm_tt5000_recovery_v1/fits/mcmc/row_9203_dynamic_gausmix_0p25_5000_default_exdqlm_mcmc_row16_armd_fit.rds","tools/merge_reports/full288_refreshed288_paperaligned_20260420_exdqlm_tt5000_recovery_v1/vb_init/dynamic/row_9203_dynamic_gausmix_0p25_5000_default_exdqlm_mcmc_row16_armd_vb_init.rds","tools/merge_reports/full288_refreshed288_paperaligned_20260420_exdqlm_tt5000_recovery_v1/rows/row_9203_status.csv","tools/merge_reports/full288_refreshed288_paperaligned_20260420_exdqlm_tt5000_recovery_v1/health/row_9203_health.csv","tools/merge_reports/full288_refreshed288_paperaligned_20260420_exdqlm_tt5000_recovery_v1/metrics/row_9203_metrics.csv","tools/merge_reports/full288_refreshed288_paperaligned_20260420_exdqlm_tt5000_recovery_v1/draws/row_9203_draws.rds",20000,16,"exdqlm_mcmc_uts (iter=1) chi has 5000 non-finite values (first index=1)","confirmatory_row16_d",TRUE,TRUE,TRUE
9204,24,"dynamic::gausmix::0p50::5000::default::exdqlm::mcmc","dynamic::gausmix::0p50::5000::default::exdqlm",216032,"not_started","spread_remaining_arm_D",4,"dynamic","dynamic","gausmix",0.5,"0p50",5000,"default","exdqlm","mcmc","dynamic::gausmix::0p50::5000","exdqlm_tt5000_recovery__arm_D_prod","tools/merge_reports/full288_refreshed288_paperaligned_20260420_exdqlm_tt5000_recovery_v1/configs/row_9204_run_config.rds","tools/merge_reports/full288_refreshed288_paperaligned_20260420_exdqlm_tt5000_recovery_v1","tools/merge_reports/full288_refreshed288_paperaligned_20260420_exdqlm_tt5000_recovery_v1/fits/mcmc/row_9204_dynamic_gausmix_0p50_5000_default_exdqlm_mcmc_row24_armd_fit.rds","tools/merge_reports/full288_refreshed288_paperaligned_20260420_exdqlm_tt5000_recovery_v1/vb_init/dynamic/row_9204_dynamic_gausmix_0p50_5000_default_exdqlm_mcmc_row24_armd_vb_init.rds","tools/merge_reports/full288_refreshed288_paperaligned_20260420_exdqlm_tt5000_recovery_v1/rows/row_9204_status.csv","tools/merge_reports/full288_refreshed288_paperaligned_20260420_exdqlm_tt5000_recovery_v1/health/row_9204_health.csv","tools/merge_reports/full288_refreshed288_paperaligned_20260420_exdqlm_tt5000_recovery_v1/metrics/row_9204_metrics.csv","tools/merge_reports/full288_refreshed288_paperaligned_20260420_exdqlm_tt5000_recovery_v1/draws/row_9204_draws.rds",20000,24,"exdqlm_mcmc_uts (iter=1) chi has 5000 non-finite values (first index=1)","spread_remaining_d",TRUE,TRUE,TRUE
9205,32,"dynamic::laplace::0p05::5000::default::exdqlm::mcmc","dynamic::laplace::0p05::5000::default::exdqlm",215374,"not_started","spread_remaining_arm_D",4,"dynamic","dynamic","laplace",0.05,"0p05",5000,"default","exdqlm","mcmc","dynamic::laplace::0p05::5000","exdqlm_tt5000_recovery__arm_D_prod","tools/merge_reports/full288_refreshed288_paperaligned_20260420_exdqlm_tt5000_recovery_v1/configs/row_9205_run_config.rds","tools/merge_reports/full288_refreshed288_paperaligned_20260420_exdqlm_tt5000_recovery_v1","tools/merge_reports/full288_refreshed288_paperaligned_20260420_exdqlm_tt5000_recovery_v1/fits/mcmc/row_9205_dynamic_laplace_0p05_5000_default_exdqlm_mcmc_row32_armd_fit.rds","tools/merge_reports/full288_refreshed288_paperaligned_20260420_exdqlm_tt5000_recovery_v1/vb_init/dynamic/row_9205_dynamic_laplace_0p05_5000_default_exdqlm_mcmc_row32_armd_vb_init.rds","tools/merge_reports/full288_refreshed288_paperaligned_20260420_exdqlm_tt5000_recovery_v1/rows/row_9205_status.csv","tools/merge_reports/full288_refreshed288_paperaligned_20260420_exdqlm_tt5000_recovery_v1/health/row_9205_health.csv","tools/merge_reports/full288_refreshed288_paperaligned_20260420_exdqlm_tt5000_recovery_v1/metrics/row_9205_metrics.csv","tools/merge_reports/full288_refreshed288_paperaligned_20260420_exdqlm_tt5000_recovery_v1/draws/row_9205_draws.rds",20000,32,"exdqlm_mcmc_uts (iter=1) chi has 5000 non-finite values (first index=1)","spread_remaining_d",TRUE,TRUE,TRUE
9206,40,"dynamic::laplace::0p25::5000::default::exdqlm::mcmc","dynamic::laplace::0p25::5000::default::exdqlm",215416,"not_started","spread_remaining_arm_D",4,"dynamic","dynamic","laplace",0.25,"0p25",5000,"default","exdqlm","mcmc","dynamic::laplace::0p25::5000","exdqlm_tt5000_recovery__arm_D_prod","tools/merge_reports/full288_refreshed288_paperaligned_20260420_exdqlm_tt5000_recovery_v1/configs/row_9206_run_config.rds","tools/merge_reports/full288_refreshed288_paperaligned_20260420_exdqlm_tt5000_recovery_v1","tools/merge_reports/full288_refreshed288_paperaligned_20260420_exdqlm_tt5000_recovery_v1/fits/mcmc/row_9206_dynamic_laplace_0p25_5000_default_exdqlm_mcmc_row40_armd_fit.rds","tools/merge_reports/full288_refreshed288_paperaligned_20260420_exdqlm_tt5000_recovery_v1/vb_init/dynamic/row_9206_dynamic_laplace_0p25_5000_default_exdqlm_mcmc_row40_armd_vb_init.rds","tools/merge_reports/full288_refreshed288_paperaligned_20260420_exdqlm_tt5000_recovery_v1/rows/row_9206_status.csv","tools/merge_reports/full288_refreshed288_paperaligned_20260420_exdqlm_tt5000_recovery_v1/health/row_9206_health.csv","tools/merge_reports/full288_refreshed288_paperaligned_20260420_exdqlm_tt5000_recovery_v1/metrics/row_9206_metrics.csv","tools/merge_reports/full288_refreshed288_paperaligned_20260420_exdqlm_tt5000_recovery_v1/draws/row_9206_draws.rds",20000,40,"exdqlm_mcmc_uts (iter=1) chi has 5000 non-finite values (first index=1)","spread_remaining_d",TRUE,TRUE,TRUE
9207,48,"dynamic::laplace::0p50::5000::default::exdqlm::mcmc","dynamic::laplace::0p50::5000::default::exdqlm",215369,"not_started","spread_remaining_arm_D",4,"dynamic","dynamic","laplace",0.5,"0p50",5000,"default","exdqlm","mcmc","dynamic::laplace::0p50::5000","exdqlm_tt5000_recovery__arm_D_prod","tools/merge_reports/full288_refreshed288_paperaligned_20260420_exdqlm_tt5000_recovery_v1/configs/row_9207_run_config.rds","tools/merge_reports/full288_refreshed288_paperaligned_20260420_exdqlm_tt5000_recovery_v1","tools/merge_reports/full288_refreshed288_paperaligned_20260420_exdqlm_tt5000_recovery_v1/fits/mcmc/row_9207_dynamic_laplace_0p50_5000_default_exdqlm_mcmc_row48_armd_fit.rds","tools/merge_reports/full288_refreshed288_paperaligned_20260420_exdqlm_tt5000_recovery_v1/vb_init/dynamic/row_9207_dynamic_laplace_0p50_5000_default_exdqlm_mcmc_row48_armd_vb_init.rds","tools/merge_reports/full288_refreshed288_paperaligned_20260420_exdqlm_tt5000_recovery_v1/rows/row_9207_status.csv","tools/merge_reports/full288_refreshed288_paperaligned_20260420_exdqlm_tt5000_recovery_v1/health/row_9207_health.csv","tools/merge_reports/full288_refreshed288_paperaligned_20260420_exdqlm_tt5000_recovery_v1/metrics/row_9207_metrics.csv","tools/merge_reports/full288_refreshed288_paperaligned_20260420_exdqlm_tt5000_recovery_v1/draws/row_9207_draws.rds",20000,48,"exdqlm_mcmc_uts (iter=1) chi has 5000 non-finite values (first index=1)","spread_remaining_d",TRUE,TRUE,TRUE
9208,56,"dynamic::normal::0p05::5000::default::exdqlm::mcmc","dynamic::normal::0p05::5000::default::exdqlm",211258,"not_started","spread_remaining_arm_D",4,"dynamic","dynamic","normal",0.05,"0p05",5000,"default","exdqlm","mcmc","dynamic::normal::0p05::5000","exdqlm_tt5000_recovery__arm_D_prod","tools/merge_reports/full288_refreshed288_paperaligned_20260420_exdqlm_tt5000_recovery_v1/configs/row_9208_run_config.rds","tools/merge_reports/full288_refreshed288_paperaligned_20260420_exdqlm_tt5000_recovery_v1","tools/merge_reports/full288_refreshed288_paperaligned_20260420_exdqlm_tt5000_recovery_v1/fits/mcmc/row_9208_dynamic_normal_0p05_5000_default_exdqlm_mcmc_row56_armd_fit.rds","tools/merge_reports/full288_refreshed288_paperaligned_20260420_exdqlm_tt5000_recovery_v1/vb_init/dynamic/row_9208_dynamic_normal_0p05_5000_default_exdqlm_mcmc_row56_armd_vb_init.rds","tools/merge_reports/full288_refreshed288_paperaligned_20260420_exdqlm_tt5000_recovery_v1/rows/row_9208_status.csv","tools/merge_reports/full288_refreshed288_paperaligned_20260420_exdqlm_tt5000_recovery_v1/health/row_9208_health.csv","tools/merge_reports/full288_refreshed288_paperaligned_20260420_exdqlm_tt5000_recovery_v1/metrics/row_9208_metrics.csv","tools/merge_reports/full288_refreshed288_paperaligned_20260420_exdqlm_tt5000_recovery_v1/draws/row_9208_draws.rds",20000,56,"exdqlm_mcmc_uts (iter=1) chi has 5000 non-finite values (first index=1)","spread_remaining_d",TRUE,TRUE,TRUE
9209,64,"dynamic::normal::0p25::5000::default::exdqlm::mcmc","dynamic::normal::0p25::5000::default::exdqlm",211298,"not_started","spread_remaining_arm_D",4,"dynamic","dynamic","normal",0.25,"0p25",5000,"default","exdqlm","mcmc","dynamic::normal::0p25::5000","exdqlm_tt5000_recovery__arm_D_prod","tools/merge_reports/full288_refreshed288_paperaligned_20260420_exdqlm_tt5000_recovery_v1/configs/row_9209_run_config.rds","tools/merge_reports/full288_refreshed288_paperaligned_20260420_exdqlm_tt5000_recovery_v1","tools/merge_reports/full288_refreshed288_paperaligned_20260420_exdqlm_tt5000_recovery_v1/fits/mcmc/row_9209_dynamic_normal_0p25_5000_default_exdqlm_mcmc_row64_armd_fit.rds","tools/merge_reports/full288_refreshed288_paperaligned_20260420_exdqlm_tt5000_recovery_v1/vb_init/dynamic/row_9209_dynamic_normal_0p25_5000_default_exdqlm_mcmc_row64_armd_vb_init.rds","tools/merge_reports/full288_refreshed288_paperaligned_20260420_exdqlm_tt5000_recovery_v1/rows/row_9209_status.csv","tools/merge_reports/full288_refreshed288_paperaligned_20260420_exdqlm_tt5000_recovery_v1/health/row_9209_health.csv","tools/merge_reports/full288_refreshed288_paperaligned_20260420_exdqlm_tt5000_recovery_v1/metrics/row_9209_metrics.csv","tools/merge_reports/full288_refreshed288_paperaligned_20260420_exdqlm_tt5000_recovery_v1/draws/row_9209_draws.rds",20000,64,"exdqlm_mcmc_uts (iter=1) chi has 5000 non-finite values (first index=1)","spread_remaining_d",TRUE,TRUE,TRUE
9210,72,"dynamic::normal::0p50::5000::default::exdqlm::mcmc","dynamic::normal::0p50::5000::default::exdqlm",211253,"not_started","spread_remaining_arm_D",4,"dynamic","dynamic","normal",0.5,"0p50",5000,"default","exdqlm","mcmc","dynamic::normal::0p50::5000","exdqlm_tt5000_recovery__arm_D_prod","tools/merge_reports/full288_refreshed288_paperaligned_20260420_exdqlm_tt5000_recovery_v1/configs/row_9210_run_config.rds","tools/merge_reports/full288_refreshed288_paperaligned_20260420_exdqlm_tt5000_recovery_v1","tools/merge_reports/full288_refreshed288_paperaligned_20260420_exdqlm_tt5000_recovery_v1/fits/mcmc/row_9210_dynamic_normal_0p50_5000_default_exdqlm_mcmc_row72_armd_fit.rds","tools/merge_reports/full288_refreshed288_paperaligned_20260420_exdqlm_tt5000_recovery_v1/vb_init/dynamic/row_9210_dynamic_normal_0p50_5000_default_exdqlm_mcmc_row72_armd_vb_init.rds","tools/merge_reports/full288_refreshed288_paperaligned_20260420_exdqlm_tt5000_recovery_v1/rows/row_9210_status.csv","tools/merge_reports/full288_refreshed288_paperaligned_20260420_exdqlm_tt5000_recovery_v1/health/row_9210_health.csv","tools/merge_reports/full288_refreshed288_paperaligned_20260420_exdqlm_tt5000_recovery_v1/metrics/row_9210_metrics.csv","tools/merge_reports/full288_refreshed288_paperaligned_20260420_exdqlm_tt5000_recovery_v1/draws/row_9210_draws.rds",20000,72,"exdqlm_mcmc_uts (iter=1) chi has 5000 non-finite values (first index=1)","spread_remaining_d",TRUE,TRUE,TRUE
