"case_key","scenario_key","block","root_kind","family","tau_label","fit_size","prior_semantics","inference","model","method_id","selected_pool","selected_candidate","selected_variant_tag","gate_overall","healthy","runtime_sec","diagnostic_source_type","signoff_reason","selection_reason","selected_health_path_rel"
"static_paper::gausmix::0p25::100::paper::exal::mcmc","static_paper::gausmix::0p25::100::paper","static_paper","static_paper","gausmix","0p25",100,"paper","mcmc","exal","mcmc__exal","hybrid_291_selection","F085_sub2_s100","failband2_F085_sub2_s100","WARN",TRUE,54.294,"summary_row_csv","","Promoted `failband2_F085_sub2_s100` because it upgraded the original FAIL baseline to `WARN` with explicit health evidence.","/home/jaguir26/local/src/exdqlm__wt__dqlm-conjugacy-cavi-gibbs/tools/merge_reports/LOCAL_static_case_health_failband2_F085_sub2_s100_exal_gausmix_TT100.csv"
"static_paper::gausmix::0p25::100::paper::exal::vb","static_paper::gausmix::0p25::100::paper","static_paper","static_paper","gausmix","0p25",100,"paper","vb","exal","vb__exal","static_refresh_compact","rhsns_impl_refresh_20260329","rhsns_impl_refresh_20260329","WARN",TRUE,13.626,"candidate_health_csv","","Promoted `rhsns_impl_refresh_20260329` because it upgraded the original FAIL baseline to `WARN` with explicit health evidence.","/home/jaguir26/local/src/exdqlm__wt__dqlm-conjugacy-cavi-gibbs/tools/merge_reports/full288_rhsns_impl_refresh_20260329/health_compact_20260329_114727.csv"
"static_paper::gausmix::0p25::1000::paper::exal::vb","static_paper::gausmix::0p25::1000::paper","static_paper","static_paper","gausmix","0p25",1000,"paper","vb","exal","vb__exal","static_refresh_compact","rhsns_impl_refresh_20260329","rhsns_impl_refresh_20260329","WARN",TRUE,16.775,"candidate_health_csv","","Promoted `rhsns_impl_refresh_20260329` because it upgraded the original FAIL baseline to `WARN` with explicit health evidence.","/home/jaguir26/local/src/exdqlm__wt__dqlm-conjugacy-cavi-gibbs/tools/merge_reports/full288_rhsns_impl_refresh_20260329/health_compact_20260329_114727.csv"
"static_paper::gausmix::0p95::100::paper::exal::mcmc","static_paper::gausmix::0p95::100::paper","static_paper","static_paper","gausmix","0p95",100,"paper","mcmc","exal","mcmc__exal","hybrid_291_selection","F080_sub2_s105","static_exal_f080_sub2_s105_rhsns_current_20260403","WARN",TRUE,53.368,"summary_row_csv","","Promoted `static_exal_f080_sub2_s105_rhsns_current_20260403` because it upgraded the original FAIL baseline to `WARN` with explicit health evidence.","/home/jaguir26/local/src/exdqlm__wt__dqlm-conjugacy-cavi-gibbs/tools/merge_reports/LOCAL_static_case_health_static_exal_f080_sub2_s105_rhsns_current_20260403_exal_gausmix_TT100.csv"
"static_paper::gausmix::0p95::1000::paper::exal::mcmc","static_paper::gausmix::0p95::1000::paper","static_paper","static_paper","gausmix","0p95",1000,"paper","mcmc","exal","mcmc__exal","baseline_original","baseline","baseline","WARN",TRUE,,"method_signoff_long","chain_marginal_but_usable","Baseline original fit already healthy; repaired candidates did not strictly improve the gate.","/home/jaguir26/local/src/exdqlm__wt__dqlm-conjugacy-cavi-gibbs/results/function_testing_20260309_static_paper_family_qspec/gausmix/tau_0p95/fit_input_subsample_tt1000_x01_sorted/validation_paper_tt1000/tables/method_signoff_long.csv"
"static_paper::laplace::0p25::100::paper::exal::vb","static_paper::laplace::0p25::100::paper","static_paper","static_paper","laplace","0p25",100,"paper","vb","exal","vb__exal","static_refresh_compact","rhsns_impl_refresh_20260329","rhsns_impl_refresh_20260329","WARN",TRUE,13.726,"candidate_health_csv","","Promoted `rhsns_impl_refresh_20260329` because it upgraded the original FAIL baseline to `WARN` with explicit health evidence.","/home/jaguir26/local/src/exdqlm__wt__dqlm-conjugacy-cavi-gibbs/tools/merge_reports/full288_rhsns_impl_refresh_20260329/health_compact_20260329_114727.csv"
"static_paper::laplace::0p25::1000::paper::exal::mcmc","static_paper::laplace::0p25::1000::paper","static_paper","static_paper","laplace","0p25",1000,"paper","mcmc","exal","mcmc__exal","hybrid_291_selection","F080_sub2_s105","static_exal_f080_sub2_s105_rhsns_current_20260403","WARN",TRUE,56.17,"summary_row_csv","","Promoted `static_exal_f080_sub2_s105_rhsns_current_20260403` because it upgraded the original FAIL baseline to `WARN` with explicit health evidence.","/home/jaguir26/local/src/exdqlm__wt__dqlm-conjugacy-cavi-gibbs/tools/merge_reports/LOCAL_static_case_health_static_exal_f080_sub2_s105_rhsns_current_20260403_exal_laplace_TT1000.csv"
"static_paper::laplace::0p25::1000::paper::exal::vb","static_paper::laplace::0p25::1000::paper","static_paper","static_paper","laplace","0p25",1000,"paper","vb","exal","vb__exal","static_refresh_compact","rhsns_impl_refresh_20260329","rhsns_impl_refresh_20260329","WARN",TRUE,15.397,"candidate_health_csv","","Promoted `rhsns_impl_refresh_20260329` because it upgraded the original FAIL baseline to `WARN` with explicit health evidence.","/home/jaguir26/local/src/exdqlm__wt__dqlm-conjugacy-cavi-gibbs/tools/merge_reports/full288_rhsns_impl_refresh_20260329/health_compact_20260329_114727.csv"
"static_paper::laplace::0p95::1000::paper::exal::mcmc","static_paper::laplace::0p95::1000::paper","static_paper","static_paper","laplace","0p95",1000,"paper","mcmc","exal","mcmc__exal","hybrid_291_selection","F080_sub2_s105","static_exal_f080_sub2_s105_rhsns_current_20260403","WARN",TRUE,62.504,"summary_row_csv","","Promoted `static_exal_f080_sub2_s105_rhsns_current_20260403` because it upgraded the original FAIL baseline to `WARN` with explicit health evidence.","/home/jaguir26/local/src/exdqlm__wt__dqlm-conjugacy-cavi-gibbs/tools/merge_reports/LOCAL_static_case_health_static_exal_f080_sub2_s105_rhsns_current_20260403_exal_laplace_TT1000.csv"
"static_paper::normal::0p05::1000::paper::exal::mcmc","static_paper::normal::0p05::1000::paper","static_paper","static_paper","normal","0p05",1000,"paper","mcmc","exal","mcmc__exal","hybrid_291_selection","F085_sub2_s100","failband2_F085_sub2_s100","WARN",TRUE,59.387,"summary_row_csv","","Promoted `failband2_F085_sub2_s100` because it upgraded the original FAIL baseline to `WARN` with explicit health evidence.","/home/jaguir26/local/src/exdqlm__wt__dqlm-conjugacy-cavi-gibbs/tools/merge_reports/LOCAL_static_case_health_failband2_F085_sub2_s100_exal_normal_TT1000.csv"
"static_paper::normal::0p25::100::paper::exal::mcmc","static_paper::normal::0p25::100::paper","static_paper","static_paper","normal","0p25",100,"paper","mcmc","exal","mcmc__exal","baseline_original","baseline","baseline","WARN",TRUE,,"method_signoff_long","chain_marginal_but_usable","Baseline original fit already healthy; repaired candidates did not strictly improve the gate.","/home/jaguir26/local/src/exdqlm__wt__dqlm-conjugacy-cavi-gibbs/results/function_testing_20260309_static_paper_family_qspec/normal/tau_0p25/fit_input_subsample_tt100_x01_sorted/validation_paper_tt100/tables/method_signoff_long.csv"
"static_paper::normal::0p25::100::paper::exal::vb","static_paper::normal::0p25::100::paper","static_paper","static_paper","normal","0p25",100,"paper","vb","exal","vb__exal","static_refresh_compact","rhsns_impl_refresh_20260329","rhsns_impl_refresh_20260329","WARN",TRUE,13.665,"candidate_health_csv","","Promoted `rhsns_impl_refresh_20260329` because it upgraded the original FAIL baseline to `WARN` with explicit health evidence.","/home/jaguir26/local/src/exdqlm__wt__dqlm-conjugacy-cavi-gibbs/tools/merge_reports/full288_rhsns_impl_refresh_20260329/health_compact_20260329_114727.csv"
"static_paper::normal::0p25::1000::paper::exal::vb","static_paper::normal::0p25::1000::paper","static_paper","static_paper","normal","0p25",1000,"paper","vb","exal","vb__exal","static_refresh_compact","rhsns_impl_refresh_20260329","rhsns_impl_refresh_20260329","WARN",TRUE,15.414,"candidate_health_csv","","Promoted `rhsns_impl_refresh_20260329` because it upgraded the original FAIL baseline to `WARN` with explicit health evidence.","/home/jaguir26/local/src/exdqlm__wt__dqlm-conjugacy-cavi-gibbs/tools/merge_reports/full288_rhsns_impl_refresh_20260329/health_compact_20260329_114727.csv"
"static_paper::normal::0p95::100::paper::exal::mcmc","static_paper::normal::0p95::100::paper","static_paper","static_paper","normal","0p95",100,"paper","mcmc","exal","mcmc__exal","hybrid_291_selection","F080_sub2_s105","static_exal_f080_sub2_s105_rhsns_current_20260403","WARN",TRUE,52.908,"summary_row_csv","","Promoted `static_exal_f080_sub2_s105_rhsns_current_20260403` because it upgraded the original FAIL baseline to `WARN` with explicit health evidence.","/home/jaguir26/local/src/exdqlm__wt__dqlm-conjugacy-cavi-gibbs/tools/merge_reports/LOCAL_static_case_health_static_exal_f080_sub2_s105_rhsns_current_20260403_exal_normal_TT100.csv"
"static_paper::normal::0p95::1000::paper::exal::mcmc","static_paper::normal::0p95::1000::paper","static_paper","static_paper","normal","0p95",1000,"paper","mcmc","exal","mcmc__exal","baseline_original","baseline","baseline","WARN",TRUE,,"method_signoff_long","chain_marginal_but_usable","Baseline original fit already healthy; repaired candidates did not strictly improve the gate.","/home/jaguir26/local/src/exdqlm__wt__dqlm-conjugacy-cavi-gibbs/results/function_testing_20260309_static_paper_family_qspec/normal/tau_0p95/fit_input_subsample_tt1000_x01_sorted/validation_paper_tt1000/tables/method_signoff_long.csv"
"static_shrink::gausmix::0p05::1000::rhs::exal::mcmc","static_shrink::gausmix::0p05::1000::rhs","static_shrink","static_shrink","gausmix","0p05",1000,"rhs","mcmc","exal","mcmc__exal","baseline_original","baseline","baseline","WARN",TRUE,,"method_signoff_long","chain_marginal_but_usable","Baseline original fit already healthy; repaired candidates did not strictly improve the gate.","/home/jaguir26/local/src/exdqlm__wt__dqlm-conjugacy-cavi-gibbs/results/function_testing_20260309_static_shrinkage_family_qspec/gausmix/tau_0p05/fit_input_subsample_tt1000_x01_sorted/validation_shrink_rhs_tt1000/tables/method_signoff_long.csv"
"static_shrink::gausmix::0p05::1000::ridge::exal::mcmc","static_shrink::gausmix::0p05::1000::ridge","static_shrink","static_shrink","gausmix","0p05",1000,"ridge","mcmc","exal","mcmc__exal","baseline_original","baseline","baseline","WARN",TRUE,,"method_signoff_long","chain_marginal_but_usable","Baseline original fit already healthy; repaired candidates did not strictly improve the gate.","/home/jaguir26/local/src/exdqlm__wt__dqlm-conjugacy-cavi-gibbs/results/function_testing_20260309_static_shrinkage_family_qspec/gausmix/tau_0p05/fit_input_subsample_tt1000_x01_sorted/validation_shrink_ridge_tt1000/tables/method_signoff_long.csv"
"static_shrink::gausmix::0p25::100::rhs::exal::mcmc","static_shrink::gausmix::0p25::100::rhs","static_shrink","static_shrink","gausmix","0p25",100,"rhs","mcmc","exal","mcmc__exal","hybrid_291_selection","F085_sub2_s100","failband2_F085_sub2_s100","WARN",TRUE,164.023,"summary_row_csv","","Promoted `failband2_F085_sub2_s100` because it upgraded the original FAIL baseline to `WARN` with explicit health evidence.","/home/jaguir26/local/src/exdqlm__wt__dqlm-conjugacy-cavi-gibbs/tools/merge_reports/LOCAL_static_case_health_failband2_F085_sub2_s100_exal_gausmix_TT100.csv"
"static_shrink::gausmix::0p25::100::rhs::exal::vb","static_shrink::gausmix::0p25::100::rhs","static_shrink","static_shrink","gausmix","0p25",100,"rhs","vb","exal","vb__exal","static_refresh_compact","rhsns_impl_refresh_20260329","rhsns_impl_refresh_20260329","WARN",TRUE,13.807,"candidate_health_csv","","Promoted `rhsns_impl_refresh_20260329` because it upgraded the original FAIL baseline to `WARN` with explicit health evidence.","/home/jaguir26/local/src/exdqlm__wt__dqlm-conjugacy-cavi-gibbs/tools/merge_reports/full288_rhsns_impl_refresh_20260329/health_compact_20260329_114727.csv"
"static_shrink::gausmix::0p25::100::ridge::exal::mcmc","static_shrink::gausmix::0p25::100::ridge","static_shrink","static_shrink","gausmix","0p25",100,"ridge","mcmc","exal","mcmc__exal","baseline_original","baseline","baseline","WARN",TRUE,,"method_signoff_long","chain_marginal_but_usable","Baseline original fit already healthy; repaired candidates did not strictly improve the gate.","/home/jaguir26/local/src/exdqlm__wt__dqlm-conjugacy-cavi-gibbs/results/function_testing_20260309_static_shrinkage_family_qspec/gausmix/tau_0p25/fit_input_subsample_tt100_x01_sorted/validation_shrink_ridge_tt100/tables/method_signoff_long.csv"
"static_shrink::gausmix::0p25::100::ridge::exal::vb","static_shrink::gausmix::0p25::100::ridge","static_shrink","static_shrink","gausmix","0p25",100,"ridge","vb","exal","vb__exal","static_refresh_compact","rhsns_impl_refresh_20260329","rhsns_impl_refresh_20260329","WARN",TRUE,13.777,"candidate_health_csv","","Promoted `rhsns_impl_refresh_20260329` because it upgraded the original FAIL baseline to `WARN` with explicit health evidence.","/home/jaguir26/local/src/exdqlm__wt__dqlm-conjugacy-cavi-gibbs/tools/merge_reports/full288_rhsns_impl_refresh_20260329/health_compact_20260329_114727.csv"
