"row_id","phase","original_case_key","accepted_gate","gate_current","healthy_current","candidate_fit_path","health_csv","runtime_sec","selected_source_type","selected_source_subtype","selected_candidate","selected_variant_tag","selected_fit_path","selected_health_path","selected_summary_path","source_path","selection_mode","selection_reason"
11,"phase1_static_exal_primary","static_shrink::laplace::0p05::100::ridge::exal::mcmc","WARN","PASS",TRUE,"/home/jaguir26/local/src/exdqlm__wt__validation_rerun_after_0p4p0_integration/results/function_testing_20260309_static_shrinkage_family_qspec/laplace/tau_0p05/fit_input_subsample_tt100_x01_sorted/validation_shrink_ridge_tt100/fits/mcmc/mcmc_exal_tau_0p05_fit_orig288_sync0p4p0_followup_20260407_row194_rhsns_current.rds","/home/jaguir26/local/src/exdqlm__wt__validation_rerun_after_0p4p0_integration/tools/merge_reports/full288_original288_syncedbase_targeted_followup_20260407/health/health_0011.csv",52.228,"syncedbase_targeted_followup_20260407","phase1_static_exal_primary","row_0011","orig288_sync0p4p0_followup_20260407","/home/jaguir26/local/src/exdqlm__wt__validation_rerun_after_0p4p0_integration/results/function_testing_20260309_static_shrinkage_family_qspec/laplace/tau_0p05/fit_input_subsample_tt100_x01_sorted/validation_shrink_ridge_tt100/fits/mcmc/mcmc_exal_tau_0p05_fit_orig288_sync0p4p0_followup_20260407_row194_rhsns_current.rds","/home/jaguir26/local/src/exdqlm__wt__validation_rerun_after_0p4p0_integration/tools/merge_reports/full288_original288_syncedbase_targeted_followup_20260407/health/health_0011.csv","/home/jaguir26/local/src/exdqlm__wt__validation_rerun_after_0p4p0_integration/tools/merge_reports/full288_original288_syncedbase_targeted_followup_20260407/health/health_0011.csv","/home/jaguir26/local/src/exdqlm__wt__validation_rerun_after_0p4p0_integration/tools/merge_reports/full288_original288_syncedbase_targeted_followup_20260407/health/health_0011.csv","promoted_syncedbase_targeted_followup","Promote synced-base targeted follow-up row row_0011 after improving accepted carry-forward from WARN to PASS on the updated 0.4.0 base."
12,"phase1_static_exal_primary","static_shrink::laplace::0p95::1000::ridge::exal::mcmc","WARN","PASS",TRUE,"/home/jaguir26/local/src/exdqlm__wt__validation_rerun_after_0p4p0_integration/results/function_testing_20260309_static_shrinkage_family_qspec/laplace/tau_0p95/fit_input_subsample_tt1000_x01_sorted/validation_shrink_ridge_tt1000/fits/mcmc/mcmc_exal_tau_0p95_fit_orig288_sync0p4p0_followup_20260407_row204_rhsns_current.rds","/home/jaguir26/local/src/exdqlm__wt__validation_rerun_after_0p4p0_integration/tools/merge_reports/full288_original288_syncedbase_targeted_followup_20260407/health/health_0012.csv",61.591,"syncedbase_targeted_followup_20260407","phase1_static_exal_primary","row_0012","orig288_sync0p4p0_followup_20260407","/home/jaguir26/local/src/exdqlm__wt__validation_rerun_after_0p4p0_integration/results/function_testing_20260309_static_shrinkage_family_qspec/laplace/tau_0p95/fit_input_subsample_tt1000_x01_sorted/validation_shrink_ridge_tt1000/fits/mcmc/mcmc_exal_tau_0p95_fit_orig288_sync0p4p0_followup_20260407_row204_rhsns_current.rds","/home/jaguir26/local/src/exdqlm__wt__validation_rerun_after_0p4p0_integration/tools/merge_reports/full288_original288_syncedbase_targeted_followup_20260407/health/health_0012.csv","/home/jaguir26/local/src/exdqlm__wt__validation_rerun_after_0p4p0_integration/tools/merge_reports/full288_original288_syncedbase_targeted_followup_20260407/health/health_0012.csv","/home/jaguir26/local/src/exdqlm__wt__validation_rerun_after_0p4p0_integration/tools/merge_reports/full288_original288_syncedbase_targeted_followup_20260407/health/health_0012.csv","promoted_syncedbase_targeted_followup","Promote synced-base targeted follow-up row row_0012 after improving accepted carry-forward from WARN to PASS on the updated 0.4.0 base."
18,"phase2_static_exal_rowlocal","static_paper::gausmix::0p25::1000::paper::exal::mcmc","WARN","PASS",TRUE,"/home/jaguir26/local/src/exdqlm__wt__validation_rerun_after_0p4p0_integration/results/function_testing_20260309_static_paper_family_qspec/gausmix/tau_0p25/fit_input_subsample_tt1000_x01_sorted/validation_paper_tt1000/fits/mcmc/mcmc_exal_tau_0p25_fit_orig288_sync0p4p0_followup_20260407_row152_row87_none.rds","/home/jaguir26/local/src/exdqlm__wt__validation_rerun_after_0p4p0_integration/tools/merge_reports/full288_original288_syncedbase_targeted_followup_20260407/health/health_0018.csv",59.175,"syncedbase_targeted_followup_20260407","phase2_static_exal_rowlocal","row_0018","orig288_sync0p4p0_followup_20260407","/home/jaguir26/local/src/exdqlm__wt__validation_rerun_after_0p4p0_integration/results/function_testing_20260309_static_paper_family_qspec/gausmix/tau_0p25/fit_input_subsample_tt1000_x01_sorted/validation_paper_tt1000/fits/mcmc/mcmc_exal_tau_0p25_fit_orig288_sync0p4p0_followup_20260407_row152_row87_none.rds","/home/jaguir26/local/src/exdqlm__wt__validation_rerun_after_0p4p0_integration/tools/merge_reports/full288_original288_syncedbase_targeted_followup_20260407/health/health_0018.csv","/home/jaguir26/local/src/exdqlm__wt__validation_rerun_after_0p4p0_integration/tools/merge_reports/full288_original288_syncedbase_targeted_followup_20260407/health/health_0018.csv","/home/jaguir26/local/src/exdqlm__wt__validation_rerun_after_0p4p0_integration/tools/merge_reports/full288_original288_syncedbase_targeted_followup_20260407/health/health_0018.csv","promoted_syncedbase_targeted_followup","Promote synced-base targeted follow-up row row_0018 after improving accepted carry-forward from WARN to PASS on the updated 0.4.0 base."
