campaign	family	vb_vs_mcmc_baseline	vb_vs_mcmc_extended	vb_vs_mcmc_runtime_baseline	vb_vs_mcmc_runtime_extended	extended_vs_baseline_vb	extended_vs_baseline_mcmc	prior_takeaway
dynamic	gausmix	VB lower RMSE (1/6 rows, mean ΔRMSE=4.370, runtime x40.6)	VB lower RMSE (5/6 rows, mean ΔRMSE=810.707, runtime x17.3)	MCMC/VB x40.6	MCMC/VB x17.3	extended lower RMSE (2/5 rows, mean ΔRMSE=-32.807)	extended lower RMSE (1/1 rows, mean ΔRMSE=-23.125)	N/A
dynamic	laplace	VB lower RMSE (1/6 rows, mean ΔRMSE=2.505, runtime x77.8)	VB lower RMSE (6/6 rows, mean ΔRMSE=794.572, runtime x26.5)	MCMC/VB x77.8	MCMC/VB x26.5	extended lower RMSE (2/5 rows, mean ΔRMSE=-33.006)	not available	N/A
dynamic	normal	MCMC lower RMSE (6/6 rows, mean ΔRMSE=-19.629, runtime x43.8)	VB lower RMSE (5/6 rows, mean ΔRMSE=279.799, runtime x25.9)	MCMC/VB x43.8	MCMC/VB x25.9	extended lower RMSE (3/6 rows, mean ΔRMSE=-37.084)	extended lower RMSE (1/1 rows, mean ΔRMSE=-10.102)	N/A
static paper	gausmix	MCMC lower RMSE (5/6 rows, mean ΔRMSE=-0.046, runtime x455.5)	MCMC lower RMSE (4/6 rows, mean ΔRMSE=-0.190, runtime x20.8)	MCMC/VB x455.5	MCMC/VB x20.8	AL lower RMSE (3/4 rows, mean ΔRMSE=0.092)	exAL lower RMSE (2/3 rows, mean ΔRMSE=-0.097)	N/A
static paper	laplace	MCMC lower RMSE (5/6 rows, mean ΔRMSE=-0.087, runtime x36.6)	MCMC lower RMSE (4/6 rows, mean ΔRMSE=-0.496, runtime x15.4)	MCMC/VB x36.6	MCMC/VB x15.4	exAL lower RMSE (2/4 rows, mean ΔRMSE=-0.309)	exAL lower RMSE (4/4 rows, mean ΔRMSE=-0.814)	N/A
static paper	normal	MCMC lower RMSE (5/6 rows, mean ΔRMSE=-0.045, runtime x15.5)	MCMC lower RMSE (4/6 rows, mean ΔRMSE=-0.294, runtime x16.8)	MCMC/VB x15.5	MCMC/VB x16.8	AL lower RMSE (2/4 rows, mean ΔRMSE=0.049)	exAL lower RMSE (1/3 rows, mean ΔRMSE=-0.013)	N/A
static shrink	gausmix	MCMC lower RMSE (7/12 rows, mean ΔRMSE=-0.078, runtime x227.4)	MCMC lower RMSE (8/12 rows, mean ΔRMSE=-0.161, runtime x18.4)	MCMC/VB x227.4	MCMC/VB x18.4	AL lower RMSE (4/8 rows, mean ΔRMSE=0.073)	exAL lower RMSE (3/6 rows, mean ΔRMSE=-0.055)	ridge better signal RMSE; rhs lowers false positives (Δsignal=0.086, ΔFPR=-0.341)
static shrink	laplace	MCMC lower RMSE (6/12 rows, mean ΔRMSE=-0.005, runtime x23.2)	MCMC lower RMSE (8/12 rows, mean ΔRMSE=-0.214, runtime x12.8)	MCMC/VB x23.2	MCMC/VB x12.8	AL lower RMSE (4/8 rows, mean ΔRMSE=0.009)	exAL lower RMSE (5/8 rows, mean ΔRMSE=-0.200)	ridge better signal RMSE; rhs lowers false positives (Δsignal=0.002, ΔFPR=-0.211)
static shrink	normal	MCMC lower RMSE (8/12 rows, mean ΔRMSE=-0.029, runtime x16.0)	MCMC lower RMSE (8/12 rows, mean ΔRMSE=-0.087, runtime x19.7)	MCMC/VB x16.0	MCMC/VB x19.7	exAL lower RMSE (4/8 rows, mean ΔRMSE=-0.064)	exAL lower RMSE (5/5 rows, mean ΔRMSE=-0.195)	ridge better signal RMSE; rhs lowers false positives (Δsignal=0.020, ΔFPR=-0.256)
