"block","inference","total_pairs","exdqlm_better","dqlm_better","tie","exdqlm_faster","dqlm_faster","median_runtime_ratio_exdqlm_over_dqlm"
"overall","all",36,1,15,20,5,12,2.271454
"dynamic","mcmc",18,1,12,5,5,6,2.086044
"dynamic","vb",18,0,3,15,0,6,3.116052
