root_id	inference	model	root_kind	family	tau	fit_size	prior	signoff_reason	action_class	mcmc_n_keep	mcmc_ess_sigma	mcmc_ess_gamma	mcmc_ess_state	mcmc_acf1_sigma	mcmc_acf1_gamma	mcmc_acf1_state	mcmc_geweke_absz_sigma	mcmc_geweke_absz_gamma	mcmc_geweke_absz_state	mcmc_half_drift_sigma	mcmc_half_drift_gamma	mcmc_half_drift_state	vb_elbo_tail_rel_range	vb_sigma_tail_rel_range	vb_gamma_tail_rel_range	vb_delta_state_last	vb_delta_sigma_last	vb_delta_gamma_last	run_root	recommended_action	recommended_burn	recommended_keep	recommended_trace_every
root__dynamic__laplace__tau_0p25__lasttt_500	mcmc	dqlm	dynamic	laplace	0.25	500	default	geweke_drift	needs_deeper_chain	1000	304.732059081451	NA	125.901413324809	0.532523127077874	NA	-0.17697285887231	0.0580349528130427	NA	13.3854884974385	0.00134382282955167	NA	0.190107412956326	NA	NA	NA	NA	NA	NA	results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/laplace/tau_0p25/fit_input_lastTT500/validation_dynamic_tt500	rerun_with_deeper_mcmc	3000	8000	25
root__dynamic__laplace__tau_0p95__lasttt_500	mcmc	exdqlm	dynamic	laplace	0.95	500	default	geweke_drift; half_chain_drift	needs_deeper_chain	1000	17.6119217359947	14.7375295121355	60.2322553659377	0.96181936056545	0.967714955143804	-0.163130101561377	1.10570125021301	1.51549112076577	11.8941095919411	1.29469714326487	0.908994698571695	0.297747340873824	NA	NA	NA	NA	NA	NA	results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/laplace/tau_0p95/fit_input_lastTT500/validation_dynamic_tt500	rerun_with_deeper_mcmc	3000	8000	25
root__dynamic__laplace__tau_0p95__lasttt_500	mcmc	dqlm	dynamic	laplace	0.95	500	default	geweke_drift	needs_deeper_chain	1000	294.521803856893	NA	105.924353850754	0.544619919205574	NA	-0.175843147598888	0.613306782413801	NA	11.859746530325	0.0978464204861615	NA	0.20917867665751	NA	NA	NA	NA	NA	NA	results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/laplace/tau_0p95/fit_input_lastTT500/validation_dynamic_tt500	rerun_with_deeper_mcmc	3000	8000	25
root__dynamic__normal__tau_0p05__lasttt_500	mcmc	exdqlm	dynamic	normal	0.05	500	default	low_ess; high_autocorrelation; geweke_drift; half_chain_drift	needs_deeper_chain	5000	9.13692613857548	3.63968102518485	73.0692145095178	0.98519374009131	0.998616993631621	-0.169705750669458	11.5668136231324	6.63315053587426	14.4712321286796	1.24816733352976	1.42104620608131	0.269357202807173	NA	NA	NA	NA	NA	NA	results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/normal/tau_0p05/fit_input_lastTT500/validation_dynamic_tt500	rerun_with_deeper_mcmc	3000	8000	25
root__dynamic__normal__tau_0p05__lasttt_500	mcmc	dqlm	dynamic	normal	0.05	500	default	geweke_drift	needs_deeper_chain	1000	279.711157686636	NA	89.0327729198273	0.442441668127078	NA	-0.172710718328417	0.476440604454656	NA	12.938288783627	0.0328071947725988	NA	0.247356290587314	NA	NA	NA	NA	NA	NA	results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/normal/tau_0p05/fit_input_lastTT500/validation_dynamic_tt500	rerun_with_deeper_mcmc	3000	8000	25
root__dynamic__normal__tau_0p25__lasttt_500	mcmc	exdqlm	dynamic	normal	0.25	500	default	low_ess; geweke_drift; half_chain_drift	needs_deeper_chain	1000	5.15043096420071	4.37547587576016	134.707529104868	0.979419502141932	0.99127847880263	-0.178356140600468	4.89414007459539	4.48001461598238	9.9852361897085	1.53311614755607	1.65945277648147	0.206185785040754	NA	NA	NA	NA	NA	NA	results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/normal/tau_0p25/fit_input_lastTT500/validation_dynamic_tt500	rerun_with_deeper_mcmc	3000	8000	25
root__static_paper__gausmix__tau_0p25__tt_1000	mcmc	exal	static_paper	gausmix	0.25	1000	paper	low_ess; geweke_drift; half_chain_drift	needs_deeper_chain	1000	18.074213838434	2.52237768764111	105.17636453593	0.931881967288775	0.994962907939147	0.809493368518536	5.66459658109027	7.14173618535633	1.1646716187602	1.34379318800554	1.74912817242036	0.273572181395269	NA	NA	NA	NA	NA	NA	results/function_testing_20260309_static_paper_family_qspec/gausmix/tau_0p25/fit_input_subsample_tt1000_x01_sorted/validation_paper_tt1000	rerun_with_deeper_mcmc	3000	8000	25
root__static_paper__normal__tau_0p25__tt_100	mcmc	exal	static_paper	normal	0.25	100	paper	low_ess; geweke_drift; half_chain_drift	needs_deeper_chain	1000	6.5290867229719	3.09681288123134	136.695595176002	0.956606775642173	0.993819327763838	0.759274023356075	11.8716126965473	10.6428181505752	1.86142689089265	1.59310539364699	1.68207536559207	0.183577205529589	NA	NA	NA	NA	NA	NA	results/function_testing_20260309_static_paper_family_qspec/normal/tau_0p25/fit_input_subsample_tt100_x01_sorted/validation_paper_tt100	rerun_with_deeper_mcmc	3000	8000	25
root__static_shrink__gausmix__tau_0p05__tt_100__rhs	mcmc	exal	static_shrink	gausmix	0.05	100	rhs	low_ess; high_autocorrelation; geweke_drift; half_chain_drift	needs_deeper_chain	1000	3.26557906981722	1.83387070815668	35.4191481057226	0.983499162719186	0.996335310792314	0.931518703137877	6.85133590890645	10.4016444863421	1.06982541995313	1.71758148532412	1.64007451459839	0.82441712134888	NA	NA	NA	NA	NA	NA	results/function_testing_20260309_static_shrinkage_family_qspec/gausmix/tau_0p05/fit_input_subsample_tt100_x01_sorted/validation_shrink_rhs_tt100	rerun_with_deeper_mcmc	3000	8000	25
root__static_shrink__gausmix__tau_0p25__tt_1000__ridge	mcmc	exal	static_shrink	gausmix	0.25	1000	ridge	low_ess; high_autocorrelation; geweke_drift; half_chain_drift	needs_deeper_chain	1000	5.47151644330031	1.64620321062004	58.31507139535	0.986711985996903	0.996709716476959	0.889692054559343	11.4491188330722	14.6474781058307	1.68169505034835	1.59112059711506	1.60687261475859	0.475611539585097	NA	NA	NA	NA	NA	NA	results/function_testing_20260309_static_shrinkage_family_qspec/gausmix/tau_0p25/fit_input_subsample_tt1000_x01_sorted/validation_shrink_ridge_tt1000	rerun_with_deeper_mcmc	3000	8000	25
root__static_shrink__gausmix__tau_0p95__tt_100__rhs	mcmc	exal	static_shrink	gausmix	0.95	100	rhs	low_ess; geweke_drift; half_chain_drift	needs_deeper_chain	1000	35.7025715725458	4.52254075733637	77.5112687543379	0.924012351737754	0.990986659322859	0.836738507811347	2.8129494529987	6.39642937493025	1.99068867435322	0.870462651357235	1.60331531537625	0.265224370270871	NA	NA	NA	NA	NA	NA	results/function_testing_20260309_static_shrinkage_family_qspec/gausmix/tau_0p95/fit_input_subsample_tt100_x01_sorted/validation_shrink_rhs_tt100	rerun_with_deeper_mcmc	3000	8000	25
root__static_shrink__laplace__tau_0p95__tt_1000__rhs	mcmc	exal	static_shrink	laplace	0.95	1000	rhs	low_ess; high_autocorrelation; half_chain_drift	needs_deeper_chain	1000	17.9086090738396	2.10877909351952	57.5312566476466	0.960330184818904	0.995787108761581	0.891093972292474	0.365029271623458	4.79311837581268	0.398928563379504	0.402557002768384	1.63347333588969	0.0155849775770275	NA	NA	NA	NA	NA	NA	results/function_testing_20260309_static_shrinkage_family_qspec/laplace/tau_0p95/fit_input_subsample_tt1000_x01_sorted/validation_shrink_rhs_tt1000	rerun_with_deeper_mcmc	3000	8000	25
root__static_shrink__normal__tau_0p05__tt_1000__ridge	mcmc	exal	static_shrink	normal	0.05	1000	ridge	low_ess; high_autocorrelation; geweke_drift; half_chain_drift	needs_deeper_chain	1000	21.2745930176533	2.43654955975223	72.7399379966345	0.958296297808507	0.995133886422828	0.912020316798187	0.228471486168526	19.2818962721925	1.2416708202447	0.36180629408929	1.48279040394322	0.350565696868214	NA	NA	NA	NA	NA	NA	results/function_testing_20260309_static_shrinkage_family_qspec/normal/tau_0p05/fit_input_subsample_tt1000_x01_sorted/validation_shrink_ridge_tt1000	rerun_with_deeper_mcmc	3000	8000	25
root__static_shrink__normal__tau_0p25__tt_1000__ridge	mcmc	exal	static_shrink	normal	0.25	1000	ridge	low_ess; high_autocorrelation; geweke_drift; half_chain_drift	needs_deeper_chain	1000	16.1510644258375	1.8875546065075	84.9753539843898	0.957988647751703	0.996082270115506	0.835000990409275	7.4051192694905	8.08848725435987	0.413390801681988	1.31196863583314	1.63176769486032	0.185695270921479	NA	NA	NA	NA	NA	NA	results/function_testing_20260309_static_shrinkage_family_qspec/normal/tau_0p25/fit_input_subsample_tt1000_x01_sorted/validation_shrink_ridge_tt1000	rerun_with_deeper_mcmc	3000	8000	25
root__static_shrink__normal__tau_0p95__tt_1000__ridge	mcmc	exal	static_shrink	normal	0.95	1000	ridge	low_ess; high_autocorrelation; geweke_drift; half_chain_drift	needs_deeper_chain	1000	20.9434522014328	2.28387560883272	52.4057684967953	0.958932090380623	0.995438101126563	0.93633714253783	2.59647296626768	20.9732723630631	0.85905302412155	1.28904758569313	1.23891383161573	0.133247804431994	NA	NA	NA	NA	NA	NA	results/function_testing_20260309_static_shrinkage_family_qspec/normal/tau_0p95/fit_input_subsample_tt1000_x01_sorted/validation_shrink_ridge_tt1000	rerun_with_deeper_mcmc	3000	8000	25
