"base_row_id","original_case_key","block","family","tau_label","fit_size","prior_semantics","model","inference","selected_fit_exists","source_run_root_exists","series_wide_exists","selection_indices_exists","true_quantile_grid_exists","coef_truth_exists","materialized_sim_exists","data_ready","baseline_seed"
31,"dynamic::laplace::0p05::5000::default::exdqlm::mcmc","dynamic","laplace","0p05",5000,"default","exdqlm","mcmc",FALSE,TRUE,TRUE,TRUE,TRUE,NA,TRUE,TRUE,215374
32,"dynamic::laplace::0p05::5000::default::exdqlm::vb","dynamic","laplace","0p05",5000,"default","exdqlm","vb",FALSE,TRUE,TRUE,TRUE,TRUE,NA,TRUE,TRUE,205258
33,"dynamic::laplace::0p25::500::default::dqlm::mcmc","dynamic","laplace","0p25",500,"default","dqlm","mcmc",FALSE,TRUE,TRUE,TRUE,TRUE,NA,TRUE,TRUE,201253
34,"dynamic::laplace::0p25::500::default::dqlm::vb","dynamic","laplace","0p25",500,"default","dqlm","vb",FALSE,TRUE,TRUE,TRUE,TRUE,NA,TRUE,TRUE,191737
35,"dynamic::laplace::0p25::500::default::exdqlm::mcmc","dynamic","laplace","0p25",500,"default","exdqlm","mcmc",FALSE,TRUE,TRUE,TRUE,TRUE,NA,TRUE,TRUE,211916
36,"dynamic::laplace::0p25::500::default::exdqlm::vb","dynamic","laplace","0p25",500,"default","exdqlm","vb",FALSE,TRUE,TRUE,TRUE,TRUE,NA,TRUE,TRUE,202000
37,"dynamic::laplace::0p25::5000::default::dqlm::mcmc","dynamic","laplace","0p25",5000,"default","dqlm","mcmc",FALSE,TRUE,TRUE,TRUE,TRUE,NA,TRUE,TRUE,204532
38,"dynamic::laplace::0p25::5000::default::dqlm::vb","dynamic","laplace","0p25",5000,"default","dqlm","vb",FALSE,TRUE,TRUE,TRUE,TRUE,NA,TRUE,TRUE,194816
39,"dynamic::laplace::0p25::5000::default::exdqlm::mcmc","dynamic","laplace","0p25",5000,"default","exdqlm","mcmc",FALSE,TRUE,TRUE,TRUE,TRUE,NA,TRUE,TRUE,215416
40,"dynamic::laplace::0p25::5000::default::exdqlm::vb","dynamic","laplace","0p25",5000,"default","exdqlm","vb",FALSE,TRUE,TRUE,TRUE,TRUE,NA,TRUE,TRUE,205300
41,"dynamic::laplace::0p95::500::default::dqlm::mcmc","dynamic","laplace","0p95",500,"default","dqlm","mcmc",FALSE,TRUE,TRUE,TRUE,TRUE,NA,TRUE,TRUE,201400
42,"dynamic::laplace::0p95::500::default::dqlm::vb","dynamic","laplace","0p95",500,"default","dqlm","vb",FALSE,TRUE,TRUE,TRUE,TRUE,NA,TRUE,TRUE,191884
43,"dynamic::laplace::0p95::500::default::exdqlm::mcmc","dynamic","laplace","0p95",500,"default","exdqlm","mcmc",FALSE,TRUE,TRUE,TRUE,TRUE,NA,TRUE,TRUE,212063
44,"dynamic::laplace::0p95::500::default::exdqlm::vb","dynamic","laplace","0p95",500,"default","exdqlm","vb",FALSE,TRUE,TRUE,TRUE,TRUE,NA,TRUE,TRUE,202147
45,"dynamic::laplace::0p95::5000::default::dqlm::mcmc","dynamic","laplace","0p95",5000,"default","dqlm","mcmc",FALSE,TRUE,TRUE,TRUE,TRUE,NA,TRUE,TRUE,204679
