"phase","total","completed","running","not_started","pass","warn","fail","healthy","pct_completed","pct_active_or_done"
"smoke_static_vb",8,8,0,0,8,0,0,8,100,100
"smoke_dynamic_vb",4,4,0,0,2,2,0,4,100,100
"smoke_static_mcmc",8,8,0,0,4,3,1,7,100,100
"smoke_dynamic_mcmc",4,4,0,0,1,1,2,2,100,100
