"row_id","original_case_key","block","root_kind","family","tau_label","fit_size","prior_semantics","model","inference","status_current","gate_current","artifact_kind","path","size_bytes","size_gb","can_delete_for_comparison","plot_summary_path","plot_summary_exists","parameter_summary_path","parameter_summary_exists","needs_plot_summary_before_delete","recommended_action"
47,"dynamic::laplace::0p50::5000::default::exdqlm::vb","dynamic","dynamic","laplace","0p50",5000,"default","exdqlm","vb","done","PASS","candidate_fit","tools/merge_reports/full288_refreshed288_20260422_p90_full288_baseline_v1/fits/vb/row_0047_dynamic_laplace_0p50_5000_default_exdqlm_vb_fit.rds",9674395519,9.009983,TRUE,"tools/merge_reports/full288_refreshed288_20260422_p90_full288_baseline_v1/plot_summaries/row_0047_plot_summary.csv",FALSE,"tools/merge_reports/full288_refreshed288_20260422_p90_full288_baseline_v1/parameter_summaries/row_0047_parameter_summary.csv",FALSE,TRUE,"extract_plot_summary_before_delete"
43,"dynamic::laplace::0p50::500::default::exdqlm::vb","dynamic","dynamic","laplace","0p50",500,"default","exdqlm","vb","done","PASS","candidate_fit","tools/merge_reports/full288_refreshed288_20260422_p90_full288_baseline_v1/fits/vb/row_0043_dynamic_laplace_0p50_500_default_exdqlm_vb_fit.rds",9674379211,9.009968,TRUE,"tools/merge_reports/full288_refreshed288_20260422_p90_full288_baseline_v1/plot_summaries/row_0043_plot_summary.csv",FALSE,"tools/merge_reports/full288_refreshed288_20260422_p90_full288_baseline_v1/parameter_summaries/row_0043_parameter_summary.csv",FALSE,TRUE,"extract_plot_summary_before_delete"
48,"dynamic::laplace::0p50::5000::default::exdqlm::mcmc","dynamic","dynamic","laplace","0p50",5000,"default","exdqlm","mcmc","done","PASS","candidate_fit","tools/merge_reports/full288_refreshed288_20260422_p90_full288_baseline_v1/fits/mcmc/row_0048_dynamic_laplace_0p50_5000_default_exdqlm_mcmc_fit.rds",9673930478,9.00955,TRUE,"tools/merge_reports/full288_refreshed288_20260422_p90_full288_baseline_v1/plot_summaries/row_0048_plot_summary.csv",FALSE,"tools/merge_reports/full288_refreshed288_20260422_p90_full288_baseline_v1/parameter_summaries/row_0048_parameter_summary.csv",FALSE,TRUE,"extract_plot_summary_before_delete"
44,"dynamic::laplace::0p50::500::default::exdqlm::mcmc","dynamic","dynamic","laplace","0p50",500,"default","exdqlm","mcmc","done","PASS","candidate_fit","tools/merge_reports/full288_refreshed288_20260422_p90_full288_baseline_v1/fits/mcmc/row_0044_dynamic_laplace_0p50_500_default_exdqlm_mcmc_fit.rds",9673926519,9.009546,TRUE,"tools/merge_reports/full288_refreshed288_20260422_p90_full288_baseline_v1/plot_summaries/row_0044_plot_summary.csv",FALSE,"tools/merge_reports/full288_refreshed288_20260422_p90_full288_baseline_v1/parameter_summaries/row_0044_parameter_summary.csv",FALSE,TRUE,"extract_plot_summary_before_delete"
35,"dynamic::laplace::0p25::500::default::exdqlm::vb","dynamic","dynamic","laplace","0p25",500,"default","exdqlm","vb","done","PASS","candidate_fit","tools/merge_reports/full288_refreshed288_20260422_p90_full288_baseline_v1/fits/vb/row_0035_dynamic_laplace_0p25_500_default_exdqlm_vb_fit.rds",9673447635,9.0091,TRUE,"tools/merge_reports/full288_refreshed288_20260422_p90_full288_baseline_v1/plot_summaries/row_0035_plot_summary.csv",FALSE,"tools/merge_reports/full288_refreshed288_20260422_p90_full288_baseline_v1/parameter_summaries/row_0035_parameter_summary.csv",FALSE,TRUE,"extract_plot_summary_before_delete"
39,"dynamic::laplace::0p25::5000::default::exdqlm::vb","dynamic","dynamic","laplace","0p25",5000,"default","exdqlm","vb","done","PASS","candidate_fit","tools/merge_reports/full288_refreshed288_20260422_p90_full288_baseline_v1/fits/vb/row_0039_dynamic_laplace_0p25_5000_default_exdqlm_vb_fit.rds",9673429989,9.009084,TRUE,"tools/merge_reports/full288_refreshed288_20260422_p90_full288_baseline_v1/plot_summaries/row_0039_plot_summary.csv",FALSE,"tools/merge_reports/full288_refreshed288_20260422_p90_full288_baseline_v1/parameter_summaries/row_0039_parameter_summary.csv",FALSE,TRUE,"extract_plot_summary_before_delete"
67,"dynamic::normal::0p50::500::default::exdqlm::vb","dynamic","dynamic","normal","0p50",500,"default","exdqlm","vb","done","PASS","candidate_fit","tools/merge_reports/full288_refreshed288_20260422_p90_full288_baseline_v1/fits/vb/row_0067_dynamic_normal_0p50_500_default_exdqlm_vb_fit.rds",9673129412,9.008804,TRUE,"tools/merge_reports/full288_refreshed288_20260422_p90_full288_baseline_v1/plot_summaries/row_0067_plot_summary.csv",FALSE,"tools/merge_reports/full288_refreshed288_20260422_p90_full288_baseline_v1/parameter_summaries/row_0067_parameter_summary.csv",FALSE,TRUE,"extract_plot_summary_before_delete"
71,"dynamic::normal::0p50::5000::default::exdqlm::vb","dynamic","dynamic","normal","0p50",5000,"default","exdqlm","vb","done","PASS","candidate_fit","tools/merge_reports/full288_refreshed288_20260422_p90_full288_baseline_v1/fits/vb/row_0071_dynamic_normal_0p50_5000_default_exdqlm_vb_fit.rds",9673124383,9.008799,TRUE,"tools/merge_reports/full288_refreshed288_20260422_p90_full288_baseline_v1/plot_summaries/row_0071_plot_summary.csv",FALSE,"tools/merge_reports/full288_refreshed288_20260422_p90_full288_baseline_v1/parameter_summaries/row_0071_parameter_summary.csv",FALSE,TRUE,"extract_plot_summary_before_delete"
40,"dynamic::laplace::0p25::5000::default::exdqlm::mcmc","dynamic","dynamic","laplace","0p25",5000,"default","exdqlm","mcmc","done","WARN","candidate_fit","tools/merge_reports/full288_refreshed288_20260422_p90_full288_baseline_v1/fits/mcmc/row_0040_dynamic_laplace_0p25_5000_default_exdqlm_mcmc_fit.rds",9672652241,9.008359,TRUE,"tools/merge_reports/full288_refreshed288_20260422_p90_full288_baseline_v1/plot_summaries/row_0040_plot_summary.csv",FALSE,"tools/merge_reports/full288_refreshed288_20260422_p90_full288_baseline_v1/parameter_summaries/row_0040_parameter_summary.csv",FALSE,TRUE,"extract_plot_summary_before_delete"
36,"dynamic::laplace::0p25::500::default::exdqlm::mcmc","dynamic","dynamic","laplace","0p25",500,"default","exdqlm","mcmc","done","WARN","candidate_fit","tools/merge_reports/full288_refreshed288_20260422_p90_full288_baseline_v1/fits/mcmc/row_0036_dynamic_laplace_0p25_500_default_exdqlm_mcmc_fit.rds",9672649529,9.008357,TRUE,"tools/merge_reports/full288_refreshed288_20260422_p90_full288_baseline_v1/plot_summaries/row_0036_plot_summary.csv",FALSE,"tools/merge_reports/full288_refreshed288_20260422_p90_full288_baseline_v1/parameter_summaries/row_0036_parameter_summary.csv",FALSE,TRUE,"extract_plot_summary_before_delete"
