path,status,esn_sha,esn_bytes,esn_last_commit,esn_author,esn_date,esnserver_sha,esnserver_bytes,esnserver_last_commit,esnserver_author,esnserver_date
"man/exdqlmForecast.Rd","SAME","b3b880a35d062d50630cb24825a57e399f2999cb","2588","4636ac8","Antonio","2025-09-08","b3b880a35d062d50630cb24825a57e399f2999cb","2588","4636ac8","Antonio","2025-09-08"
".github/workflows/rhub.yaml","SAME","74ec7b051aae5ed0f3de7e07fa53d08ee9ea0632","2942","d895065","Antonio","2025-09-10","74ec7b051aae5ed0f3de7e07fa53d08ee9ea0632","2942","d895065","Antonio","2025-09-10"
"R/tfRegMod.R","SAME","c08f5c96631ac28218767d2546ce64eeb17b29e8","3221","4faa9ed","Antonio","2025-10-09","c08f5c96631ac28218767d2546ce64eeb17b29e8","3221","4faa9ed","Antonio","2025-10-09"
"data/ELIanoms.rda","SAME","063fa1d9a8faf2a4681cd955747180371703f610","114583","9f38fb4","Raquel Barata","2023-02-16","063fa1d9a8faf2a4681cd955747180371703f610","114583","9f38fb4","Raquel Barata","2023-02-16"
"man/combineMods.Rd","SAME","3997f208959db8a4b2e460f0b567bb97cc8fbdf8","815","3cd366e","Antonio","2025-09-26","3997f208959db8a4b2e460f0b567bb97cc8fbdf8","815","3cd366e","Antonio","2025-09-26"
"CRAN-SUBMISSION","SAME","d474dd5977b9e6af9b60d77a3cd69fe73fefbe5d","91","f240f5c","Antonio","2025-09-10","d474dd5977b9e6af9b60d77a3cd69fe73fefbe5d","91","f240f5c","Antonio","2025-09-10"
"bin/launch_msel_tmux.sh","ONLY_IN_esn-server","","","","","","59bcf36afe46822c47d632126eaa8be793da63be","2004","005f302","Antonio","2025-10-20"
"src/Makevars","SAME","1f98b8b74feeb4c8bf9d4359651f1f2ad8ec7207","224","4f4aad1","Antonio","2025-09-24","1f98b8b74feeb4c8bf9d4359651f1f2ad8ec7207","224","4f4aad1","Antonio","2025-09-24"
"R/exdqlmChecks.R","SAME","419f1ab00d065094ad9cb393da0ba72ca879a4ae","5653","9f38fb4","Raquel Barata","2023-02-16","419f1ab00d065094ad9cb393da0ba72ca879a4ae","5653","9f38fb4","Raquel Barata","2023-02-16"
"man/exal_static_mcmc.Rd","SAME","9da800d19dbe07ea4d01ac6663b0037618afc5f8","2876","4faa9ed","Antonio","2025-10-09","9da800d19dbe07ea4d01ac6663b0037618afc5f8","2876","4faa9ed","Antonio","2025-10-09"
"R/exdqlmMCMC.R","SAME","135d4889b8b05e9f8afb3935c907af6f70ee64e4","21159","9f38fb4","Raquel Barata","2023-02-16","135d4889b8b05e9f8afb3935c907af6f70ee64e4","21159","9f38fb4","Raquel Barata","2023-02-16"
".Rbuildignore","SAME","6cf4334705efc9caef54124fa7478699b6c4efa5","368","4b52975","Antonio","2025-10-02","6cf4334705efc9caef54124fa7478699b6c4efa5","368","4b52975","Antonio","2025-10-02"
"R/RcppExports.R","SAME","16bc3605071413e3c3a16ed935bdac92ae831e90","3675","67c06d5","Antonio","2025-10-02","16bc3605071413e3c3a16ed935bdac92ae831e90","3675","67c06d5","Antonio","2025-10-02"
"bin/run_qdesn_msel.sh","ONLY_IN_esn-server","","","","","","2661f1b98a220c682bf3783a53d439a2aa5b05f0","2205","9ce2ea2","Antonio","2025-10-20"
"R/simulate_ts_mc_quantiles.R","MODIFIED","0e7e42cc5b8e7c9b2494f088a1620009952ac5ae","20459","c7eb13c","Antonio","2025-10-18","a2fb71ce1ce6032c7b80c60f137ace9d338eba44","10780","87495b9","Antonio","2025-10-11"
"R/exdqlmISVB.R","SAME","f8cdf7ef10a22d53a443ab776ebe839f06dbe33a","34128","1a5ec85","Antonio","2025-09-17","f8cdf7ef10a22d53a443ab776ebe839f06dbe33a","34128","1a5ec85","Antonio","2025-09-17"
"man/get_gamma_bounds.Rd","SAME","c6558f360b40e0badb4098cf93ff7d5ab2defa32","761","3cd366e","Antonio","2025-09-26","c6558f360b40e0badb4098cf93ff7d5ab2defa32","761","3cd366e","Antonio","2025-09-26"
"man/exdqlm_synthesize_from_draws.Rd","SAME","2d73ce26eae7a32a5ff93661809995c33c58d567","2308","87eabd2","Antonio","2025-10-02","2d73ce26eae7a32a5ff93661809995c33c58d567","2308","87eabd2","Antonio","2025-10-02"
"man/qdesn_fit_vb.Rd","SAME","09104f1cd71e37de2abf982d37e8b478b316e7c7","3278","3bc2dd3","Antonio","2025-10-20","09104f1cd71e37de2abf982d37e8b478b316e7c7","3278","2705a21","Antonio","2025-10-20"
"src/exAL.cpp","SAME","8da0229bc1475ae136b4b3cf4cdf8de5ca8882a6","9214","0898f13","Antonio","2025-09-09","8da0229bc1475ae136b4b3cf4cdf8de5ca8882a6","9214","0898f13","Antonio","2025-09-09"
"man/exal_vb_posterior_draws.Rd","SAME","ae83d5c16c6dcb9cdf6fa3a78436db4397ded656","511","7f17ead","Antonio","2025-10-15","ae83d5c16c6dcb9cdf6fa3a78436db4397ded656","511","fef76bf","Antonio","2025-10-18"
"src/RcppExports.cpp","SAME","243271a8a412286a7adb3c9348d4bc4a1822afb5","22881","67c06d5","Antonio","2025-10-02","243271a8a412286a7adb3c9348d4bc4a1822afb5","22881","67c06d5","Antonio","2025-10-02"
"README.Rmd","SAME","9b9fc403290dcbc79c1f9a2ccf7586632877ae3e","9656","296a581","Antonio","2025-10-02","9b9fc403290dcbc79c1f9a2ccf7586632877ae3e","9656","296a581","Antonio","2025-10-02"
"R/exdqlmPlot.R","SAME","22849cacc2107d8292ba65a050268b03f9cef491","2233","9f38fb4","Raquel Barata","2023-02-16","22849cacc2107d8292ba65a050268b03f9cef491","2233","9f38fb4","Raquel Barata","2023-02-16"
"tests/testthat/test-smoke.R","SAME","ba82505a1eb7a69b0bf379477e3b829e21b3a976","478","5373e2f","Antonio","2025-09-08","ba82505a1eb7a69b0bf379477e3b829e21b3a976","478","5373e2f","Antonio","2025-09-08"
"src/sampling_utils.cpp","SAME","6a2058ec3c92bcc32c3dddffa05c121541d12789","16344","67c06d5","Antonio","2025-10-02","6a2058ec3c92bcc32c3dddffa05c121541d12789","16344","67c06d5","Antonio","2025-10-02"
"man/exdqlmISVB.Rd","SAME","91e36b0b4191653900b697618d03107b8d9b19dc","6080","ad761ef","Antonio","2025-09-17","91e36b0b4191653900b697618d03107b8d9b19dc","6080","ad761ef","Antonio","2025-09-17"
"man/model_selection_distribution_first.Rd","MODIFIED","6418466491b7ff211f2a259546a82f1cf17ff3d3","2460","7f17ead","Antonio","2025-10-15","b5b7e345ac6c944039e6a1a14bad3de513227c3a","3279","2705a21","Antonio","2025-10-20"
"scripts/driver_model_selection.R","ONLY_IN_esn-server","","","","","","dbd8948afd592c669d75486e697ca93398787c78","7435","be7cb0f","Antonio","2025-10-20"
"man/figures/README-pressure-1.png","SAME","cc54da2a191afee3901d0753a74fa3cbea32a515","17648","60ef06d","Antonio","2025-09-08","cc54da2a191afee3901d0753a74fa3cbea32a515","17648","60ef06d","Antonio","2025-09-08"
"NAMESPACE","MODIFIED","28149aca015c6932529140e025b25fa7140b8694","1075","197683f","Antonio","2025-10-20","78009201db567ac18bd67436aa173d6da30e27d3","933","2705a21","Antonio","2025-10-20"
"man/exdqlmPlot.Rd","SAME","48dd24d3836b74841eacf3d3f45b473b042b1b8f","1193","0898f13","Antonio","2025-09-09","48dd24d3836b74841eacf3d3f45b473b042b1b8f","1193","0898f13","Antonio","2025-09-09"
"data/nino34.rda","SAME","1175c9874497a48372658e8776345d038d06516e","1878","9f38fb4","Raquel Barata","2023-02-16","1175c9874497a48372658e8776345d038d06516e","1878","9f38fb4","Raquel Barata","2023-02-16"
"man/qexal.Rd","SAME","8bb8f470d254424564c7ce5ea18ef5c1dbaed241","1181","129e0ab","Antonio","2025-09-09","8bb8f470d254424564c7ce5ea18ef5c1dbaed241","1181","129e0ab","Antonio","2025-09-09"
"man/regMod.Rd","SAME","ed007d5f3303b6053a3c76fbbac53166efb1f738","1633","4faa9ed","Antonio","2025-10-09","ed007d5f3303b6053a3c76fbbac53166efb1f738","1633","4faa9ed","Antonio","2025-10-09"
"R/optionA_alias.R","ONLY_IN_esn-server","","","","","","a03f1d1eaf190bc732fe5a76735837a66c16fdd8","731","be7cb0f","Antonio","2025-10-20"
"man/compPlot.Rd","SAME","c902d0dd53095b05f1cc3276b8d5ae050be289a4","1935","0898f13","Antonio","2025-09-09","c902d0dd53095b05f1cc3276b8d5ae050be289a4","1935","0898f13","Antonio","2025-09-09"
"src/.gitignore","SAME","22034c461fce9171ea1d649f15429426e0eb8d10","15","0898f13","Antonio","2025-09-09","22034c461fce9171ea1d649f15429426e0eb8d10","15","0898f13","Antonio","2025-09-09"
"R/update_theta_bridge.R","SAME","6e56c45ae3bdc78f75eb3f2825db3952f0a70e70","3997","406edf7","Antonio","2025-09-17","6e56c45ae3bdc78f75eb3f2825db3952f0a70e70","3997","406edf7","Antonio","2025-09-17"
"man/dlmMod.Rd","SAME","67bf9e1a3b3948c341ba69f319b69a62ccd78da3","720","3cd366e","Antonio","2025-09-26","67bf9e1a3b3948c341ba69f319b69a62ccd78da3","720","3cd366e","Antonio","2025-09-26"
"man/dexal.Rd","SAME","12a98d3b3f1f17400c6c62201ce8740fd9ceb6fc","1109","129e0ab","Antonio","2025-09-09","12a98d3b3f1f17400c6c62201ce8740fd9ceb6fc","1109","129e0ab","Antonio","2025-09-09"
"cran-comments.md","SAME","c2b0d9713cb93af734c81b3ef78bf9d4d422e33c","1191","6ff4c66","Antonio","2025-10-02","c2b0d9713cb93af734c81b3ef78bf9d4d422e33c","1191","6ff4c66","Antonio","2025-10-02"
"R/scIVTmag.R","SAME","b7b790ca1f50c494cf1669194453ad034093902d","518","9f38fb4","Raquel Barata","2023-02-16","b7b790ca1f50c494cf1669194453ad034093902d","518","9f38fb4","Raquel Barata","2023-02-16"
"R/nino34.R","SAME","b97a93ea18d1f6b9cabe71ef0cddd8dc5c211bd0","543","9f38fb4","Raquel Barata","2023-02-16","b97a93ea18d1f6b9cabe71ef0cddd8dc5c211bd0","543","9f38fb4","Raquel Barata","2023-02-16"
"data/BTflow.rda","SAME","1ab968c83cf26fc75f482f2ec015a9b88b9063b2","2602","9f38fb4","Raquel Barata","2023-02-16","1ab968c83cf26fc75f482f2ec015a9b88b9063b2","2602","9f38fb4","Raquel Barata","2023-02-16"
"NEWS.md","SAME","1b9c61f7d050a9523cdcb697af8e392997f60b15","782","fc87073","Antonio","2025-10-07","1b9c61f7d050a9523cdcb697af8e392997f60b15","782","fc87073","Antonio","2025-10-07"
"build/partial.rdb","SAME","1a5d5ae3279777ec8fd78ee8444e86435baa2fb3","4849","9f38fb4","Raquel Barata","2023-02-16","1a5d5ae3279777ec8fd78ee8444e86435baa2fb3","4849","9f38fb4","Raquel Barata","2023-02-16"
"R/exal_static_LDVB.R","SAME","32069e904828df54f1e0f02aeeccc6e8d661582d","17399","47b4c29","Antonio","2025-10-09","32069e904828df54f1e0f02aeeccc6e8d661582d","17399","47b4c29","Antonio","2025-10-09"
