"rebuild_scope","block","family","tau","fit_size","target_prior_semantics","model","inference","target_root_id","target_original_scenario_key","target_original_case_key","evidence_bucket","selected_source_subtype","selected_candidate","selected_variant_tag","legacy_freeze_required","rebuild_required","audit_date"
"static_shrink_rhsns_full_rebuild","static_shrink","gausmix","0p05",100,"rhs_ns","al","mcmc","root__static_shrink__gausmix__tau_0p05__tt_100__rhs_ns","static_shrink::gausmix::0p05::100::rhs_ns","static_shrink::gausmix::0p05::100::rhs_ns::al::mcmc","rhsns_explicit","current_rhsns_impl_refresh","rhsns_impl_refresh_20260329","rhsns_impl_refresh_20260329",TRUE,TRUE,"2026-04-09"
"static_shrink_rhsns_full_rebuild","static_shrink","gausmix","0p05",1000,"rhs_ns","al","mcmc","root__static_shrink__gausmix__tau_0p05__tt_1000__rhs_ns","static_shrink::gausmix::0p05::1000::rhs_ns","static_shrink::gausmix::0p05::1000::rhs_ns::al::mcmc","rhsns_explicit","current_rhsns_impl_refresh","rhsns_impl_refresh_20260329","rhsns_impl_refresh_20260329",TRUE,TRUE,"2026-04-09"
"static_shrink_rhsns_full_rebuild","static_shrink","gausmix","0p25",100,"rhs_ns","al","mcmc","root__static_shrink__gausmix__tau_0p25__tt_100__rhs_ns","static_shrink::gausmix::0p25::100::rhs_ns","static_shrink::gausmix::0p25::100::rhs_ns::al::mcmc","baseline_ambiguous","baseline_original","baseline","baseline",TRUE,TRUE,"2026-04-09"
"static_shrink_rhsns_full_rebuild","static_shrink","gausmix","0p25",1000,"rhs_ns","al","mcmc","root__static_shrink__gausmix__tau_0p25__tt_1000__rhs_ns","static_shrink::gausmix::0p25::1000::rhs_ns","static_shrink::gausmix::0p25::1000::rhs_ns::al::mcmc","baseline_ambiguous","baseline_original","baseline","baseline",TRUE,TRUE,"2026-04-09"
"static_shrink_rhsns_full_rebuild","static_shrink","gausmix","0p95",100,"rhs_ns","al","mcmc","root__static_shrink__gausmix__tau_0p95__tt_100__rhs_ns","static_shrink::gausmix::0p95::100::rhs_ns","static_shrink::gausmix::0p95::100::rhs_ns::al::mcmc","baseline_ambiguous","baseline_original","baseline","baseline",TRUE,TRUE,"2026-04-09"
"static_shrink_rhsns_full_rebuild","static_shrink","gausmix","0p95",1000,"rhs_ns","al","mcmc","root__static_shrink__gausmix__tau_0p95__tt_1000__rhs_ns","static_shrink::gausmix::0p95::1000::rhs_ns","static_shrink::gausmix::0p95::1000::rhs_ns::al::mcmc","baseline_ambiguous","baseline_original","baseline","baseline",TRUE,TRUE,"2026-04-09"
"static_shrink_rhsns_full_rebuild","static_shrink","laplace","0p05",100,"rhs_ns","al","mcmc","root__static_shrink__laplace__tau_0p05__tt_100__rhs_ns","static_shrink::laplace::0p05::100::rhs_ns","static_shrink::laplace::0p05::100::rhs_ns::al::mcmc","baseline_ambiguous","baseline_original","baseline","baseline",TRUE,TRUE,"2026-04-09"
"static_shrink_rhsns_full_rebuild","static_shrink","laplace","0p05",1000,"rhs_ns","al","mcmc","root__static_shrink__laplace__tau_0p05__tt_1000__rhs_ns","static_shrink::laplace::0p05::1000::rhs_ns","static_shrink::laplace::0p05::1000::rhs_ns::al::mcmc","rhsns_explicit","current_rhsns_impl_refresh","rhsns_impl_refresh_20260329","rhsns_impl_refresh_20260329",TRUE,TRUE,"2026-04-09"
"static_shrink_rhsns_full_rebuild","static_shrink","laplace","0p25",100,"rhs_ns","al","mcmc","root__static_shrink__laplace__tau_0p25__tt_100__rhs_ns","static_shrink::laplace::0p25::100::rhs_ns","static_shrink::laplace::0p25::100::rhs_ns::al::mcmc","rhsns_explicit","current_rhsns_impl_refresh","rhsns_impl_refresh_20260329","rhsns_impl_refresh_20260329",TRUE,TRUE,"2026-04-09"
"static_shrink_rhsns_full_rebuild","static_shrink","laplace","0p25",1000,"rhs_ns","al","mcmc","root__static_shrink__laplace__tau_0p25__tt_1000__rhs_ns","static_shrink::laplace::0p25::1000::rhs_ns","static_shrink::laplace::0p25::1000::rhs_ns::al::mcmc","baseline_ambiguous","baseline_original","baseline","baseline",TRUE,TRUE,"2026-04-09"
"static_shrink_rhsns_full_rebuild","static_shrink","laplace","0p95",100,"rhs_ns","al","mcmc","root__static_shrink__laplace__tau_0p95__tt_100__rhs_ns","static_shrink::laplace::0p95::100::rhs_ns","static_shrink::laplace::0p95::100::rhs_ns::al::mcmc","baseline_ambiguous","baseline_original","baseline","baseline",TRUE,TRUE,"2026-04-09"
"static_shrink_rhsns_full_rebuild","static_shrink","laplace","0p95",1000,"rhs_ns","al","mcmc","root__static_shrink__laplace__tau_0p95__tt_1000__rhs_ns","static_shrink::laplace::0p95::1000::rhs_ns","static_shrink::laplace::0p95::1000::rhs_ns::al::mcmc","baseline_ambiguous","baseline_original","baseline","baseline",TRUE,TRUE,"2026-04-09"
