"root_path","root_name","class","default_scope","default_action","cleanup_candidate","total_file_count","total_size_bytes","rds_count","rds_size_bytes","rda_count","rda_size_bytes","rdata_count","rdata_size_bytes","binary_count","binary_size_bytes","config_rds_count","fit_rds_count","vb_init_rds_count","draws_rds_count","other_rds_count","csv_count","log_count","txt_count","notes"
"/home/jaguir26/local/src/exdqlm__wt__validation_rerun_after_0p4p0_integration/tools/merge_reports/full288_original288_dynamic_tt5000_exactspec_repair_20260414","full288_original288_dynamic_tt5000_exactspec_repair_20260414","legacy_original288_launch","all_validation","delete_binary_outputs_optional",TRUE,144,193778,144,193778,0,0,0,0,144,193778,144,0,0,0,0,0,0,0,"Older original288 validation launch root; optional extended cleanup beyond refreshed288."
"/home/jaguir26/local/src/exdqlm__wt__validation_rerun_after_0p4p0_integration/tools/merge_reports/full288_original288_dynamic_tt5000_postfix_repair_20260415","full288_original288_dynamic_tt5000_postfix_repair_20260415","legacy_original288_launch","all_validation","delete_binary_outputs_optional",TRUE,1132,881810,384,359693,0,0,0,0,384,359693,384,0,0,0,0,558,188,2,"Older original288 validation launch root; optional extended cleanup beyond refreshed288."
"/home/jaguir26/local/src/exdqlm__wt__validation_rerun_after_0p4p0_integration/tools/merge_reports/full288_original288_dynamic_tt5000_postfix_smoke_20260415","full288_original288_dynamic_tt5000_postfix_smoke_20260415","legacy_original288_launch","all_validation","delete_binary_outputs_optional",TRUE,18,15502,11,13167,0,0,0,0,11,13167,11,0,0,0,0,3,3,1,"Older original288 validation launch root; optional extended cleanup beyond refreshed288."
"/home/jaguir26/local/src/exdqlm__wt__validation_rerun_after_0p4p0_integration/tools/merge_reports/full288_original288_exactspec_multiseed_relaunch_20260412","full288_original288_exactspec_multiseed_relaunch_20260412","legacy_original288_launch","all_validation","delete_binary_outputs_optional",TRUE,1200,2119180,1200,2119180,0,0,0,0,1200,2119180,1200,0,0,0,0,0,0,0,"Older original288 validation launch root; optional extended cleanup beyond refreshed288."
"/home/jaguir26/local/src/exdqlm__wt__validation_rerun_after_0p4p0_integration/tools/merge_reports/full288_original288_static_shrink_rhsns_exal_mcmc_final_closure_20260410","full288_original288_static_shrink_rhsns_exal_mcmc_final_closure_20260410","legacy_original288_launch","all_validation","delete_binary_outputs_optional",TRUE,91,114198,18,28645,0,0,0,0,18,28645,18,0,0,0,0,54,18,1,"Older original288 validation launch root; optional extended cleanup beyond refreshed288."
"/home/jaguir26/local/src/exdqlm__wt__validation_rerun_after_0p4p0_integration/tools/merge_reports/full288_original288_static_shrink_rhsns_exal_mcmc_gausmix_lastmile_20260410","full288_original288_static_shrink_rhsns_exal_mcmc_gausmix_lastmile_20260410","legacy_original288_launch","all_validation","delete_binary_outputs_optional",TRUE,144,180903,28,44801,0,0,0,0,28,44801,28,0,0,0,0,84,28,4,"Older original288 validation launch root; optional extended cleanup beyond refreshed288."
"/home/jaguir26/local/src/exdqlm__wt__validation_rerun_after_0p4p0_integration/tools/merge_reports/full288_original288_static_shrink_rhsns_exal_mcmc_gausmix_stationarity_bridge_20260410","full288_original288_static_shrink_rhsns_exal_mcmc_gausmix_stationarity_bridge_20260410","legacy_original288_launch","all_validation","delete_binary_outputs_optional",TRUE,113,136988,24,39193,0,0,0,0,24,39193,24,0,0,0,0,62,24,3,"Older original288 validation launch root; optional extended cleanup beyond refreshed288."
"/home/jaguir26/local/src/exdqlm__wt__validation_rerun_after_0p4p0_integration/tools/merge_reports/full288_original288_static_shrink_rhsns_exal_mcmc_repair_20260410","full288_original288_static_shrink_rhsns_exal_mcmc_repair_20260410","legacy_original288_launch","all_validation","delete_binary_outputs_optional",TRUE,192,237194,38,58144,0,0,0,0,38,58144,38,0,0,0,0,114,38,2,"Older original288 validation launch root; optional extended cleanup beyond refreshed288."
"/home/jaguir26/local/src/exdqlm__wt__validation_rerun_after_0p4p0_integration/tools/merge_reports/full288_original288_static_shrink_rhsns_rebuild_20260409","full288_original288_static_shrink_rhsns_rebuild_20260409","legacy_original288_launch","all_validation","delete_binary_outputs_optional",TRUE,356,367042,72,91574,0,0,0,0,72,91574,72,0,0,0,0,210,72,2,"Older original288 validation launch root; optional extended cleanup beyond refreshed288."
"/home/jaguir26/local/src/exdqlm__wt__validation_rerun_after_0p4p0_integration/tools/merge_reports/full288_original288_syncedbase_dynamic_closure_20260407","full288_original288_syncedbase_dynamic_closure_20260407","legacy_original288_launch","all_validation","delete_binary_outputs_optional",TRUE,51,45223,12,11720,0,0,0,0,12,11720,12,0,0,0,0,24,12,3,"Older original288 validation launch root; optional extended cleanup beyond refreshed288."
