"track_id","track_order","row_id","model","inference","family","tau_label","fit_size","failure_class","role_in_track"
"track_exdqlm_mcmc_tt5000","1","8","exdqlm","mcmc","gausmix","0p05","5000","nonfinite_chi_or_pre_latent","microscope"
"track_exdqlm_mcmc_tt5000","1","16","exdqlm","mcmc","gausmix","0p25","5000","nonfinite_chi_or_pre_latent","confirmatory"
"track_exdqlm_mcmc_tt5000","1","24","exdqlm","mcmc","gausmix","0p50","5000","nonfinite_chi_or_pre_latent","spread"
"track_exdqlm_mcmc_tt5000","1","32","exdqlm","mcmc","laplace","0p05","5000","nonfinite_chi_or_pre_latent","spread"
"track_exdqlm_mcmc_tt5000","1","40","exdqlm","mcmc","laplace","0p25","5000","nonfinite_chi_or_pre_latent","spread"
"track_exdqlm_mcmc_tt5000","1","48","exdqlm","mcmc","laplace","0p50","5000","nonfinite_chi_or_pre_latent","spread"
"track_exdqlm_mcmc_tt5000","1","56","exdqlm","mcmc","normal","0p05","5000","nonfinite_chi_or_pre_latent","spread"
"track_exdqlm_mcmc_tt5000","1","64","exdqlm","mcmc","normal","0p25","5000","nonfinite_chi_or_pre_latent","spread"
"track_exdqlm_mcmc_tt5000","1","72","exdqlm","mcmc","normal","0p50","5000","nonfinite_chi_or_pre_latent","spread"
"track_dqlm_mcmc_tt5000","2","6","dqlm","mcmc","gausmix","0p05","5000","pre_uts_invalid_state","microscope"
"track_dqlm_mcmc_tt5000","2","14","dqlm","mcmc","gausmix","0p25","5000","pre_uts_invalid_state","confirmatory"
"track_dqlm_mcmc_tt5000","2","22","dqlm","mcmc","gausmix","0p50","5000","pre_uts_invalid_state","spread"
"track_dqlm_mcmc_tt5000","2","30","dqlm","mcmc","laplace","0p05","5000","pre_uts_invalid_state","spread"
"track_dqlm_mcmc_tt5000","2","38","dqlm","mcmc","laplace","0p25","5000","pre_uts_invalid_state","spread"
"track_dqlm_mcmc_tt5000","2","46","dqlm","mcmc","laplace","0p50","5000","pre_uts_invalid_state","spread"
"track_dqlm_mcmc_tt5000","2","54","dqlm","mcmc","normal","0p05","5000","pre_uts_invalid_state","spread"
"track_dqlm_mcmc_tt5000","2","62","dqlm","mcmc","normal","0p25","5000","pre_uts_invalid_state","spread"
"track_dqlm_mcmc_tt5000","2","70","dqlm","mcmc","normal","0p50","5000","pre_uts_invalid_state","spread"
"track_exdqlm_init_blocked","3","11","exdqlm","vb","gausmix","0p25","500","ldvb_q_t1_na","isolated"
"track_exdqlm_init_blocked","3","12","exdqlm","mcmc","gausmix","0p25","500","ldvb_q_t1_na","isolated"
