"phase","priority","action","root_kind","target_profile","audit_required","hold_fixed","cluster_count","available_metric_slots","win_metric_slots","loss_metric_slots","win_share","net_advantage"
"phase4_dynamic_repair",12,"repair","dynamic","dynamic_exdqlm_lowmid_repair",FALSE,FALSE,12,60,13,47,0.216666666666667,-34
"phase4_dynamic_repair",13,"repair","dynamic","dynamic_exdqlm_lowmid_repair_vb",FALSE,FALSE,12,60,20,40,0.333333333333333,-20
"phase3_dynamic",10,"reinforce","dynamic","dynamic_exdqlm_tau095_ref",FALSE,FALSE,6,30,27,3,0.9,24
"phase3_dynamic",11,"reinforce","dynamic","dynamic_exdqlm_tau095_ref_vb",FALSE,FALSE,6,30,27,3,0.9,24
"phase0_static_prior_correction",1,"freeze_legacy","static","legacy_mixed_prior_freeze",FALSE,FALSE,36,102,57,45,0.558823529411765,12
"phase1_static",4,"propagate","static","static_exal_ref_slice_long",FALSE,FALSE,18,72,56,16,0.777777777777778,40
"phase1_static",5,"propagate","static","static_exal_ref_slice_long_shrink",FALSE,FALSE,18,54,39,15,0.722222222222222,24
"phase2_static_vb",6,"repair","static","static_exal_vb_tau025_repair",FALSE,FALSE,6,18,3,15,0.166666666666667,-12
"phase2_static_vb",7,"repair","static","static_exal_vb_tau025_repair",FALSE,FALSE,6,12,0,12,0,-12
"phase0_static_prior_correction",2,"rebuild_required","static","static_rhsns_full_rebuild",FALSE,FALSE,18,54,34,20,0.62962962962963,14
"phase0_static_prior_correction",3,"rebuild_required","static","static_rhsns_full_rebuild",FALSE,FALSE,18,48,23,25,0.479166666666667,-2
"phase2_static_vb",8,"hold_monitor","static","static_exal_vb_hold",FALSE,TRUE,12,48,38,10,0.791666666666667,28
"phase2_static_vb",9,"hold_monitor","static","static_exal_vb_hold",FALSE,TRUE,12,36,27,9,0.75,18
