"block","family","tau_label","fit_size","prior_semantics","model","original_scenario_key","primary_accuracy_vb","primary_accuracy_mcmc","primary_accuracy_delta_mcmc_minus_vb","coverage_vb","coverage_mcmc","coverage_delta_mcmc_minus_vb","mean_ci_width_vb","mean_ci_width_mcmc","mean_ci_width_delta_mcmc_minus_vb","runtime_sec_vb","runtime_sec_mcmc","runtime_ratio_mcmc_over_vb","gate_vb","gate_mcmc","mcmc_better_accuracy","mcmc_healthier","vb_metric_source","mcmc_metric_source"
"dynamic","laplace","0p25",5000,"default","exdqlm","dynamic::laplace::0p25::5000::default",394.82123605069,437.702076737832,42.880840687142,0.953,0.9526,-0.000399999999999956,15.783710044509,21.001993591969,5.21828354746,500.023,18538.16,37.0746145677299,"PASS","WARN",FALSE,FALSE,"validation_tables","validation_tables"
"dynamic","laplace","0p95",500,"default","dqlm","dynamic::laplace::0p95::500::default",5081.48032131993,5131.34070116314,49.8603798432096,0.024,0.076,0.052,1479.23538475212,3489.5509684699,2010.31558371778,NA,844.627,NA,"PASS","PASS",FALSE,FALSE,"validation_tables","validation_tables"
"dynamic","laplace","0p95",500,"default","exdqlm","dynamic::laplace::0p95::500::default",4821.10074372068,9107.60604926899,4286.50530554831,0.05,0.056,0.006,1117.55897505619,2919.77140294907,1802.21242789288,169.155,191.49,1.13203866276492,"PASS","PASS",FALSE,FALSE,"validation_tables","validation_tables"
"dynamic","laplace","0p95",5000,"default","dqlm","dynamic::laplace::0p95::5000::default",349.54279863254,341.544411951457,-7.99838668108299,0.8864,0.9106,0.0242,42.3917257420331,71.6255289572077,29.2338032151746,435.018,895.076,2.05756083656309,"PASS","PASS",TRUE,FALSE,"validation_tables","validation_tables"
"dynamic","laplace","0p95",5000,"default","exdqlm","dynamic::laplace::0p95::5000::default",314.87885417407,320.253484403252,5.374630229182,0.002,0.004,0.002,55.7087809408441,76.5516740740472,20.8428931332031,962.852,19448.623,20.1989745049083,"PASS","PASS",FALSE,FALSE,"validation_tables","validation_tables"
"dynamic","normal","0p05",500,"default","dqlm","dynamic::normal::0p05::500::default",2098.56526126806,2091.33544832233,-7.22981294572992,0.144,0.246,0.102,219.877617813344,321.892453190527,102.014835377183,NA,448.683,NA,"PASS","PASS",TRUE,FALSE,"validation_tables","validation_tables"
"dynamic","normal","0p05",500,"default","exdqlm","dynamic::normal::0p05::500::default",2115.2012251548,4765.207125521,2650.0059003662,0.15,1,0.85,217.889944610625,12044.4041484636,11826.514203853,401.386,1599.191,3.98417234283209,"PASS","PASS",FALSE,FALSE,"validation_tables","dynamic_restored_metrics"
"dynamic","normal","0p05",5000,"default","dqlm","dynamic::normal::0p05::5000::default",156.11425127423,154.847417425684,-1.26683384854601,0.705,0.8926,0.1876,3.89587560535714,6.27513469579825,2.37925909044111,388.781,18534.76,47.6740375687083,"PASS","PASS",TRUE,FALSE,"validation_tables","validation_tables"
"dynamic","normal","0p05",5000,"default","exdqlm","dynamic::normal::0p05::5000::default",154.424505094729,158.073068817742,3.64856372301301,0.7376,0.8626,0.125,4.00757684613222,6.38153200073823,2.37395515460601,NA,NA,NA,"WARN","FAIL",FALSE,FALSE,"validation_tables","validation_tables"
"dynamic","normal","0p25",500,"default","dqlm","dynamic::normal::0p25::500::default",1565.34681814427,1561.82298027069,-3.52383787357985,0.394,0.426,0.032,245.326505299233,287.806185862406,42.479680563173,NA,176.544,NA,"PASS","PASS",TRUE,FALSE,"validation_tables","validation_tables"
"dynamic","normal","0p25",500,"default","exdqlm","dynamic::normal::0p25::500::default",1600.7569468268,1816.44704759901,215.69010077221,0.412,0.394,-0.018,253.017716463097,436.780693917578,183.762977454481,100.42,742.807,7.39700258912567,"PASS","WARN",FALSE,FALSE,"validation_tables","validation_tables"
"dynamic","normal","0p25",5000,"default","dqlm","dynamic::normal::0p25::5000::default",121.069329753263,120.624432144178,-0.444897609085004,0.9572,0.9706,0.0134,5.31313640830196,6.95453177686846,1.6413953685665,NA,1745.188,NA,"PASS","PASS",TRUE,FALSE,"validation_tables","validation_tables"
"dynamic","normal","0p25",5000,"default","exdqlm","dynamic::normal::0p25::5000::default",126.280308664388,139.450561852349,13.170253187961,0.9334,0.8876,-0.0458000000000001,5.38992613077136,6.87120976223937,1.48128363146801,507.891,16500.059,32.4874018244072,"PASS","WARN",FALSE,FALSE,"validation_tables","validation_tables"
"dynamic","normal","0p95",500,"default","dqlm","dynamic::normal::0p95::500::default",2113.9027033332,2010.80151617024,-103.10118716296,0.02,0.07,0.05,726.51573310825,1495.42590019023,768.91016708198,36.012,NA,NA,"PASS","WARN",TRUE,FALSE,"validation_tables","validation_tables"
"dynamic","normal","0p95",500,"default","exdqlm","dynamic::normal::0p95::500::default",1846.95861369825,3175.91978576973,1328.96117207148,0.058,0.086,0.028,513.151816496402,1188.20669085572,675.054874359318,152.831,1645.373,10.7659637115507,"PASS","PASS",FALSE,FALSE,"validation_tables","validation_tables"
"dynamic","normal","0p95",5000,"default","dqlm","dynamic::normal::0p95::5000::default",100.616878772362,98.4106776970079,-2.2062010753541,0.9078,0.9394,0.0316,12.0235972702329,19.8291314341924,7.8055341639595,394.194,1753.689,4.4487967853392,"PASS","PASS",TRUE,FALSE,"validation_tables","validation_tables"
"dynamic","normal","0p95",5000,"default","exdqlm","dynamic::normal::0p95::5000::default",89.4872775269233,88.3085301989364,-1.1787473279869,0.0024,0.0036,0.0012,12.7307865680334,16.1013845452441,3.3705979772107,886.794,19134.688,21.577376482024,"PASS","PASS",TRUE,FALSE,"validation_tables","validation_tables"
