"block","family","tau_label","fit_size","prior_semantics","inference","original_scenario_key","base_model","extended_model","primary_accuracy_base","primary_accuracy_extended","primary_accuracy_delta","coverage_base","coverage_extended","coverage_delta","mean_ci_width_base","mean_ci_width_extended","mean_ci_width_delta","runtime_sec_base","runtime_sec_extended","runtime_ratio_extended_over_base","gate_base","gate_extended","healthy_base","healthy_extended","exdqlm_better_accuracy","exdqlm_healthier","base_metric_source","extended_metric_source"
"dynamic","laplace","0p25",500,"default","vb","dynamic::laplace::0p25::500::default","dqlm","exdqlm",3846.73358368177,3908.84922205089,62.11563836912,0.18,0.212,0.032,605.599495193171,597.88866372836,-7.71083146481101,NA,134.307,NA,"PASS","PASS",TRUE,TRUE,FALSE,FALSE,"validation_tables","validation_tables"
"dynamic","laplace","0p25",5000,"default","mcmc","dynamic::laplace::0p25::5000::default","dqlm","exdqlm",380.806120694974,437.702076737832,56.895956042858,0.9546,0.9526,-0.002,18.8806827778564,21.001993591969,2.1213108141126,1807.255,18538.16,10.2576338148186,"PASS","WARN",TRUE,TRUE,FALSE,FALSE,"validation_tables","validation_tables"
"dynamic","laplace","0p25",5000,"default","vb","dynamic::laplace::0p25::5000::default","dqlm","exdqlm",381.116554847942,394.82123605069,13.704681202748,0.9536,0.953,-0.000600000000000045,14.8692119650822,15.783710044509,0.914498079426799,NA,500.023,NA,"PASS","PASS",TRUE,TRUE,FALSE,FALSE,"validation_tables","validation_tables"
"dynamic","laplace","0p95",500,"default","mcmc","dynamic::laplace::0p95::500::default","dqlm","exdqlm",5131.34070116314,9107.60604926899,3976.26534810585,0.076,0.056,-0.02,3489.5509684699,2919.77140294907,-569.77956552083,844.627,191.49,0.226715461381178,"PASS","PASS",TRUE,TRUE,FALSE,FALSE,"validation_tables","validation_tables"
"dynamic","laplace","0p95",500,"default","vb","dynamic::laplace::0p95::500::default","dqlm","exdqlm",5081.48032131993,4821.10074372068,-260.37957759925,0.024,0.05,0.026,1479.23538475212,1117.55897505619,-361.67640969593,NA,169.155,NA,"PASS","PASS",TRUE,TRUE,TRUE,FALSE,"validation_tables","validation_tables"
"dynamic","laplace","0p95",5000,"default","mcmc","dynamic::laplace::0p95::5000::default","dqlm","exdqlm",341.544411951457,320.253484403252,-21.290927548205,0.9106,0.004,-0.9066,71.6255289572077,76.5516740740472,4.92614511683949,895.076,19448.623,21.7284599296596,"PASS","PASS",TRUE,TRUE,TRUE,FALSE,"validation_tables","validation_tables"
"dynamic","laplace","0p95",5000,"default","vb","dynamic::laplace::0p95::5000::default","dqlm","exdqlm",349.54279863254,314.87885417407,-34.66394445847,0.8864,0.002,-0.8844,42.3917257420331,55.7087809408441,13.317055198811,435.018,962.852,2.21336128619965,"PASS","PASS",TRUE,TRUE,TRUE,FALSE,"validation_tables","validation_tables"
"dynamic","normal","0p05",500,"default","mcmc","dynamic::normal::0p05::500::default","dqlm","exdqlm",2091.33544832233,4765.207125521,2673.87167719867,0.246,1,0.754,321.892453190527,12044.4041484636,11722.5116952731,448.683,1599.191,3.56418897083241,"PASS","PASS",TRUE,TRUE,FALSE,FALSE,"validation_tables","dynamic_restored_metrics"
"dynamic","normal","0p05",500,"default","vb","dynamic::normal::0p05::500::default","dqlm","exdqlm",2098.56526126806,2115.2012251548,16.6359638867398,0.144,0.15,0.00600000000000001,219.877617813344,217.889944610625,-1.98767320271898,NA,401.386,NA,"PASS","PASS",TRUE,TRUE,FALSE,FALSE,"validation_tables","validation_tables"
"dynamic","normal","0p05",5000,"default","mcmc","dynamic::normal::0p05::5000::default","dqlm","exdqlm",154.847417425684,158.073068817742,3.22565139205801,0.8926,0.8626,-0.0299999999999999,6.27513469579825,6.38153200073823,0.10639730493998,18534.76,NA,NA,"PASS","FAIL",TRUE,FALSE,FALSE,FALSE,"validation_tables","validation_tables"
"dynamic","normal","0p05",5000,"default","vb","dynamic::normal::0p05::5000::default","dqlm","exdqlm",156.11425127423,154.424505094729,-1.68974617950101,0.705,0.7376,0.0326000000000001,3.89587560535714,4.00757684613222,0.111701240775079,388.781,NA,NA,"PASS","WARN",TRUE,TRUE,TRUE,FALSE,"validation_tables","validation_tables"
"dynamic","normal","0p25",500,"default","mcmc","dynamic::normal::0p25::500::default","dqlm","exdqlm",1561.82298027069,1816.44704759901,254.62406732832,0.426,0.394,-0.032,287.806185862406,436.780693917578,148.974508055172,176.544,742.807,4.20748935109661,"PASS","WARN",TRUE,TRUE,FALSE,FALSE,"validation_tables","validation_tables"
"dynamic","normal","0p25",500,"default","vb","dynamic::normal::0p25::500::default","dqlm","exdqlm",1565.34681814427,1600.7569468268,35.4101286825301,0.394,0.412,0.018,245.326505299233,253.017716463097,7.69121116386401,NA,100.42,NA,"PASS","PASS",TRUE,TRUE,FALSE,FALSE,"validation_tables","validation_tables"
"dynamic","normal","0p25",5000,"default","mcmc","dynamic::normal::0p25::5000::default","dqlm","exdqlm",120.624432144178,139.450561852349,18.826129708171,0.9706,0.8876,-0.0830000000000001,6.95453177686846,6.87120976223937,-0.0833220146290898,1745.188,16500.059,9.45460259868851,"PASS","WARN",TRUE,TRUE,FALSE,FALSE,"validation_tables","validation_tables"
"dynamic","normal","0p25",5000,"default","vb","dynamic::normal::0p25::5000::default","dqlm","exdqlm",121.069329753263,126.280308664388,5.210978911125,0.9572,0.9334,-0.0238,5.31313640830196,5.38992613077136,0.0767897224693996,NA,507.891,NA,"PASS","PASS",TRUE,TRUE,FALSE,FALSE,"validation_tables","validation_tables"
"dynamic","normal","0p95",500,"default","mcmc","dynamic::normal::0p95::500::default","dqlm","exdqlm",2010.80151617024,3175.91978576973,1165.11826959949,0.07,0.086,0.016,1495.42590019023,1188.20669085572,-307.21920933451,NA,1645.373,NA,"WARN","PASS",TRUE,TRUE,FALSE,TRUE,"validation_tables","validation_tables"
"dynamic","normal","0p95",500,"default","vb","dynamic::normal::0p95::500::default","dqlm","exdqlm",2113.9027033332,1846.95861369825,-266.94408963495,0.02,0.058,0.038,726.51573310825,513.151816496402,-213.363916611848,36.012,152.831,4.24389092524714,"PASS","PASS",TRUE,TRUE,TRUE,FALSE,"validation_tables","validation_tables"
"dynamic","normal","0p95",5000,"default","mcmc","dynamic::normal::0p95::5000::default","dqlm","exdqlm",98.4106776970079,88.3085301989364,-10.1021474980715,0.9394,0.0036,-0.9358,19.8291314341924,16.1013845452441,-3.7277468889483,1753.689,19134.688,10.9111068154046,"PASS","PASS",TRUE,TRUE,TRUE,FALSE,"validation_tables","validation_tables"
"dynamic","normal","0p95",5000,"default","vb","dynamic::normal::0p95::5000::default","dqlm","exdqlm",100.616878772362,89.4872775269233,-11.1296012454387,0.9078,0.0024,-0.9054,12.0235972702329,12.7307865680334,0.7071892978005,394.194,886.794,2.24963850286915,"PASS","PASS",TRUE,TRUE,TRUE,FALSE,"validation_tables","validation_tables"
