"block","prior_semantics","model","n","available_accuracy","better_accuracy","better_accuracy_share","healthier","healthier_share","delta_median","delta_mean","runtime_ratio_median"
"static_paper","paper","al",18,18,15,0.833333333333333,0,0,-0.0289864339115095,-0.0596952113651821,39.7447616601226
"static_paper","paper","exal",18,12,12,1,3,0.166666666666667,-0.283959823616612,-0.32675482609474,4.85389439584504
"static_shrink","rhs_ns","al",18,18,15,0.833333333333333,0,0,-0.0163691462791675,-0.0299722817059181,8.12190076612244
"static_shrink","rhs_ns","exal",18,12,11,0.916666666666667,3,0.166666666666667,-0.107242060456949,-0.0900630004582522,5.02471601404576
"static_shrink","ridge","al",18,18,13,0.722222222222222,0,0,-0.01684655161672,-0.035533624724504,38.4306447149972
"static_shrink","ridge","exal",18,12,12,1,2,0.111111111111111,-0.131520895957492,-0.167425415832269,5.05347593039455
