"block","prior_semantics","inference","family","tau_label","fit_size","n","available_accuracy","better_accuracy","better_accuracy_share","healthier","healthier_share","delta_median","delta_mean","runtime_ratio_median"
"static_shrink","rhs_ns","mcmc","laplace","0p25",1000,1,1,1,1,0,0,-0.0485040510869715,-0.0485040510869715,7.64634934309714
"static_shrink","rhs_ns","mcmc","laplace","0p95",100,1,1,1,1,0,0,-0.676215381665146,-0.676215381665146,10.985406950504
"static_shrink","rhs_ns","mcmc","laplace","0p95",1000,1,1,0,0,0,0,0.263707039942719,0.263707039942719,7.47753158003728
"static_shrink","rhs_ns","mcmc","normal","0p05",100,1,1,1,1,0,0,-0.084815002931964,-0.084815002931964,4.80613708058503
"static_shrink","rhs_ns","mcmc","normal","0p05",1000,1,1,1,1,0,0,-0.017300348821887,-0.017300348821887,14.2672600955276
"static_shrink","rhs_ns","mcmc","normal","0p25",100,1,1,1,1,0,0,-0.13087705899048,-0.13087705899048,11.489243151215
"static_shrink","rhs_ns","mcmc","normal","0p25",1000,1,1,1,1,0,0,-0.069344172298055,-0.069344172298055,13.2580677290837
"static_shrink","rhs_ns","mcmc","normal","0p95",100,1,1,1,1,0,0,-0.245724393203163,-0.245724393203163,10.0234055002926
"static_shrink","rhs_ns","mcmc","normal","0p95",1000,1,1,0,0,0,0,0.036122829405437,0.036122829405437,8.53039412157649
"static_shrink","rhs_ns","vb","gausmix","0p05",100,1,1,0,0,0,0,0.000635504230549921,0.000635504230549921,18.7794117647059
"static_shrink","rhs_ns","vb","gausmix","0p05",1000,1,1,1,1,0,0,-0.038214816811459,-0.038214816811459,10.4229183841715
"static_shrink","rhs_ns","vb","gausmix","0p25",100,1,0,0,NA,0,0,NA,NA,48.2259615384615
"static_shrink","rhs_ns","vb","gausmix","0p25",1000,1,0,0,NA,0,0,NA,NA,39.0548654244306
"static_shrink","rhs_ns","vb","gausmix","0p95",100,1,1,1,1,0,0,-0.059057212420206,-0.059057212420206,24.5889003083248
"static_shrink","rhs_ns","vb","gausmix","0p95",1000,1,1,0,0,0,0,0.323943943091763,0.323943943091763,12.634328358209
"static_shrink","rhs_ns","vb","laplace","0p05",100,1,1,1,1,0,0,-0.219290886414016,-0.219290886414016,15.8026460859978
"static_shrink","rhs_ns","vb","laplace","0p05",1000,1,1,0,0,0,0,0.202065003501314,0.202065003501314,11.3503521126761
"static_shrink","rhs_ns","vb","laplace","0p25",100,1,0,0,NA,0,0,NA,NA,46.5332252836305
"static_shrink","rhs_ns","vb","laplace","0p25",1000,1,0,0,NA,0,0,NA,NA,34.7684824902724
"static_shrink","rhs_ns","vb","laplace","0p95",100,1,1,1,1,0,0,-0.637876692709878,-0.637876692709878,16.1469907407407
"static_shrink","rhs_ns","vb","laplace","0p95",1000,1,1,0,0,0,0,0.369660650092383,0.369660650092383,9.04422944022115
"static_shrink","rhs_ns","vb","normal","0p05",100,1,1,1,1,0,0,-0.0184107237003559,-0.0184107237003559,4.93817504655494
"static_shrink","rhs_ns","vb","normal","0p05",1000,1,1,0,0,0,0,0.028445020162861,0.028445020162861,14.5563524590164
"static_shrink","rhs_ns","vb","normal","0p25",100,1,0,0,NA,0,0,NA,NA,20.0249653259362
"static_shrink","rhs_ns","vb","normal","0p25",1000,1,0,0,NA,0,0,NA,NA,35.8587398373984
"static_shrink","rhs_ns","vb","normal","0p95",100,1,1,1,1,0,0,-0.201983379237022,-0.201983379237022,9.72990654205607
"static_shrink","rhs_ns","vb","normal","0p95",1000,1,1,0,0,0,0,0.107771124928762,0.107771124928762,14.0103773584906
"static_shrink","ridge","mcmc","gausmix","0p05",100,1,1,1,1,0,0,-0.15765471714604,-0.15765471714604,0.666060997768374
"static_shrink","ridge","mcmc","gausmix","0p05",1000,1,1,1,1,0,0,-0.217563466084081,-0.217563466084081,85.3899330308922
"static_shrink","ridge","mcmc","gausmix","0p25",100,1,1,0,0,0,0,0.00671033301517099,0.00671033301517099,3.69200642699337
"static_shrink","ridge","mcmc","gausmix","0p25",1000,1,1,0,0,0,0,0.015884983006456,0.015884983006456,0.19318392504582
"static_shrink","ridge","mcmc","gausmix","0p95",100,1,1,0,0,0,0,0.034162732526116,0.034162732526116,50.6428571428571
"static_shrink","ridge","mcmc","gausmix","0p95",1000,1,1,0,0,0,0,0.174065004151901,0.174065004151901,45.7278294953454
"static_shrink","ridge","mcmc","laplace","0p05",100,1,1,1,1,0,0,-0.440828151362745,-0.440828151362745,46.1378091872792
"static_shrink","ridge","mcmc","laplace","0p05",1000,1,1,0,0,0,0,0.048739293131732,0.048739293131732,15.180269541779
"static_shrink","ridge","mcmc","laplace","0p25",100,1,1,1,1,0,0,-0.226155140523573,-0.226155140523573,45.1861471861472
"static_shrink","ridge","mcmc","laplace","0p25",1000,1,1,1,1,0,0,-0.024871581711548,-0.024871581711548,14.9994577006508
"static_shrink","ridge","mcmc","laplace","0p95",100,1,1,1,1,0,0,-0.680735546142607,-0.680735546142607,8.11268454353721
"static_shrink","ridge","mcmc","laplace","0p95",1000,1,1,0,0,0,0,0.205376739404068,0.205376739404068,5.8697226722577
"static_shrink","ridge","mcmc","normal","0p05",100,1,1,1,1,0,0,-0.176389618410411,-0.176389618410411,3.99220815361069
"static_shrink","ridge","mcmc","normal","0p05",1000,1,1,1,1,0,0,-0.023953628668971,-0.023953628668971,15.5784531751915
"static_shrink","ridge","mcmc","normal","0p25",100,1,1,1,1,0,0,-0.138215803177156,-0.138215803177156,69.4914448669201
"static_shrink","ridge","mcmc","normal","0p25",1000,1,1,1,1,0,0,-0.055954310477313,-0.055954310477313,15.6604725245554
"static_shrink","ridge","mcmc","normal","0p95",100,1,1,1,1,0,0,-0.295512411618353,-0.295512411618353,12.2040789983219
"static_shrink","ridge","mcmc","normal","0p95",1000,1,1,0,0,0,0,0.012458365620133,0.012458365620133,6.14367363027197
"static_shrink","ridge","vb","gausmix","0p05",100,1,1,1,1,0,0,-0.00830342828552011,-0.00830342828552011,69.9239766081871
"static_shrink","ridge","vb","gausmix","0p05",1000,1,1,1,1,0,0,-0.063474930529101,-0.063474930529101,4.85714285714286
"static_shrink","ridge","vb","gausmix","0p25",100,1,0,0,NA,0,0,NA,NA,259.943396226416
"static_shrink","ridge","vb","gausmix","0p25",1000,1,0,0,NA,0,0,NA,NA,3.61164650399836
"static_shrink","ridge","vb","gausmix","0p95",100,1,1,0,0,0,0,0.00324727252596102,0.00324727252596102,149.773913043478
"static_shrink","ridge","vb","gausmix","0p95",1000,1,1,0,0,0,0,0.298725460633771,0.298725460633771,48.3203125
"static_shrink","ridge","vb","laplace","0p05",100,1,1,1,1,0,0,-0.080935188794066,-0.080935188794066,253.266666666667
"static_shrink","ridge","vb","laplace","0p05",1000,1,1,0,0,0,0,0.166956842480143,0.166956842480143,39.7372262773723
"static_shrink","ridge","vb","laplace","0p25",100,1,0,0,NA,0,0,NA,NA,808.882352941181
"static_shrink","ridge","vb","laplace","0p25",1000,1,0,0,NA,0,0,NA,NA,190.411764705882
"static_shrink","ridge","vb","laplace","0p95",100,1,1,1,1,0,0,-0.29685670797191,-0.29685670797191,54.2136752136752
"static_shrink","ridge","vb","laplace","0p95",1000,1,1,0,0,0,0,0.336780543395333,0.336780543395333,43.1269230769231
"static_shrink","ridge","vb","normal","0p05",100,1,1,1,1,0,0,-0.116047563334371,-0.116047563334371,90.52
"static_shrink","ridge","vb","normal","0p05",1000,1,1,0,0,0,0,0.033807443985316,0.033807443985316,61.1764705882353
"static_shrink","ridge","vb","normal","0p25",100,1,0,0,NA,0,0,NA,NA,150.632183908046
"static_shrink","ridge","vb","normal","0p25",1000,1,0,0,NA,0,0,NA,NA,106.22
"static_shrink","ridge","vb","normal","0p95",100,1,1,1,1,0,0,-0.433885015629502,-0.433885015629502,67.4885496183206
"static_shrink","ridge","vb","normal","0p95",1000,1,1,0,0,0,0,0.10306066103469,0.10306066103469,47.0179856115108
