"block","family","tau_label","fit_size","prior_semantics","model","original_scenario_key","primary_accuracy_vb","primary_accuracy_mcmc","primary_accuracy_delta_mcmc_minus_vb","coverage_vb","coverage_mcmc","coverage_delta_mcmc_minus_vb","mean_ci_width_vb","mean_ci_width_mcmc","mean_ci_width_delta_mcmc_minus_vb","runtime_sec_vb","runtime_sec_mcmc","runtime_ratio_mcmc_over_vb","gate_vb","gate_mcmc","mcmc_better_accuracy","mcmc_healthier","vb_metric_source","mcmc_metric_source"
"static_paper","gausmix","0p05",100,"paper","al","static_paper::gausmix::0p05::100::paper",1.45455224205278,1.29269392327013,-0.16185831878265,0.28,0.66,0.38,0.95358977449953,2.63968318997443,1.6860934154749,0.128,6.269,48.9765625,"PASS","PASS",TRUE,FALSE,"validation_tables","validation_tables"
"static_paper","gausmix","0p05",100,"paper","exal","static_paper::gausmix::0p05::100::paper",1.03202737591321,0.812404938082459,-0.219622437830751,0.52,0.83,0.31,1.46984099339323,2.31508898754691,0.84524799415368,10.362,53.56,5.16888631538313,"PASS","PASS",TRUE,FALSE,"validation_tables","validation_tables"
"static_paper","gausmix","0p05",1000,"paper","al","static_paper::gausmix::0p05::1000::paper",0.427855367327287,0.43982322525956,0.011967857932273,0.243,0.453,0.21,0.284856402522348,0.557550004054411,0.272693601532063,0.345,80.418,233.095652173913,"PASS","PASS",FALSE,FALSE,"validation_tables","validation_tables"
"static_paper","gausmix","0p05",1000,"paper","exal","static_paper::gausmix::0p05::1000::paper",0.581605322091971,0.40458249541562,-0.177022826676351,0.116,0.429,0.313,0.396209774678487,0.657960061650104,0.261750286971617,14.528,65.241,4.49070759911894,"PASS","PASS",TRUE,FALSE,"validation_tables","validation_tables"
"static_paper","gausmix","0p25",100,"paper","al","static_paper::gausmix::0p25::100::paper",0.703369101071372,0.683948651245526,-0.019420449825846,0.67,0.88,0.21,1.4534480267232,2.19631151147724,0.74286348475404,0.0419999999999998,19.805,471.547619047621,"PASS","PASS",TRUE,FALSE,"validation_tables","validation_tables"
"static_paper","gausmix","0p25",100,"paper","exal","static_paper::gausmix::0p25::100::paper",NA,0.755185975752924,NA,NA,0.83,NA,NA,2.03086549436958,NA,13.626,54.294,3.98458828709819,"WARN","WARN",NA,FALSE,"validation_tables","validation_tables"
"static_paper","gausmix","0p25",1000,"paper","al","static_paper::gausmix::0p25::1000::paper",0.308259985981228,0.298752909980154,-0.00950707600107398,0.439,0.672,0.233,0.368883496979443,0.60998769355587,0.241104196576427,1.261,111.366,88.3156225218081,"PASS","PASS",TRUE,FALSE,"validation_tables","validation_tables"
"static_paper","gausmix","0p25",1000,"paper","exal","static_paper::gausmix::0p25::1000::paper",NA,0.212862840606021,NA,NA,0.872,NA,NA,0.652860609371341,NA,16.775,59.175,3.52757078986587,"WARN","PASS",NA,TRUE,"validation_tables","validation_tables"
"static_paper","gausmix","0p95",100,"paper","al","static_paper::gausmix::0p95::100::paper",1.1885741635325,1.1091326554286,-0.0794415081038999,0.21,0.51,0.3,0.850581530247755,1.89296357290392,1.04238204265617,0.115,6.278,54.5913043478261,"PASS","PASS",TRUE,FALSE,"validation_tables","validation_tables"
"static_paper","gausmix","0p95",100,"paper","exal","static_paper::gausmix::0p95::100::paper",1.4117197221197,1.209233338791,-0.2024863833287,0.32,0.53,0.21,1.27852597576766,2.17705782144677,0.89853184567911,9.913,53.368,5.38363764753354,"PASS","WARN",TRUE,FALSE,"validation_tables","validation_tables"
