"inference","tau_label","n","available_accuracy","better_accuracy","better_accuracy_share","healthier","healthier_share","delta_median","delta_mean","runtime_ratio_median"
"mcmc","0p05",6,6,0,0,0,0,10.462700734187,1327.32567111499,3.33685365765895
"mcmc","0p25",6,6,0,0,0,0,160.51683491158,1014.20992748196,3.10427705141674
"mcmc","0p95",6,6,3,0.5,1,0.166666666666667,577.508061050709,1505.50904867876,0.527478217674674
"vb","0p05",6,6,3,0.5,0,0,7.9329425194029,19.2210703619569,4.0478586434645
"vb","0p25",6,6,0,0,0,0,24.557404942639,31.7699354686047,NA
"vb","0p95",6,6,6,1,0,0,-146.185217164512,-144.247941211189,2.26054640782174
