"block","family","tau_label","fit_size","prior_semantics","inference","original_scenario_key","base_model","extended_model","primary_accuracy_base","primary_accuracy_extended","primary_accuracy_delta","coverage_base","coverage_extended","coverage_delta","mean_ci_width_base","mean_ci_width_extended","mean_ci_width_delta","runtime_sec_base","runtime_sec_extended","runtime_ratio_extended_over_base","gate_base","gate_extended","healthy_base","healthy_extended","exal_better_accuracy","exal_healthier","base_metric_source","extended_metric_source"
"static_paper","gausmix","0p05",100,"paper","mcmc","static_paper::gausmix::0p05::100::paper","al","exal",1.29269392327013,0.812404938082459,-0.480288985187671,0.66,0.83,0.17,2.63968318997443,2.31508898754691,-0.32459420242752,6.269,53.56,8.54362737278673,"PASS","PASS",TRUE,TRUE,TRUE,FALSE,"validation_tables","validation_tables"
"static_paper","gausmix","0p05",100,"paper","vb","static_paper::gausmix::0p05::100::paper","al","exal",1.45455224205278,1.03202737591321,-0.42252486613957,0.28,0.52,0.24,0.95358977449953,1.46984099339323,0.5162512188937,0.128,10.362,80.953125,"PASS","PASS",TRUE,TRUE,TRUE,FALSE,"validation_tables","validation_tables"
"static_paper","gausmix","0p05",1000,"paper","mcmc","static_paper::gausmix::0p05::1000::paper","al","exal",0.43982322525956,0.40458249541562,-0.03524072984394,0.453,0.429,-0.024,0.557550004054411,0.657960061650104,0.100410057595693,80.418,65.241,0.811273595463702,"PASS","PASS",TRUE,TRUE,TRUE,FALSE,"validation_tables","validation_tables"
"static_paper","gausmix","0p05",1000,"paper","vb","static_paper::gausmix::0p05::1000::paper","al","exal",0.427855367327287,0.581605322091971,0.153749954764684,0.243,0.116,-0.127,0.284856402522348,0.396209774678487,0.111353372156139,0.345,14.528,42.1101449275362,"PASS","PASS",TRUE,TRUE,FALSE,FALSE,"validation_tables","validation_tables"
"static_paper","gausmix","0p25",100,"paper","mcmc","static_paper::gausmix::0p25::100::paper","al","exal",0.683948651245526,0.755185975752924,0.0712373245073981,0.88,0.83,-0.05,2.19631151147724,2.03086549436958,-0.16544601710766,19.805,54.294,2.74142893208786,"PASS","WARN",TRUE,TRUE,FALSE,FALSE,"validation_tables","validation_tables"
"static_paper","gausmix","0p25",100,"paper","vb","static_paper::gausmix::0p25::100::paper","al","exal",0.703369101071372,NA,NA,0.67,NA,NA,1.4534480267232,NA,NA,0.0419999999999998,13.626,324.428571428573,"PASS","WARN",TRUE,TRUE,NA,FALSE,"validation_tables","validation_tables"
"static_paper","gausmix","0p25",1000,"paper","mcmc","static_paper::gausmix::0p25::1000::paper","al","exal",0.298752909980154,0.212862840606021,-0.085890069374133,0.672,0.872,0.2,0.60998769355587,0.652860609371341,0.042872915815471,111.366,59.175,0.531356069177307,"PASS","PASS",TRUE,TRUE,TRUE,FALSE,"validation_tables","validation_tables"
"static_paper","gausmix","0p25",1000,"paper","vb","static_paper::gausmix::0p25::1000::paper","al","exal",0.308259985981228,NA,NA,0.439,NA,NA,0.368883496979443,NA,NA,1.261,16.775,13.3029341792228,"PASS","WARN",TRUE,TRUE,NA,FALSE,"validation_tables","validation_tables"
"static_paper","gausmix","0p95",100,"paper","mcmc","static_paper::gausmix::0p95::100::paper","al","exal",1.1091326554286,1.209233338791,0.1001006833624,0.51,0.53,0.02,1.89296357290392,2.17705782144677,0.28409424854285,6.278,53.368,8.50079643198471,"PASS","WARN",TRUE,TRUE,FALSE,FALSE,"validation_tables","validation_tables"
"static_paper","gausmix","0p95",100,"paper","vb","static_paper::gausmix::0p95::100::paper","al","exal",1.1885741635325,1.4117197221197,0.2231455585872,0.21,0.32,0.11,0.850581530247755,1.27852597576766,0.427944445519905,0.115,9.913,86.2,"PASS","PASS",TRUE,TRUE,FALSE,FALSE,"validation_tables","validation_tables"
"static_paper","gausmix","0p95",1000,"paper","mcmc","static_paper::gausmix::0p95::1000::paper","al","exal",0.373118089761044,0.647615606027886,0.274497516266842,0.6,0.092,-0.508,0.670274488050812,0.649956281359081,-0.020318206691731,8.724,180.42,20.6808803301238,"PASS","WARN",TRUE,TRUE,FALSE,FALSE,"validation_tables","validation_tables"
"static_paper","gausmix","0p95",1000,"paper","vb","static_paper::gausmix::0p95::1000::paper","al","exal",0.392593005689308,0.808128242335826,0.415535236646518,0.298,0.02,-0.278,0.300496807614897,0.411959447637663,0.111462640022766,0.238,13.895,58.3823529411765,"PASS","PASS",TRUE,TRUE,FALSE,FALSE,"validation_tables","validation_tables"
"static_paper","laplace","0p05",100,"paper","mcmc","static_paper::laplace::0p05::100::paper","al","exal",2.81119188027568,2.12201132482493,-0.68918055545075,0.35,0.41,0.06,2.69363361187355,3.67139079640738,0.97775718453383,1.076,53.048,49.3011152416357,"PASS","PASS",TRUE,TRUE,TRUE,FALSE,"validation_tables","validation_tables"
"static_paper","laplace","0p05",100,"paper","vb","static_paper::laplace::0p05::100::paper","al","exal",2.95959920013797,2.86708575415728,-0.09251344598069,0.13,0.18,0.05,1.34061307941705,1.82312984799281,0.48251676857576,0.0309999999999997,13.95,450.000000000004,"PASS","PASS",TRUE,TRUE,TRUE,FALSE,"validation_tables","validation_tables"
"static_paper","laplace","0p05",1000,"paper","mcmc","static_paper::laplace::0p05::1000::paper","al","exal",1.2967270190478,1.24492534590157,-0.0518016731462301,0.392,0.289,-0.103,1.47763996084679,1.29746500051538,-0.18017496033141,3.496,57.608,16.4782608695652,"PASS","PASS",TRUE,TRUE,TRUE,FALSE,"validation_tables","validation_tables"
"static_paper","laplace","0p05",1000,"paper","vb","static_paper::laplace::0p05::1000::paper","al","exal",1.3473458153502,1.63089525946764,0.28354944411744,0.162,0.118,-0.044,0.660707273839925,0.817490606218553,0.156783332378628,0.212,10.053,47.4198113207547,"PASS","PASS",TRUE,TRUE,FALSE,FALSE,"validation_tables","validation_tables"
"static_paper","laplace","0p25",100,"paper","mcmc","static_paper::laplace::0p25::100::paper","al","exal",0.981031829117628,0.598220464874655,-0.382811364242973,0.92,0.99,0.07,3.15029086387062,3.01568962637157,-0.13460123749905,1.145,53.805,46.9912663755458,"PASS","PASS",TRUE,TRUE,TRUE,FALSE,"validation_tables","validation_tables"
"static_paper","laplace","0p25",100,"paper","vb","static_paper::laplace::0p25::100::paper","al","exal",0.978693201773148,NA,NA,0.76,NA,NA,2.2381098759365,NA,NA,0.0139999999999998,13.726,980.428571428585,"PASS","WARN",TRUE,TRUE,NA,FALSE,"validation_tables","validation_tables"
"static_paper","laplace","0p25",1000,"paper","mcmc","static_paper::laplace::0p25::1000::paper","al","exal",0.705266246825305,0.471338915243766,-0.233927331581539,0.583,0.78,0.197,1.13975103147965,1.12781566430823,-0.01193536717142,28.452,56.17,1.97420216504991,"PASS","WARN",TRUE,TRUE,TRUE,FALSE,"validation_tables","validation_tables"
"static_paper","laplace","0p25",1000,"paper","vb","static_paper::laplace::0p25::1000::paper","al","exal",0.709131936088342,NA,NA,0.367,NA,NA,0.680416204788212,NA,NA,0.056,15.397,274.946428571429,"PASS","WARN",TRUE,TRUE,NA,FALSE,"validation_tables","validation_tables"
"static_paper","laplace","0p95",100,"paper","mcmc","static_paper::laplace::0p95::100::paper","al","exal",3.52516597657102,1.39319968848503,-2.13196628808599,0.63,0.94,0.31,5.98640688024411,4.48428271345313,-1.50212416679098,6.301,100.036,15.8762101253769,"PASS","PASS",TRUE,TRUE,TRUE,FALSE,"validation_tables","validation_tables"
"static_paper","laplace","0p95",100,"paper","vb","static_paper::laplace::0p95::100::paper","al","exal",3.81627628381992,1.85520859083189,-1.96106769298803,0.26,0.5,0.24,2.41067361322785,2.86804406168091,0.45737044845306,0.121,6.72,55.5371900826446,"PASS","PASS",TRUE,TRUE,TRUE,FALSE,"validation_tables","validation_tables"
"static_paper","laplace","0p95",1000,"paper","mcmc","static_paper::laplace::0p95::1000::paper","al","exal",1.26401092097887,1.44001158188397,0.1760006609051,0.439,0.043,-0.396,1.58076170935407,1.29771674074304,-0.28304496861103,3.998,62.504,15.6338169084542,"PASS","WARN",TRUE,TRUE,FALSE,FALSE,"validation_tables","validation_tables"
"static_paper","laplace","0p95",1000,"paper","vb","static_paper::laplace::0p95::1000::paper","al","exal",1.29667012572744,1.83178100942835,0.53511088370091,0.188,0.001,-0.187,0.661178668046536,0.777298383404959,0.116119715358423,0.25,11.233,44.932,"PASS","PASS",TRUE,TRUE,FALSE,FALSE,"validation_tables","validation_tables"
"static_paper","normal","0p05",100,"paper","mcmc","static_paper::normal::0p05::100::paper","al","exal",1.15542070727201,0.950201840979236,-0.205218866292774,0.76,0.89,0.13,2.74050308748685,3.1121275496931,0.37162446220625,1.007,57.289,56.8907646474677,"PASS","PASS",TRUE,TRUE,TRUE,FALSE,"validation_tables","validation_tables"
"static_paper","normal","0p05",100,"paper","vb","static_paper::normal::0p05::100::paper","al","exal",1.14686726248273,1.29849905038171,0.15163178789898,0.37,0.49,0.12,1.24603898013996,1.79189497234223,0.54585599220227,0.097,13.868,142.969072164948,"PASS","PASS",TRUE,TRUE,FALSE,FALSE,"validation_tables","validation_tables"
