"block","prior_semantics","inference","n","available_accuracy","better_accuracy","better_accuracy_share","healthier","healthier_share","delta_median","delta_mean","runtime_ratio_median"
"static_paper","paper","mcmc",18,18,12,0.666666666666667,0,0,-0.128247146833819,-0.242810390397866,16.9037058651882
"static_paper","paper","vb",18,12,5,0.416666666666667,0,0,0.152690871331832,-0.0557459343372325,83.5765625
"static_shrink","rhs_ns","mcmc",18,18,11,0.611111111111111,1,0.0555555555555556,-0.0329021999544293,-0.0596343595797099,11.0241640273059
"static_shrink","rhs_ns","vb",18,12,6,0.5,0,0,-0.00888760973490299,-0.0118593721071087,15.9748184133693
"static_shrink","ridge","mcmc",18,18,11,0.611111111111111,0,0,-0.0404129460944305,-0.10780205135929,15.0898636212149
"static_shrink","ridge","vb",18,12,6,0.5,0,0,-0.00252807787977954,-0.00474371754077135,68.7062631132539
