"window","method","p","n","mean_crps","sd_crps","median_crps"
"train","synthesis",NA,4000,1.74773067091938,1.2278858926182,1.32452319075957
"train","model_anchor",0.05,4000,3.83125880121164,1.33407708460731,3.39135013799751
"train","model_anchor",0.5,4000,1.80118872766888,1.05691437995745,1.41051375573513
"train","model_anchor",0.95,4000,3.81262351168926,1.34201093933282,3.40182859761766
"forecast","synthesis",NA,1000,1.68695603389517,1.14028488057218,1.33536454712141
"forecast","model_anchor",0.05,1000,3.76317693214841,1.22621079024397,3.35498354854021
"forecast","model_anchor",0.5,1000,1.7487897289392,0.995327002888132,1.39539839482159
"forecast","model_anchor",0.95,1000,3.83335887191745,1.29121727801656,3.43941814256428
