"window","p","coverage","coverage_error","pinball","rmse_true_q"
"train",0.05,0.05875,0.00874999999999999,0.314966290362643,0.633228233102931
"train",0.5,0.50425,0.00424999999999998,1.22795619129589,0.593578843147941
"train",0.95,0.946,-0.004,0.32125066773577,0.636281984470278
"forecast",0.05,0.043,-0.00700000000000001,0.300790401512405,0.512249124933647
"forecast",0.5,0.491,-0.00900000000000001,1.19038482013447,0.452710148859287
"forecast",0.95,0.949,-0.001,0.307760311576459,0.50993337098872
