"p","iter","run_time_seconds","elbo_last","draw_rows","draw_cols"
0.05,1,40.2465796470642,-38235.3869231907,5000,200
0.5,1,41.7336120605469,-43232.1792168618,5000,200
0.95,1,39.0550928115845,-37862.7339283365,5000,200
